#Plane_2u2
#Card       tzero  t_zero_err      entries
0    40.50000     0.00000             29
1    10.50000     0.00000             305
2    10.75001     0.43812             489602
3    3.26941     0.23002             328932
4    2.83830     2.12263             6310
5    10.50000     0.00000             1168
6    20.50000     0.00000             184
