#Plane_2x2
#Card       tzero  t_zero_err      entries
0    6.50000     0.00000             319
1    3.32992     0.14149             712011
2    6.41633     0.63324             128169
3    9.61008     2.80211             4502
4    10.50000     0.00000             1623
