#-------------------------------------
#        Data Analysis Summary        
#-------------------------------------
#                                     
#                                     
# target_name: C12        kin_type:  SRC            
# target_amu: 12.010700                 
# target_density [g/cm3]: 1.8000     
# target_thickness [cm]: 0.3188      
# target_areal_density [g/cm2]: 0.5738
#
# N: 6
# Z: 6
# A: 12
# transparency: 0.6
#
# beam_energy [GeV]: 10.5494          
#
# hms_h_particle_mass [GeV]: 0.938272          
# hms_h_momentum [GeV/c]: 1.3250             
# hms_h_angle [deg]: -66.4000                  
#
# shms_e_particle_mass [GeV]: 0.000511          
# shms_e_momentum [GeV/c]: 8.5500             
# shms_e_angle [deg]: 8.3000                  
#
# BCM1_Current_Threshold [uA]: >5.00 
# Units: time [sec] | charge [mC] | currnet [uA] | rates [kHz] |  efficiencies [fractional form]                       
#                       
run,beam_time,charge,avg_current,total_Yield,total_Yield_err,real_Yield,real_Yield_err,random_Yield,random_Yield_err,hTrkEff,hTrkEff_err,pTrkEff,pTrkEff_err,cpuLT,cpuLT_err_Bi,tLT,tLT_err_Bi,S1X_rate,T1_scl_rate,T2_scl_rate,T3_scl_rate,T5_scl_rate,T1_accp_rate,T2_accp_rate,T3_accp_rate,T5_accp_rate,edtm_scl,edtm_accp,PS1,PS2,PS3,PS5,ctime_offset,ctime_sigma,hbeta_mean,hbeta_sigma,pbeta_mean,pbeta_sigma,pcal_mean,pcal_sigma,hdc1u1_res,hdc1u2_res,hdc1x1_res,hdc1x2_res,hdc1v2_res,hdc1v1_res,hdc2v1_res,hdc2v2_res,hdc2x2_res,hdc2x1_res,hdc2u2_res,hdc2u1_res,hdc1u1_res_err,hdc1u2_res_err,hdc1x1_res_err,hdc1x2_res_err,hdc1v2_res_err,hdc1v1_res_err,hdc2v1_res_err,hdc2v2_res_err,hdc2x2_res_err,hdc2x1_res_err,hdc2u2_res_err,hdc2u1_res_err,pdc1u1_res,pdc1u2_res,pdc1x1_res,pdc1x2_res,pdc1v1_res,pdc1v2_res,pdc2v2_res,pdc2v1_res,pdc2x2_res,pdc2x1_res,pdc2u2_res,pdc2u1_res,pdc1u1_res_err,pdc1u2_res_err,pdc1x1_res_err,pdc1x2_res_err,pdc1v1_res_err,pdc1v2_res_err,pdc2v2_res_err,pdc2v1_res_err,pdc2x2_res_err,pdc2x1_res_err,pdc2u2_res_err,pdc2u1_res_err,multi_track_eff,multi_track_eff_err,T1_accp_singles,T2_accp_singles,pTrkEff_singles,pTrkEff_singles_err
17076,1111.248,61.267,55.133,271.000,16.462,266.395,16.508,4.605,1.231,0.999,1.383E-04,0.972,6.403E-04,1.017,-NAN,0.934,2.366E-03,3.087E+02,1.271E+02,9.812E+01,5.686E+00,4.005E-02,2.382E-01,2.368E-01,8.576E-02,4.072E-02,11078.000,10342.000,-1.0,513.0,129.0,1.0,-0.310,0.383,0.805,0.022,0.995,0.053,1.031,0.037,343.093,345.320,350.512,332.765,304.789,293.082,275.320,285.541,269.211,278.831,289.543,298.913,3.601,3.571,3.143,3.014,2.727,2.498,2.216,2.276,2.082,2.235,2.182,2.338,234.470,239.379,234.507,228.214,252.609,253.602,238.116,233.697,216.778,222.741,226.593,234.027,1.831,1.743,1.808,1.864,2.078,2.130,1.739,1.703,1.846,1.763,1.812,1.981,0.972,0.022,2.125E+05,2.125E+05,0.972,0.001
17078,336.333,9.181,27.297,32.000,5.657,31.342,5.676,0.658,0.465,1.000,2.082E-04,0.980,1.789E-03,1.049,-NAN,0.934,4.295E-03,1.525E+02,6.047E+01,4.766E+01,2.803E+00,1.340E-02,6.356E-02,6.292E-02,5.712E-02,1.406E-02,3352.000,3130.000,-1.0,1025.0,65.0,1.0,-0.314,0.379,0.805,0.022,0.994,0.052,1.023,0.037,334.277,338.723,346.042,323.015,298.766,289.789,268.932,276.265,264.771,273.363,276.843,292.168,4.872,5.205,4.944,4.545,4.242,4.008,3.148,3.449,3.256,3.230,3.192,3.349,227.150,227.587,228.370,221.752,250.296,254.480,223.939,227.871,207.735,219.921,225.847,225.977,3.754,3.677,3.998,4.173,4.394,4.697,4.021,3.768,4.185,4.325,3.962,3.981,0.985,0.096,1.564E+04,1.564E+04,0.980,0.002
17079,775.238,21.528,27.769,99.000,9.950,97.684,9.972,1.316,0.658,1.000,1.333E-04,0.983,1.118E-03,1.051,-NAN,0.933,2.850E-03,1.550E+02,6.131E+01,4.838E+01,2.851E+00,1.306E-02,6.379E-02,6.317E-02,5.753E-02,1.373E-02,7726.000,7206.000,-1.0,1025.0,65.0,1.0,-0.289,0.382,0.805,0.022,0.993,0.052,1.020,0.036,339.134,346.219,343.821,335.500,306.235,292.093,270.459,276.622,258.992,274.377,277.091,284.221,3.418,3.591,3.249,3.385,2.946,2.664,2.138,2.247,2.080,2.111,2.097,2.184,219.953,224.353,226.896,217.000,252.510,244.088,227.603,222.465,201.903,212.859,218.579,231.394,2.492,2.610,2.585,2.637,2.963,2.750,2.470,2.341,2.591,2.521,2.402,2.734,0.986,0.065,3.659E+04,3.659E+04,0.983,0.001
17080,2278.778,89.700,39.363,421.000,20.518,415.737,20.560,5.263,1.316,0.999,8.472E-05,0.978,6.034E-04,1.027,-NAN,0.938,1.600E-03,2.202E+02,8.854E+01,6.923E+01,4.049E+00,2.304E-02,9.724E-02,9.593E-02,8.593E-02,2.366E-02,22708.000,21301.000,-1.0,1025.0,65.0,1.0,-0.311,0.380,0.805,0.022,0.994,0.052,1.024,0.036,337.120,347.237,343.708,332.286,306.630,295.049,273.530,278.558,260.785,271.086,280.371,289.262,2.591,2.756,2.460,2.471,2.276,1.894,1.679,1.760,1.600,1.616,1.669,1.648,225.056,229.789,226.814,220.070,251.633,252.573,229.690,224.375,208.044,217.842,220.277,224.350,2.031,1.914,2.033,2.120,2.257,2.333,1.919,1.841,1.871,2.128,1.897,1.928,0.980,0.027,1.539E+05,1.539E+05,0.978,0.001
17081,2750.668,102.225,37.164,450.000,21.213,444.737,21.254,5.263,1.316,0.999,8.254E-05,0.979,5.623E-04,1.029,-NAN,0.938,1.456E-03,2.077E+02,8.343E+01,6.527E+01,3.821E+00,2.108E-02,9.100E-02,8.978E-02,8.042E-02,2.169E-02,27414.000,25715.000,-1.0,1025.0,65.0,1.0,-0.302,0.387,0.805,0.022,0.994,0.053,1.024,0.036,336.721,345.779,345.873,334.406,304.778,295.777,274.619,284.327,261.590,276.044,282.098,296.667,2.579,2.692,2.522,2.516,2.283,1.925,1.672,1.831,1.627,1.686,1.689,1.746,227.162,234.567,231.876,222.383,251.588,251.205,227.758,228.661,214.303,218.107,216.902,223.896,2.121,2.019,2.183,2.179,2.293,2.292,1.912,1.903,2.034,2.134,1.835,1.978,0.981,0.026,1.751E+05,1.751E+05,0.979,0.001
17082,1294.948,38.947,30.076,146.000,12.083,144.684,12.101,1.316,0.658,0.999,1.364E-04,0.980,8.914E-04,1.041,-NAN,0.934,2.181E-03,1.679E+02,6.707E+01,5.263E+01,3.089E+00,1.600E-02,7.199E-02,7.114E-02,6.410E-02,1.665E-02,12907.000,12059.000,-1.0,1025.0,65.0,1.0,-0.307,0.392,0.805,0.022,0.994,0.052,1.022,0.037,338.469,346.420,348.007,332.243,306.959,293.694,274.448,284.347,263.511,273.526,280.112,295.417,2.680,2.786,2.623,2.644,2.351,1.909,1.723,1.708,1.681,1.666,1.699,1.776,225.328,233.302,230.535,218.646,253.853,252.606,226.795,232.301,209.580,215.480,223.736,228.199,1.865,2.002,2.155,2.134,2.405,2.343,1.926,1.997,1.957,2.061,1.992,2.111,0.983,0.043,6.649E+04,6.649E+04,0.980,0.001
17083,2925.152,131.665,45.011,538.000,23.195,529.776,23.253,8.224,1.645,0.999,6.885E-05,0.977,5.108E-04,1.024,-NAN,0.933,1.460E-03,2.518E+02,1.021E+02,7.945E+01,4.636E+00,2.804E-02,1.143E-01,1.125E-01,9.996E-02,2.870E-02,29152.000,27212.000,-1.0,1025.0,65.0,1.0,-0.325,0.384,0.805,0.022,0.994,0.052,1.026,0.036,332.402,340.088,346.384,333.233,303.359,293.117,274.202,284.408,263.233,274.822,282.324,294.803,2.454,2.565,2.452,2.483,2.273,1.823,1.664,1.681,1.590,1.632,1.642,1.682,230.082,230.874,230.314,220.562,254.173,250.404,230.344,235.076,212.061,212.819,221.517,228.805,1.907,1.929,2.122,1.941,2.269,2.243,1.924,1.875,1.936,1.963,1.945,2.035,0.978,0.021,2.267E+05,2.267E+05,0.977,0.001
17084,1837.379,86.335,46.988,377.000,19.416,370.750,19.469,6.250,1.434,0.999,8.453E-05,0.975,6.484E-04,1.022,-NAN,0.934,1.839E-03,2.631E+02,1.071E+02,8.311E+01,4.843E+00,3.016E-02,1.208E-01,1.189E-01,1.053E-01,3.082E-02,18312.000,17097.000,-1.0,1025.0,65.0,1.0,-0.302,0.387,0.805,0.022,0.993,0.052,1.027,0.035,336.906,340.619,351.072,332.792,307.435,292.618,273.785,283.985,259.027,274.742,276.741,300.613,2.561,2.613,2.381,2.543,2.291,1.835,1.665,1.666,1.560,1.634,1.612,1.804,231.182,231.973,232.923,221.636,251.062,251.507,232.039,229.031,213.825,217.500,225.497,233.808,2.022,2.016,2.247,2.250,2.340,2.367,2.054,1.864,2.085,2.134,2.077,2.241,0.976,0.025,1.490E+05,1.490E+05,0.975,0.001
17085,3041.756,136.323,44.817,631.000,25.120,623.105,25.171,7.895,1.612,0.999,6.950E-05,0.976,5.070E-04,1.023,-NAN,0.936,1.403E-03,2.506E+02,1.014E+02,7.902E+01,4.613E+00,2.740E-02,1.128E-01,1.111E-01,9.896E-02,2.804E-02,30314.000,28381.000,-1.0,1025.0,65.0,1.0,-0.317,0.391,0.805,0.022,0.993,0.051,1.026,0.036,339.726,344.318,350.989,334.703,300.904,297.079,272.095,279.432,261.077,274.749,281.204,296.200,2.640,2.682,2.599,2.264,2.181,1.911,1.646,1.749,1.588,1.665,1.642,1.749,228.563,230.978,230.357,223.276,252.607,253.563,232.142,231.045,210.538,220.402,223.756,231.221,1.929,1.974,2.158,2.027,2.365,2.410,2.026,1.863,1.925,2.150,2.018,2.174,0.980,0.022,2.345E+05,2.345E+05,0.976,0.001
17086,2797.711,144.153,51.525,601.000,24.515,594.421,24.559,6.579,1.471,0.999,6.733E-05,0.975,5.023E-04,1.019,-NAN,0.935,1.479E-03,2.886E+02,1.177E+02,9.134E+01,5.315E+00,3.393E-02,1.338E-01,1.316E-01,1.163E-01,3.459E-02,27882.000,26062.000,-1.0,1025.0,65.0,1.0,-0.301,0.389,0.805,0.022,0.994,0.053,1.029,0.036,336.105,339.747,350.836,334.857,303.626,293.254,274.805,280.634,260.287,276.456,283.357,294.426,2.263,2.578,2.333,2.243,2.191,1.831,1.666,1.741,1.558,1.652,1.675,1.692,231.162,235.117,231.451,221.772,254.280,253.909,234.850,227.179,215.642,212.083,226.161,228.150,1.936,2.100,2.108,2.192,2.393,2.432,2.093,1.854,2.076,1.973,2.052,2.049,0.976,0.019,2.493E+05,2.493E+05,0.975,0.001
