#-------------------------------------
#        Data Analysis Summary        
#-------------------------------------
#                                     
#                                     
# target_name: Ca40        kin_type:  SRC            
# target_amu: 39.962591                 
# target_density [g/cm3]: 1.5500     
# target_thickness [cm]: 0.5065      
# target_areal_density [g/cm2]: 0.7851
#
# N: 20
# Z: 20
# A: 40
# transparency: 0.43
#
# beam_energy [GeV]: 10.5494          
#
# hms_h_particle_mass [GeV]: 0.938272          
# hms_h_momentum [GeV/c]: 1.3250             
# hms_h_angle [deg]: -66.4000                  
#
# shms_e_particle_mass [GeV]: 0.000511          
# shms_e_momentum [GeV/c]: 8.5500             
# shms_e_angle [deg]: 8.3000                  
#
# BCM1_Current_Threshold [uA]: >5.00 
# Units: time [sec] | charge [mC] | currnet [uA] | rates [kHz] |  efficiencies [fractional form]                       
#                       
run,beam_time,charge,avg_current,total_Yield,total_Yield_err,real_Yield,real_Yield_err,random_Yield,random_Yield_err,hTrkEff,hTrkEff_err,pTrkEff,pTrkEff_err,cpuLT,cpuLT_err_Bi,tLT,tLT_err_Bi,S1X_rate,T1_scl_rate,T2_scl_rate,T3_scl_rate,T5_scl_rate,T1_accp_rate,T2_accp_rate,T3_accp_rate,T5_accp_rate,edtm_scl,edtm_accp,PS1,PS2,PS3,PS5,ctime_offset,ctime_sigma,hbeta_mean,hbeta_sigma,pbeta_mean,pbeta_sigma,pcal_mean,pcal_sigma,hdc1u1_res,hdc1u2_res,hdc1x1_res,hdc1x2_res,hdc1v2_res,hdc1v1_res,hdc2v1_res,hdc2v2_res,hdc2x2_res,hdc2x1_res,hdc2u2_res,hdc2u1_res,hdc1u1_res_err,hdc1u2_res_err,hdc1x1_res_err,hdc1x2_res_err,hdc1v2_res_err,hdc1v1_res_err,hdc2v1_res_err,hdc2v2_res_err,hdc2x2_res_err,hdc2x1_res_err,hdc2u2_res_err,hdc2u1_res_err,pdc1u1_res,pdc1u2_res,pdc1x1_res,pdc1x2_res,pdc1v1_res,pdc1v2_res,pdc2v2_res,pdc2v1_res,pdc2x2_res,pdc2x1_res,pdc2u2_res,pdc2u1_res,pdc1u1_res_err,pdc1u2_res_err,pdc1x1_res_err,pdc1x2_res_err,pdc1v1_res_err,pdc1v2_res_err,pdc2v2_res_err,pdc2v1_res_err,pdc2x2_res_err,pdc2x1_res_err,pdc2u2_res_err,pdc2u1_res_err,multi_track_eff,multi_track_eff_err,T1_accp_singles,T2_accp_singles,pTrkEff_singles,pTrkEff_singles_err
17008,1583.784,19.305,12.189,84.000,9.165,83.671,9.171,0.329,0.329,0.999,7.854E-05,0.982,6.086E-04,1.055,-NAN,0.947,1.788E-03,1.395E+02,3.771E+01,2.849E+01,4.486E+00,9.771E-03,1.269E-01,1.255E-01,1.465E-01,1.031E-02,15793.000,14951.000,-1.0,257.0,33.0,1.0,-0.310,0.379,0.805,0.022,0.993,0.052,1.009,0.035,327.269,337.365,345.676,331.722,299.617,291.233,275.859,280.385,262.037,272.514,288.935,300.267,2.549,2.706,2.635,2.633,2.270,1.976,1.805,1.879,1.698,1.714,1.751,1.891,220.231,222.839,220.824,217.468,256.261,243.643,220.622,223.424,211.708,218.804,220.423,222.609,2.216,2.280,2.249,2.432,2.823,2.494,2.078,2.143,2.310,2.465,2.236,2.291,0.993,0.054,1.756E+05,1.756E+05,0.982,0.001
17009,879.218,11.460,13.034,56.000,7.483,55.013,7.505,0.987,0.570,0.999,9.534E-05,0.982,7.871E-04,1.051,-NAN,0.944,2.447E-03,1.491E+02,4.046E+01,3.052E+01,4.801E+00,1.094E-02,1.370E-01,1.353E-01,1.573E-01,1.149E-02,8766.000,8279.000,-1.0,257.0,33.0,1.0,-0.307,0.377,0.805,0.022,0.993,0.052,1.010,0.035,329.664,335.629,346.144,328.128,299.012,293.043,277.296,281.490,261.214,273.462,283.650,296.596,2.581,2.685,2.670,2.529,2.253,1.972,1.794,1.898,1.690,1.694,1.774,1.829,221.581,221.962,225.988,212.718,244.081,246.246,228.919,224.617,207.906,213.123,221.262,220.102,2.232,2.240,2.305,2.258,2.776,2.542,2.245,2.112,2.207,2.278,2.210,2.215,0.992,0.066,1.044E+05,1.044E+05,0.982,0.001
17011,2286.655,115.116,50.342,479.000,21.886,455.316,22.063,23.684,2.791,0.999,6.245E-05,0.965,6.034E-04,1.005,-NAN,0.940,1.571E-03,5.747E+02,1.802E+02,1.257E+02,1.853E+01,1.176E-01,1.935E-01,1.894E-01,1.911E-01,1.182E-01,22789.000,21425.000,-1.0,2049.0,257.0,1.0,-0.344,0.426,0.806,0.022,0.995,0.054,1.030,0.037,328.021,335.922,348.211,331.784,296.330,293.369,273.926,287.429,262.729,277.381,288.243,301.545,2.194,2.309,2.138,2.055,1.924,1.703,1.514,1.560,1.339,1.511,1.489,1.647,242.572,248.939,239.048,241.278,259.718,256.107,243.568,238.089,223.268,233.969,232.635,235.125,2.257,2.413,2.365,2.428,2.620,2.538,2.350,2.281,2.214,2.440,2.198,2.318,0.968,0.018,1.402E+05,1.402E+05,0.965,0.001
17012,1411.770,73.030,51.730,320.000,17.889,301.579,18.057,18.421,2.462,0.999,7.585E-05,0.963,7.712E-04,1.005,-NAN,0.941,1.988E-03,5.895E+02,1.872E+02,1.299E+02,1.902E+01,1.274E-01,2.067E-01,2.022E-01,2.030E-01,1.280E-01,14069.000,13238.000,-1.0,2049.0,257.0,1.0,-0.336,0.427,0.806,0.022,0.995,0.055,1.029,0.037,330.732,331.545,345.560,333.606,299.101,288.723,274.383,282.002,264.706,276.469,286.572,297.241,2.250,2.238,2.080,2.098,1.960,1.637,1.507,1.498,1.492,1.508,1.584,1.595,244.849,250.585,243.724,232.918,259.916,261.461,241.352,238.666,221.321,233.538,232.053,236.020,2.326,2.470,2.488,2.496,2.538,2.609,2.257,2.262,2.534,2.492,2.284,2.355,0.966,0.022,8.946E+04,8.946E+04,0.963,0.001
17013,2068.117,109.372,52.885,440.000,20.976,417.632,21.151,22.368,2.713,0.999,6.450E-05,0.962,6.359E-04,1.005,-NAN,0.941,1.644E-03,6.023E+02,1.909E+02,1.325E+02,1.945E+01,1.282E-01,2.089E-01,2.044E-01,2.054E-01,1.288E-01,20611.000,19391.000,-1.0,2049.0,257.0,1.0,-0.352,0.433,0.806,0.022,0.995,0.054,1.031,0.037,330.941,334.141,348.554,333.593,302.424,293.832,278.109,285.424,265.227,277.540,288.761,300.965,2.051,2.283,2.145,2.072,2.013,1.682,1.558,1.533,1.509,1.510,1.484,1.640,249.402,250.304,245.080,237.138,264.280,263.606,242.219,243.796,223.844,231.886,236.742,239.827,2.498,2.496,2.548,2.592,2.698,2.723,2.303,2.290,2.251,2.512,2.352,2.464,0.966,0.017,1.337E+05,1.337E+05,0.962,0.001
17014,2244.452,114.664,51.088,501.000,22.383,480.934,22.530,20.066,2.569,0.999,6.493E-05,0.964,6.092E-04,1.005,-NAN,0.940,1.591E-03,5.815E+02,1.831E+02,1.276E+02,1.878E+01,1.196E-01,1.966E-01,1.926E-01,1.942E-01,1.202E-01,22370.000,21022.000,-1.0,2049.0,257.0,1.0,-0.355,0.433,0.806,0.022,0.994,0.054,1.030,0.037,332.173,334.468,352.586,333.182,299.949,292.549,280.410,287.745,266.597,277.397,292.928,297.424,2.084,2.268,2.147,2.052,1.953,1.678,1.474,1.532,1.383,1.510,1.517,1.579,244.615,248.017,245.486,234.079,258.066,257.497,243.525,239.600,224.918,236.144,239.651,237.649,2.292,2.404,2.478,2.521,2.614,2.532,2.271,2.264,2.223,2.517,2.338,2.350,0.968,0.018,1.398E+05,1.398E+05,0.964,0.001
17015,2328.050,116.467,50.028,473.000,21.749,448.000,21.937,25.000,2.868,0.999,6.345E-05,0.965,6.015E-04,1.005,-NAN,0.941,1.548E-03,5.693E+02,1.792E+02,1.250E+02,1.839E+01,1.167E-01,1.921E-01,1.881E-01,1.897E-01,1.172E-01,23203.000,21831.000,-1.0,2049.0,257.0,1.0,-0.325,0.431,0.806,0.022,0.995,0.054,1.029,0.037,331.213,334.565,349.785,333.525,304.836,295.841,277.527,285.223,266.752,276.156,293.726,300.788,2.003,2.283,2.118,2.051,2.048,1.713,1.541,1.512,1.396,1.476,1.549,1.625,245.218,241.482,242.498,236.618,259.417,259.142,238.589,237.140,224.926,233.580,237.003,245.341,2.371,2.244,2.463,2.621,2.548,2.551,2.240,2.162,2.569,2.441,2.353,2.573,0.967,0.018,1.420E+05,1.420E+05,0.965,0.001
17016,2024.776,98.580,48.687,399.000,19.975,377.618,20.150,21.382,2.652,0.999,7.279E-05,0.964,6.601E-04,1.005,-NAN,0.940,1.673E-03,5.542E+02,1.740E+02,1.216E+02,1.791E+01,1.123E-01,1.855E-01,1.816E-01,1.833E-01,1.129E-01,20179.000,18967.000,-1.0,2049.0,257.0,1.0,-0.336,0.424,0.806,0.022,0.994,0.053,1.028,0.037,324.579,333.998,351.623,332.012,300.689,291.251,281.845,287.245,267.937,276.712,292.282,309.409,2.222,2.342,2.219,2.078,2.038,1.716,1.531,1.585,1.435,1.539,1.581,1.659,242.596,245.538,242.006,235.332,260.791,255.601,238.090,241.828,220.691,233.175,236.218,239.198,2.291,2.378,2.503,2.548,2.574,2.505,2.262,2.370,2.430,2.476,2.326,2.333,0.969,0.020,1.202E+05,1.202E+05,0.964,0.001
17017,2109.819,107.967,51.174,426.000,20.640,402.316,20.828,23.684,2.791,0.999,6.725E-05,0.964,6.291E-04,1.005,-NAN,0.940,1.639E-03,5.822E+02,1.836E+02,1.280E+02,1.881E+01,1.198E-01,1.972E-01,1.929E-01,1.945E-01,1.204E-01,21026.000,19762.000,-1.0,2049.0,257.0,1.0,-0.362,0.430,0.805,0.022,0.994,0.054,1.030,0.036,335.909,333.693,356.027,329.955,302.932,294.076,279.422,289.541,266.980,278.236,292.281,309.590,2.085,2.265,2.073,1.999,1.804,1.706,1.467,1.575,1.386,1.510,1.507,1.629,248.525,255.598,245.424,232.180,263.619,257.965,240.454,242.438,230.708,231.252,237.101,237.436,2.349,2.348,2.525,2.449,2.567,2.455,2.252,2.118,2.362,2.385,2.300,2.279,0.966,0.018,1.317E+05,1.317E+05,0.964,0.001
17018,2728.449,144.867,53.095,587.000,24.228,552.461,24.461,34.539,3.371,0.999,6.178E-05,0.962,5.519E-04,1.005,-NAN,0.938,1.459E-03,6.037E+02,1.910E+02,1.329E+02,1.952E+01,1.263E-01,2.068E-01,2.024E-01,2.037E-01,1.269E-01,27191.000,25514.000,-1.0,2049.0,257.0,1.0,-0.329,0.427,0.806,0.022,0.994,0.054,1.031,0.037,328.497,337.423,352.855,335.453,302.125,295.200,284.206,290.400,270.152,278.852,296.760,310.840,1.988,2.310,2.002,2.134,1.786,1.732,1.501,1.578,1.418,1.529,1.591,1.629,246.958,248.084,243.573,231.894,253.809,256.302,246.961,245.812,228.709,236.028,235.490,244.681,2.383,2.397,2.511,2.483,2.418,2.501,2.281,2.274,2.343,2.546,2.308,2.504,0.967,0.016,1.770E+05,1.770E+05,0.962,0.001
