#-------------------------------------
#        Data Analysis Summary        
#-------------------------------------
#                                     
#                                     
# target_name: Ca48        kin_type:  MF            
# target_amu: 47.952523                 
# target_density [g/cm3]: 1.8600     
# target_thickness [cm]: 0.5650      
# target_areal_density [g/cm2]: 1.0509
#
# N: 28
# Z: 20
# A: 48
# transparency: 0.37
#
# beam_energy [GeV]: 10.5494          
#
# hms_h_particle_mass [GeV]: 0.938272          
# hms_h_momentum [GeV/c]: 1.8200             
# hms_h_angle [deg]: -48.3000                  
#
# shms_e_particle_mass [GeV]: 0.000511          
# shms_e_momentum [GeV/c]: 8.5500             
# shms_e_angle [deg]: 8.3000                  
#
# BCM1_Current_Threshold [uA]: >5.00 
# Units: time [sec] | charge [mC] | currnet [uA] | rates [kHz] |  efficiencies [fractional form]                       
#                       
run,beam_time,charge,avg_current,total_Yield,total_Yield_err,real_Yield,real_Yield_err,random_Yield,random_Yield_err,hTrkEff,hTrkEff_err,pTrkEff,pTrkEff_err,cpuLT,cpuLT_err_Bi,tLT,tLT_err_Bi,S1X_rate,T1_scl_rate,T2_scl_rate,T3_scl_rate,T5_scl_rate,T1_accp_rate,T2_accp_rate,T3_accp_rate,T5_accp_rate,edtm_scl,edtm_accp,PS1,PS2,PS3,PS5,ctime_offset,ctime_sigma,hbeta_mean,hbeta_sigma,pbeta_mean,pbeta_sigma,pcal_mean,pcal_sigma,hdc1u1_res,hdc1u2_res,hdc1x1_res,hdc1x2_res,hdc1v2_res,hdc1v1_res,hdc2v1_res,hdc2v2_res,hdc2x2_res,hdc2x1_res,hdc2u2_res,hdc2u1_res,hdc1u1_res_err,hdc1u2_res_err,hdc1x1_res_err,hdc1x2_res_err,hdc1v2_res_err,hdc1v1_res_err,hdc2v1_res_err,hdc2v2_res_err,hdc2x2_res_err,hdc2x1_res_err,hdc2u2_res_err,hdc2u1_res_err,pdc1u1_res,pdc1u2_res,pdc1x1_res,pdc1x2_res,pdc1v1_res,pdc1v2_res,pdc2v2_res,pdc2v1_res,pdc2x2_res,pdc2x1_res,pdc2u2_res,pdc2u1_res,pdc1u1_res_err,pdc1u2_res_err,pdc1x1_res_err,pdc1x2_res_err,pdc1v1_res_err,pdc1v2_res_err,pdc2v2_res_err,pdc2v1_res_err,pdc2x2_res_err,pdc2x1_res_err,pdc2u2_res_err,pdc2u1_res_err,multi_track_eff,multi_track_eff_err,T1_accp_singles,T2_accp_singles,pTrkEff_singles,pTrkEff_singles_err
16978,197.442,5.465,27.681,3252.000,57.026,3248.382,57.037,3.618,1.091,0.997,2.523E-04,0.974,1.037E-03,1.004,-NAN,0.940,5.352E-03,4.068E+02,1.262E+02,9.066E+01,1.144E+01,1.417E-01,3.654E-01,3.524E-01,4.871E-01,1.423E-01,1968.000,1850.000,-1.0,513.0,33.0,1.0,0.268,0.342,0.882,0.022,0.994,0.051,1.020,0.035,339.425,338.759,383.727,360.688,322.254,318.326,350.542,356.725,313.610,325.621,364.493,370.574,2.091,2.028,2.237,2.260,2.018,1.815,2.049,2.129,1.670,1.813,2.096,2.075,240.726,242.150,237.207,226.401,251.142,261.396,246.761,232.337,213.270,225.851,228.091,236.414,2.200,2.253,2.290,2.285,2.604,2.646,2.399,2.114,2.246,2.278,2.347,2.634,0.978,0.039,3.487E+04,3.487E+04,0.974,0.001
16979,2718.978,76.211,28.029,43868.000,209.447,43822.276,209.483,45.724,3.878,0.996,1.075E-04,0.976,2.973E-04,1.005,-NAN,0.933,1.519E-03,4.133E+02,1.282E+02,9.200E+01,1.163E+01,1.430E-01,2.454E-01,2.421E-01,2.339E-01,1.437E-01,27105.000,25289.000,-1.0,1025.0,129.0,1.0,0.280,0.345,0.882,0.021,0.994,0.051,1.020,0.035,341.676,339.757,379.427,358.901,320.104,317.217,344.645,351.995,313.652,326.421,359.529,367.509,1.793,1.915,2.154,2.033,1.831,1.669,1.814,1.857,1.566,1.720,1.872,1.985,235.580,243.307,240.649,228.082,254.056,254.799,233.899,233.219,218.045,227.823,227.664,234.269,1.744,1.732,1.779,1.771,2.041,1.871,1.607,1.632,1.772,1.972,1.738,1.853,0.979,0.012,2.439E+05,2.439E+05,0.976,0.000
17093,1721.565,49.769,28.909,23780.000,154.208,23757.960,154.231,22.039,2.693,0.997,1.103E-04,0.976,3.798E-04,1.005,-NAN,0.936,1.875E-03,4.106E+02,1.288E+02,9.298E+01,1.164E+01,1.338E-01,2.493E-01,2.425E-01,3.125E-01,1.344E-01,17158.000,16052.000,-1.0,1025.0,65.0,1.0,0.148,0.342,0.881,0.022,0.994,0.051,1.031,0.036,341.208,338.130,381.911,359.575,320.366,317.282,343.716,348.321,306.635,319.424,349.835,359.895,1.900,1.842,2.133,2.001,1.788,1.640,1.803,1.807,1.536,1.583,1.769,1.854,233.861,236.270,234.028,224.291,256.583,254.786,239.342,239.366,213.448,220.459,231.562,232.540,1.967,2.025,1.992,1.950,2.411,2.134,1.858,2.006,1.933,2.102,2.043,2.082,0.978,0.015,1.561E+05,1.561E+05,0.976,0.000
17094,379.740,12.680,33.392,5893.000,76.766,5887.079,76.779,5.921,1.396,0.997,2.180E-04,0.973,7.992E-04,1.004,-NAN,0.933,4.074E-03,4.733E+02,1.516E+02,1.083E+02,1.344E+01,1.625E-01,3.016E-01,2.924E-01,3.691E-01,1.632E-01,3785.000,3530.000,-1.0,1025.0,65.0,1.0,0.164,0.345,0.881,0.022,0.994,0.052,1.031,0.036,340.796,338.005,384.715,356.844,321.348,318.927,343.050,349.056,307.210,319.884,349.950,363.448,1.884,1.874,2.076,1.957,1.808,1.658,1.777,1.840,1.557,1.580,1.751,1.918,238.153,241.424,236.259,225.892,255.698,258.098,236.931,236.648,220.216,223.478,231.982,234.311,2.051,1.999,2.024,2.024,2.140,2.236,1.930,1.918,2.120,2.206,2.130,2.173,0.975,0.027,4.010E+04,4.010E+04,0.973,0.001
17096,1647.804,98.674,59.882,43503.000,208.574,43421.421,208.638,81.579,5.180,0.995,1.106E-04,0.960,3.797E-04,1.002,-NAN,0.934,1.944E-03,8.440E+02,3.008E+02,2.037E+02,2.404E+01,3.836E-01,4.474E-01,4.434E-01,4.316E-01,3.842E-01,16422.000,15330.000,-1.0,4097.0,513.0,1.0,0.100,0.362,0.882,0.021,0.995,0.053,1.043,0.036,351.739,344.047,394.172,369.364,321.511,320.017,343.582,351.063,312.993,325.199,357.154,365.792,1.749,1.806,2.020,1.831,1.548,1.550,1.638,1.710,1.414,1.512,1.727,1.729,260.075,263.949,249.727,241.547,267.613,262.920,259.475,252.800,231.180,245.125,247.228,245.173,2.023,2.114,1.968,1.987,2.125,2.020,2.052,1.942,2.012,2.081,1.890,2.018,0.954,0.008,8.192E+04,8.193E+04,0.960,0.000
