#-------------------------------------
#        Data Analysis Summary        
#-------------------------------------
#                                     
#                                     
# target_name: Fe54        kin_type:  SRC            
# target_amu: 53.939615                 
# target_density [g/cm3]: 7.8700     
# target_thickness [cm]: 0.0466      
# target_areal_density [g/cm2]: 0.3670
#
# N: 28
# Z: 26
# A: 54
# transparency: 0.36
#
# beam_energy [GeV]: 10.5494          
#
# hms_h_particle_mass [GeV]: 0.938272          
# hms_h_momentum [GeV/c]: 1.3250             
# hms_h_angle [deg]: -66.4000                  
#
# shms_e_particle_mass [GeV]: 0.000511          
# shms_e_momentum [GeV/c]: 8.5500             
# shms_e_angle [deg]: 8.3000                  
#
# BCM1_Current_Threshold [uA]: >5.00 
# Units: time [sec] | charge [mC] | currnet [uA] | rates [kHz] |  efficiencies [fractional form]                       
#                       
run,beam_time,charge,avg_current,total_Yield,total_Yield_err,real_Yield,real_Yield_err,random_Yield,random_Yield_err,hTrkEff,hTrkEff_err,pTrkEff,pTrkEff_err,cpuLT,cpuLT_err_Bi,tLT,tLT_err_Bi,S1X_rate,T1_scl_rate,T2_scl_rate,T3_scl_rate,T5_scl_rate,T1_accp_rate,T2_accp_rate,T3_accp_rate,T5_accp_rate,edtm_scl,edtm_accp,PS1,PS2,PS3,PS5,ctime_offset,ctime_sigma,hbeta_mean,hbeta_sigma,pbeta_mean,pbeta_sigma,pcal_mean,pcal_sigma,hdc1u1_res,hdc1u2_res,hdc1x1_res,hdc1x2_res,hdc1v2_res,hdc1v1_res,hdc2v1_res,hdc2v2_res,hdc2x2_res,hdc2x1_res,hdc2u2_res,hdc2u1_res,hdc1u1_res_err,hdc1u2_res_err,hdc1x1_res_err,hdc1x2_res_err,hdc1v2_res_err,hdc1v1_res_err,hdc2v1_res_err,hdc2v2_res_err,hdc2x2_res_err,hdc2x1_res_err,hdc2u2_res_err,hdc2u1_res_err,pdc1u1_res,pdc1u2_res,pdc1x1_res,pdc1x2_res,pdc1v1_res,pdc1v2_res,pdc2v2_res,pdc2v1_res,pdc2x2_res,pdc2x1_res,pdc2u2_res,pdc2u1_res,pdc1u1_res_err,pdc1u2_res_err,pdc1x1_res_err,pdc1x2_res_err,pdc1v1_res_err,pdc1v2_res_err,pdc2v2_res_err,pdc2v1_res_err,pdc2x2_res_err,pdc2x1_res_err,pdc2u2_res_err,pdc2u1_res_err,multi_track_eff,multi_track_eff_err,T1_accp_singles,T2_accp_singles,pTrkEff_singles,pTrkEff_singles_err
17058,733.431,43.285,59.017,89.000,9.434,86.039,9.485,2.961,0.987,0.999,1.659E-04,0.978,8.337E-04,1.017,-NAN,0.942,2.734E-03,2.610E+02,8.568E+01,6.563E+01,9.428E+00,3.503E-02,1.701E-01,1.686E-01,1.097E-01,3.561E-02,7309.000,6885.000,-1.0,513.0,129.0,1.0,-0.332,0.402,0.805,0.022,0.994,0.052,1.020,0.036,334.254,336.415,352.351,334.546,302.554,298.011,275.994,290.511,270.841,279.870,300.672,308.057,2.667,2.952,2.783,2.659,2.334,2.267,1.959,2.028,1.851,1.963,2.110,2.073,235.384,235.926,233.383,223.047,252.695,251.489,234.994,236.049,213.388,224.257,233.042,235.743,1.992,2.004,2.122,1.884,2.215,2.238,1.843,1.915,1.893,1.904,1.893,2.164,0.983,0.043,9.383E+04,9.383E+04,0.978,0.001
17059,2881.796,156.672,54.366,317.000,17.804,307.789,17.889,9.211,1.741,0.999,8.426E-05,0.978,4.443E-04,1.019,-NAN,0.941,1.394E-03,2.407E+02,7.883E+01,6.047E+01,8.691E+00,3.132E-02,1.556E-01,1.542E-01,1.002E-01,3.192E-02,28719.000,27015.000,-1.0,513.0,129.0,1.0,-0.318,0.387,0.805,0.022,0.994,0.052,1.021,0.036,330.732,338.088,351.649,334.796,306.387,295.128,276.347,284.771,266.728,278.191,298.657,308.540,2.569,2.698,2.787,2.647,2.656,2.230,1.971,1.953,1.779,1.942,2.125,2.078,232.972,236.337,230.047,222.740,254.586,252.926,238.030,236.483,218.656,220.594,228.648,229.873,1.897,1.829,2.095,1.910,2.261,2.239,1.880,1.837,2.010,2.065,1.822,2.038,0.984,0.023,3.397E+05,3.397E+05,0.978,0.000
17060,3251.846,181.540,55.827,358.000,18.921,347.474,19.012,10.526,1.861,0.999,7.904E-05,0.977,4.227E-04,1.017,-NAN,0.944,1.279E-03,2.475E+02,8.109E+01,6.218E+01,8.935E+00,3.253E-02,1.603E-01,1.589E-01,1.033E-01,3.310E-02,32408.000,30588.000,-1.0,513.0,129.0,1.0,-0.327,0.397,0.806,0.022,0.994,0.052,1.021,0.036,335.157,339.710,347.689,337.017,312.458,295.306,281.003,289.256,268.283,282.420,296.141,310.464,2.716,2.729,2.682,2.736,2.556,2.213,1.918,2.005,1.824,2.044,2.013,2.133,230.315,234.632,233.004,222.584,256.451,249.918,240.480,233.338,217.035,224.315,228.965,231.217,1.882,1.948,1.882,1.890,2.304,2.196,1.934,1.825,1.967,1.929,1.842,2.060,0.983,0.021,3.941E+05,3.941E+05,0.977,0.000
17061,2977.534,167.594,56.286,318.000,17.833,312.079,17.887,5.921,1.396,0.999,8.061E-05,0.976,4.417E-04,1.017,-NAN,0.943,1.349E-03,2.495E+02,8.176E+01,6.272E+01,9.010E+00,3.276E-02,1.617E-01,1.603E-01,1.042E-01,3.333E-02,29673.000,27972.000,-1.0,513.0,129.0,1.0,-0.336,0.396,0.806,0.022,0.994,0.052,1.022,0.036,334.061,343.581,360.442,339.600,302.157,299.517,282.976,290.346,269.254,284.110,295.046,315.344,2.709,2.896,2.775,2.790,2.285,2.326,1.957,2.007,1.820,1.925,2.028,2.160,232.817,239.755,237.015,225.877,253.341,254.225,241.017,237.031,217.429,227.344,231.656,236.326,1.997,1.925,2.024,1.963,2.365,2.320,1.970,1.876,2.003,2.001,1.893,2.280,0.984,0.023,3.640E+05,3.640E+05,0.976,0.000
17062,2756.628,148.331,53.809,285.000,16.882,277.434,16.955,7.566,1.578,0.999,9.932E-05,0.977,4.677E-04,1.018,-NAN,0.945,1.371E-03,2.386E+02,7.804E+01,5.992E+01,8.617E+00,3.084E-02,1.539E-01,1.526E-01,9.909E-02,3.139E-02,27473.000,25972.000,-1.0,513.0,129.0,1.0,-0.325,0.393,0.806,0.022,0.994,0.052,1.022,0.036,335.418,337.912,354.664,334.591,302.277,297.355,284.850,292.362,272.331,284.633,303.813,314.156,2.732,2.751,2.890,2.695,2.337,2.253,1.991,2.050,1.910,1.934,2.137,2.192,231.963,236.487,233.452,228.588,259.997,254.910,240.569,233.125,218.140,225.751,232.029,229.461,1.946,2.002,1.905,2.038,2.354,2.298,1.928,1.837,2.029,1.953,1.851,2.045,0.984,0.024,3.220E+05,3.220E+05,0.977,0.000
17063,2506.685,129.160,51.526,258.000,16.062,254.382,16.099,3.618,1.091,0.999,1.092E-04,0.977,5.025E-04,1.020,-NAN,0.942,1.478E-03,2.286E+02,7.466E+01,5.737E+01,8.253E+00,2.926E-02,1.470E-01,1.458E-01,9.466E-02,2.984E-02,24981.000,23533.000,-1.0,513.0,129.0,1.0,-0.324,0.403,0.806,0.022,0.993,0.052,1.022,0.036,330.442,340.158,356.210,345.666,306.590,302.726,287.479,290.935,273.088,289.424,308.002,318.740,2.629,2.787,2.907,2.922,2.453,2.204,2.058,2.073,1.911,1.994,2.111,2.235,241.677,244.891,236.802,226.544,252.680,249.736,238.469,235.630,220.232,230.066,233.353,239.842,1.923,1.974,1.997,1.977,2.258,2.201,1.898,1.881,2.116,2.038,1.929,2.048,0.984,0.026,2.803E+05,2.803E+05,0.977,0.001
17064,2761.573,150.194,54.387,313.000,17.692,305.105,17.765,7.895,1.612,0.999,1.026E-04,0.976,4.678E-04,1.018,-NAN,0.944,1.389E-03,2.412E+02,7.894E+01,6.060E+01,8.711E+00,3.146E-02,1.559E-01,1.545E-01,1.004E-01,3.202E-02,27524.000,25976.000,-1.0,513.0,129.0,1.0,-0.324,0.387,0.806,0.022,0.994,0.052,1.022,0.036,331.818,340.767,358.067,338.569,306.199,301.311,286.489,300.496,272.978,287.808,310.905,319.660,2.714,2.819,2.792,2.844,2.425,2.171,2.020,2.103,1.971,1.992,2.175,2.274,241.017,238.335,239.980,231.095,253.753,254.553,243.185,239.611,225.184,230.325,232.349,238.419,1.924,1.901,2.086,2.078,2.318,2.082,1.966,1.904,1.988,2.059,1.906,1.973,0.984,0.024,3.262E+05,3.262E+05,0.976,0.000
17067,4336.035,176.884,40.794,354.000,18.815,345.118,18.892,8.882,1.709,0.999,8.090E-05,0.980,4.016E-04,1.033,-NAN,0.936,1.176E-03,1.819E+02,5.804E+01,4.497E+01,6.525E+00,1.928E-02,1.108E-01,1.101E-01,7.099E-02,1.992E-02,43209.000,40453.000,-1.0,513.0,129.0,1.0,-0.376,0.389,0.806,0.022,0.993,0.052,1.020,0.036,330.614,340.921,358.474,332.191,305.719,295.453,285.752,290.071,268.604,282.666,297.187,308.024,2.611,3.125,2.965,2.669,2.431,2.279,2.021,2.084,1.869,2.067,2.070,2.120,231.573,233.826,235.702,224.192,250.944,250.801,233.617,234.802,215.234,221.233,227.916,230.739,1.849,1.924,1.926,1.859,2.181,2.199,1.918,1.791,1.950,2.056,1.980,2.055,0.988,0.025,3.801E+05,3.801E+05,0.980,0.000
17068,2897.608,119.229,41.148,246.000,15.684,241.724,15.729,4.276,1.186,0.999,9.780E-05,0.979,4.966E-04,1.033,-NAN,0.936,1.440E-03,1.832E+02,5.853E+01,4.536E+01,6.583E+00,1.936E-02,1.117E-01,1.109E-01,7.151E-02,2.000E-02,28875.000,27027.000,-1.0,513.0,129.0,1.0,-0.297,0.397,0.805,0.022,0.993,0.052,1.020,0.036,338.834,341.988,348.555,334.131,309.984,293.742,280.707,292.182,272.690,284.055,301.119,310.318,2.797,3.123,2.769,2.743,2.511,2.249,1.943,2.144,1.928,2.098,2.139,2.095,231.520,233.732,230.763,224.275,253.559,246.186,233.197,231.860,217.269,220.399,225.403,229.050,1.852,1.936,2.106,1.897,2.283,2.127,1.954,1.963,1.962,2.067,1.960,2.009,0.988,0.031,2.562E+05,2.562E+05,0.979,0.000
17069,693.460,20.206,29.137,35.000,5.916,34.671,5.925,0.329,0.329,0.999,2.371E-04,0.982,1.131E-03,1.048,-NAN,0.940,2.861E-03,1.297E+02,4.117E+01,3.201E+01,4.662E+00,1.252E-02,7.755E-02,7.712E-02,4.951E-02,1.311E-02,6912.000,6496.000,-1.0,513.0,129.0,1.0,-0.304,0.388,0.806,0.022,0.993,0.052,1.017,0.036,336.101,347.594,352.796,339.621,311.647,305.163,284.712,293.070,268.242,287.159,301.037,313.521,3.700,4.512,3.834,3.826,3.387,3.278,2.728,2.895,2.496,2.890,2.909,2.974,232.228,233.390,227.069,220.592,250.824,246.676,231.405,234.414,214.169,220.897,225.948,226.690,2.483,2.519,2.654,2.464,2.917,2.793,2.364,2.402,2.531,2.819,2.735,2.588,0.991,0.084,4.327E+04,4.327E+04,0.982,0.001
