#-------------------------------------
#        Data Analysis Summary        
#-------------------------------------
#                                     
#                                     
# target_name: Au197        kin_type:  MF            
# target_amu: 196.966570                 
# target_density [g/cm3]: 19.3200     
# target_thickness [cm]: 0.0209      
# target_areal_density [g/cm2]: 0.4047
#
# N: 118
# Z: 79
# A: 197
# transparency: 0.3
#
# beam_energy [GeV]: 10.5494          
#
# hms_h_particle_mass [GeV]: 0.938231          
# hms_h_momentum [GeV/c]: 1.8200             
# hms_h_angle [deg]: -48.3000                  
#
# shms_e_particle_mass [GeV]: 0.000511          
# shms_e_momentum [GeV/c]: 8.5500             
# shms_e_angle [deg]: 8.3000                  
#
# BCM1_Current_Threshold [uA]: >5.00 
# Units: time [sec] | charge [mC] | currnet [uA] | rates [kHz] |  efficiencies [fractional form]                       
# this run (20789) had smaller gate widths (trigger different from rest of runs, and should only be used for study of gate width)                
# 20789,299.796,11.220,37.425,985.000,31.385,984.013,31.390,0.987,0.570,0.993,3.004E-04,0.979,9.632E-04,1.021,-NAN,0.898,5.530E-03,2.900E+02,5.869E+01,4.226E+01,7.567E+00,4.260E-02,3.500E-01,3.113E-01,4.881E-01,4.347E-02,2988.000,2684.000,513.0,257.0,17.0,1.0,0.157,0.371,0.876,0.023,0.871,0.046,1.096,0.074,361.726,352.716,420.779,391.301,333.606,340.052,369.959,378.027,333.280,342.123,386.761,401.166,2.311,2.326,2.893,2.617,2.254,2.203,2.393,2.511,2.037,2.131,2.523,2.599,239.754,245.175,237.819,228.896,262.731,258.431,244.997,236.813,221.140,225.853,238.631,240.860,2.546,2.629,2.632,2.644,3.248,2.807,2.671,2.476,2.784,2.646,2.631,2.671,0.989,0.060,8.348E+04,7.429E+04,0.979,0.001
run,beam_time,charge,avg_current,total_Yield,total_Yield_err,real_Yield,real_Yield_err,random_Yield,random_Yield_err,hTrkEff,hTrkEff_err,pTrkEff,pTrkEff_err,cpuLT,cpuLT_err_Bi,tLT,tLT_err_Bi,S1X_rate,T1_scl_rate,T2_scl_rate,T3_scl_rate,T5_scl_rate,T1_accp_rate,T2_accp_rate,T3_accp_rate,T5_accp_rate,edtm_scl,edtm_accp,PS1,PS2,PS3,PS5,ctime_offset,ctime_sigma,hbeta_mean,hbeta_sigma,pbeta_mean,pbeta_sigma,pcal_mean,pcal_sigma,hdc1u1_res,hdc1u2_res,hdc1x1_res,hdc1x2_res,hdc1v2_res,hdc1v1_res,hdc2v1_res,hdc2v2_res,hdc2x2_res,hdc2x1_res,hdc2u2_res,hdc2u1_res,hdc1u1_res_err,hdc1u2_res_err,hdc1x1_res_err,hdc1x2_res_err,hdc1v2_res_err,hdc1v1_res_err,hdc2v1_res_err,hdc2v2_res_err,hdc2x2_res_err,hdc2x1_res_err,hdc2u2_res_err,hdc2u1_res_err,pdc1u1_res,pdc1u2_res,pdc1x1_res,pdc1x2_res,pdc1v1_res,pdc1v2_res,pdc2v2_res,pdc2v1_res,pdc2x2_res,pdc2x1_res,pdc2u2_res,pdc2u1_res,pdc1u1_res_err,pdc1u2_res_err,pdc1x1_res_err,pdc1x2_res_err,pdc1v1_res_err,pdc1v2_res_err,pdc2v2_res_err,pdc2v1_res_err,pdc2x2_res_err,pdc2x1_res_err,pdc2u2_res_err,pdc2u1_res_err,multi_track_eff,multi_track_eff_err,T1_accp_singles,T2_accp_singles,pTrkEff_singles,pTrkEff_singles_err
20793,2125.221,79.179,37.257,6559.000,80.988,6548.474,81.009,10.526,1.861,0.995,9.584E-05,0.979,3.508E-04,1.004,-NAN,0.900,2.062E-03,2.885E+02,5.845E+01,4.213E+01,7.537E+00,5.929E-02,3.637E-01,3.253E-01,5.014E-01,5.950E-02,21180.000,19061.000,513.0,257.0,17.0,1.0,0.256,0.386,0.876,0.023,0.872,0.046,1.045,0.063,348.643,345.698,399.960,376.811,329.889,330.913,359.503,369.034,321.954,334.019,373.225,380.276,2.210,2.377,2.582,2.541,2.096,2.056,2.260,2.339,1.945,1.974,2.317,2.407,234.587,234.702,230.617,227.743,255.870,259.858,240.930,234.019,225.617,223.462,225.903,235.734,2.584,2.633,2.669,2.637,3.077,3.211,2.832,2.376,2.933,2.806,2.614,2.726,0.990,0.025,5.895E+05,5.251E+05,0.979,0.000
20797,2208.440,83.166,37.658,7032.000,83.857,7020.487,83.880,11.513,1.946,0.995,9.090E-05,0.979,3.391E-04,1.003,-NAN,0.901,2.014E-03,2.918E+02,5.914E+01,4.262E+01,7.618E+00,6.035E-02,3.685E-01,3.295E-01,5.072E-01,6.055E-02,22012.000,19831.000,513.0,257.0,17.0,1.0,0.224,0.378,0.876,0.024,0.871,0.045,1.076,0.068,351.104,343.788,408.241,376.348,326.290,333.130,352.413,358.661,321.013,328.380,370.045,378.363,2.231,2.284,2.624,2.502,2.020,1.990,2.232,2.320,1.895,2.012,2.333,2.332,230.632,233.235,226.058,221.877,261.249,257.091,241.402,237.573,214.248,216.518,225.878,237.628,2.444,2.619,2.623,2.847,3.212,3.065,2.853,2.589,2.619,2.609,2.674,2.982,0.989,0.024,6.197E+05,5.515E+05,0.979,0.000
20798,2538.961,81.813,32.223,6774.000,82.304,6766.105,82.320,7.895,1.612,0.995,9.269E-05,0.980,3.379E-04,1.004,-NAN,0.898,1.903E-03,2.493E+02,4.978E+01,3.620E+01,6.517E+00,4.800E-02,3.057E-01,2.744E-01,4.303E-01,4.819E-02,25305.000,22721.000,513.0,257.0,17.0,1.0,0.223,0.373,0.876,0.024,0.872,0.046,1.049,0.063,345.737,343.692,401.387,377.541,332.022,329.776,352.481,362.646,320.268,326.344,365.283,377.696,2.217,2.334,2.572,2.604,2.152,2.022,2.263,2.342,1.882,2.011,2.330,2.360,233.357,231.585,231.472,216.890,259.030,259.013,226.885,234.292,217.659,220.137,225.648,238.957,2.837,2.480,2.824,2.624,3.140,3.052,2.456,2.378,2.679,2.744,2.629,2.958,0.991,0.026,6.030E+05,5.385E+05,0.980,0.000
20799,1947.606,61.127,31.386,5112.000,71.498,5103.776,71.517,8.224,1.645,0.996,1.029E-04,0.980,3.872E-04,1.004,-NAN,0.897,2.180E-03,2.426E+02,4.839E+01,3.525E+01,6.346E+00,4.607E-02,2.967E-01,2.663E-01,4.184E-01,4.628E-02,19414.000,17417.000,513.0,257.0,17.0,1.0,0.233,0.375,0.876,0.023,0.871,0.046,1.054,0.064,355.181,343.964,404.322,372.307,329.025,326.609,348.288,355.717,320.937,328.384,365.771,375.077,2.387,2.289,2.618,2.401,2.094,1.996,2.198,2.246,1.899,1.996,2.313,2.349,228.972,233.501,229.134,219.746,261.529,256.545,233.152,231.129,217.417,220.194,224.224,235.698,2.457,2.588,2.651,2.691,3.225,3.004,2.508,2.486,2.650,2.739,2.549,2.809,0.991,0.030,4.501E+05,4.019E+05,0.980,0.000
