# CaFe Relative Yield Correction Factors (using MF kinematics) 
# 
# Header Definitions: 
# phase#       : 0 -> baseline (pruning)   
# phase#       : 1 -> 0 + added the T2,T3 TDC raw time window cuts (tcoin param)   
# phase#       : 2 -> 1 + added tighter reference time cuts on HMS/SHMS to try and recover more lost coincidences    
# phase#       : 3 -> 2 + added an event type cut (g.evtyp>=4) to properly select ALL coincidences   
# deltaY       : difference in relative charge-norm, eff.-corrected data yield between lowest and highest T2 rate runs 
# deltaY_err   : error in deltaY 
# deltaX       : difference between lowest and highest T2 rates [kHz] 
# slope        : deltaY/deltaX or drop in relative yield per kHz (to be used as correction factor) 
# slope_err    : error in slope 
phase,target,deltaY,deltaY_err,deltaX,slope,slope_err
0, Be9, 6.768E-02, 7.519E-03, 115.230, 5.873E-04, 6.525E-05 
1, Be9, 2.337E-02, 1.196E-02, 115.230, 2.028E-04, 1.038E-04 
2, Be9, 1.772E-02, 1.196E-02, 115.230, 1.538E-04, 1.038E-04 
3, Be9, 3.056E-02, 7.561E-03, 115.230, 2.652E-04, 6.562E-05 
0, B10, 4.033E-02, 7.910E-03, 51.310, 7.860E-04, 1.542E-04 
1, B10, 1.437E-02, 7.999E-03, 51.310, 2.801E-04, 1.559E-04 
2, B10, 1.079E-02, 8.002E-03, 51.310, 2.104E-04, 1.560E-04 
3, B10, 2.731E-02, 7.813E-03, 51.310, 5.323E-04, 1.523E-04 
0, B11, 4.990E-02, 1.343E-02, 48.370, 1.032E-03, 2.777E-04 
1, B11, 4.135E-02, 1.334E-02, 48.370, 8.549E-04, 2.757E-04 
2, B11, 3.951E-02, 1.332E-02, 48.370, 8.168E-04, 2.755E-04 
3, B11, 4.067E-02, 1.325E-02, 48.370, 8.408E-04, 2.740E-04 
0, C12, 2.835E-02, 9.225E-03, 54.110, 5.239E-04, 1.705E-04 
1, C12, 1.885E-03, 9.320E-03, 54.110, 3.484E-05, 1.722E-04 
2, C12, 5.706E-03, 9.353E-03, 54.110, 1.055E-04, 1.729E-04 
3, C12, 1.172E-02, 9.127E-03, 54.110, 2.166E-04, 1.687E-04 
0, Ca40, 7.079E-02, 8.213E-03, 80.350, 8.810E-04, 1.022E-04 
1, Ca40, 3.118E-02, 8.359E-03, 80.350, 3.881E-04, 1.040E-04 
2, Ca40, 2.276E-02, 8.377E-03, 80.350, 2.833E-04, 1.043E-04 
3, Ca40, 2.828E-02, 8.312E-03, 80.350, 3.520E-04, 1.034E-04 
0, Ca48, 7.986E-02, 8.089E-03, 110.720, 7.213E-04, 7.306E-05 
1, Ca48, 3.112E-02, 8.290E-03, 110.720, 2.811E-04, 7.488E-05 
2, Ca48, 1.913E-02, 8.334E-03, 110.720, 1.728E-04, 7.527E-05 
3, Ca48, 3.414E-02, 8.173E-03, 110.720, 3.083E-04, 7.382E-05 
0, Fe54, 2.882E-02, 8.777E-03, 6.580, 4.380E-03, 1.334E-03 
1, Fe54, 2.499E-02, 8.759E-03, 6.580, 3.797E-03, 1.331E-03 
2, Fe54, 2.470E-02, 8.751E-03, 6.580, 3.753E-03, 1.330E-03 
3, Fe54, 5.467E-03, 8.826E-03, 6.580, 8.309E-04, 1.341E-03 
0, Au197, 2.463E-02, 1.781E-02, 7.370, 3.342E-03, 2.416E-03 
1, Au197, 2.413E-02, 1.768E-02, 7.370, 3.274E-03, 2.399E-03 
2, Au197, 2.410E-02, 1.764E-02, 7.370, 3.270E-03, 2.393E-03 
3, Au197, 2.096E-02, 1.682E-02, 7.370, 2.844E-03, 2.283E-03 
