#Plane_1u2
#Card       tzero  t_zero_err      entries
0    -7.72773     3.14262             2664
1    5.87004     1.19969             33191
2    5.07965     0.59908             92438
3    6.06813     0.54759             119711
4    -2.99110     0.41360             62548
5    -4.63976     1.18948             11004
