run,kin,T2_scaler,q_bcm1,q_bcm2,q_bcm4a,q_bcm4b,q_bcm4c,I_bcm4a_avg
16978, MF,  17927187.,    -3.279,   5.432,    5.485,   27.799,  6.112,   27.489
16979, MF,  250242873.,	  -43.301,  75.657,   76.223,  386.687,	84.854,  27.972
17036, SRC, 401593715.,	  18.625,   116.975,  118.087, 317.381,	131.527, 52.481
17037, SRC, 397668424.,	  18.771,   116.450,  117.612, 315.744,	131.052, 52.619
17038, SRC, 414893907.,	  17.957,   121.838,  123.005, 332.158,	137.041, 51.759
17039, SRC, 447566553.,	  23.524,   131.479,  132.766, 351.386,	147.939, 53.754
17040, SRC, 386739681.,	  16.096,   114.247,  115.507, 314.493,	128.742, 51.435
17041, SRC, 348378321.,	  17.053,   102.789,  103.942, 275.282,	115.814, 53.038
17043, SRC, 130271506.,	  -9.663,   39.922,   40.241,  166.457,	44.852,  35.387
17044, SRC, 448386168.,	  -12.520,  136.310,  137.471, 502.736,	153.211, 40.231
17045, SRC, 419348708.,	  5.882,    125.929,  127.381, 399.242,	142.030, 46.177
17046, SRC, 77446059.,	  -0.517,   23.302,   23.582,  76.571, 	26.299,	 43.117
17047, SRC, 419764538.,	  15.651,   124.243,  125.806, 355.277,	140.156, 50.509
17048, SRC, 469877930.,	  19.224,   139.622,  141.201, 401.826,	157.373, 51.059
17049, SRC, 265115375.,	  15.121,   78.405,   79.215,  211.543,	88.262,	 54.599
17050, SRC, 248932302.,	  15.580,   73.605,   74.380,  195.178,	82.916,  55.916
17051, SRC, 737528282.,	  45.015,   218.429,  220.590, 578.781,	245.906, 55.529
17052, SRC, 462153609.,	  25.826,   137.065,  138.482, 367.474,	154.320, 54.356
17053, SRC, 626161475.,	  35.764,   185.868,  187.809, 497.613,	209.202, 54.631
17054, SRC, 529445214.,	  31.797,   157.096,  158.772, 416.242,	176.887, 55.343
17055, SRC, 618857894.,	  36.334,   183.691,  185.768, 488.442,	206.978, 55.056
17056, SRC, 644011550.,	  41.399,   191.076,  193.309, 500.585,	215.463, 56.409
17057, SRC, 583234517.,	  34.343,   173.304,  175.391, 460.953,	195.487, 55.121
17093, MF,  160160376.,	  -25.990,  49.416,   49.725,  244.511,	55.434,  28.783
17094, MF,  41145953.,	  -4.069,   12.590,   12.675,  54.060, 	14.130,  33.181
17096, MF,  335721439.,	  25.803,   97.988,   98.943,  239.722,	110.371, 60.046
