# x0:         x-axis central bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
x0,zcont,zcont_err
       0.00875,           0,             0
       0.03375,           0,             0
       0.06625,           0,             0
       0.09875,           0,             0
       0.13125,           0,             0
       0.16375,    0.234426,      0.117213
       0.19625,     0.16821,       0.12082
       0.22875,     0.65543,       0.21419
       0.26125,     14.2335,       1.09484
       0.29375,     49.7429,       2.00856
       0.32625,     55.4069,       2.09994
       0.35875,     41.2015,       1.82853
       0.39125,     38.4167,       1.74727
       0.42375,     33.6866,       1.61339
       0.45625,     28.0524,       1.48381
       0.48875,     22.0993,       1.33909
       0.52125,     21.1881,       1.29566
       0.55375,     16.4261,       1.14046
       0.58625,     13.3836,       1.03919
       0.61875,     11.9232,      0.958534
       0.65125,     8.55804,      0.833292
       0.68375,     6.60773,      0.722635
       0.71625,     4.99775,       0.63286
       0.74875,     3.77017,      0.573046
       0.78125,     3.97505,      0.544246
       0.81375,     2.81487,      0.472775
