# x0:         x-axis central bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
x0,zcont,zcont_err
       0.00875,           0,             0
       0.03375,           0,             0
       0.06625,           0,             0
       0.09875,           0,             0
       0.13125,           0,             0
       0.16375,           0,             0
       0.19625,    0.275887,      0.123381
       0.22875,    0.438847,      0.155157
       0.26125,     21.2499,        1.0816
       0.29375,     65.2131,       1.89444
       0.32625,     67.7447,       1.93087
       0.35875,     54.1461,       1.72612
       0.39125,     46.7171,       1.60334
       0.42375,     36.6465,       1.42005
       0.45625,     32.5151,       1.33751
       0.48875,     29.0181,       1.26407
       0.52125,     25.4772,       1.18405
       0.55375,     19.6966,       1.04101
       0.58625,     17.2288,      0.973842
       0.61875,     12.8226,      0.840046
       0.65125,     11.2282,      0.786143
       0.68375,     7.86695,      0.657877
       0.71625,     6.27366,       0.58759
       0.74875,     6.26289,       0.58658
       0.78125,     3.69251,       0.45112
       0.81375,     3.41059,       0.43315
