# x0:         x-axis central bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
x0,zcont,zcont_err
       0.00875,           0,             0
       0.03375,           0,             0
       0.06625,           0,             0
       0.09875,           0,             0
       0.13125,           0,             0
       0.16375,    0.056928,      0.056928
       0.19625,    0.165361,      0.117876
       0.22875,     0.58637,      0.201596
       0.26125,     16.3851,       1.13211
       0.29375,     48.8282,       1.96139
       0.32625,     53.2968,       2.03576
       0.35875,     44.1099,       1.84373
       0.39125,     36.3049,       1.68298
       0.42375,     30.1379,       1.52212
       0.45625,     26.3208,       1.42512
       0.48875,     21.4682,       1.30293
       0.52125,     19.9417,       1.24644
       0.55375,     16.4568,       1.12286
       0.58625,     10.8339,      0.948049
       0.61875,      9.0812,      0.852382
       0.65125,     6.59273,      0.747578
       0.68375,     6.26875,      0.696942
       0.71625,     4.97163,      0.621019
       0.74875,     3.48924,      0.548448
       0.78125,     2.70477,      0.463146
       0.81375,      2.4246,      0.440255
