# x0:         x-axis central bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
x0,zcont,zcont_err
       0.00875,           0,             0
       0.03375,           0,             0
       0.06625,           0,             0
       0.09875,    0.025229,      0.025229
       0.13125,    0.050458,     0.0356792
       0.16375,   0.0754922,      0.043586
       0.19625,    0.100937,     0.0504685
       0.22875,    0.301323,     0.0869892
       0.26125,     5.39065,      0.367662
       0.29375,     21.3759,       0.73195
       0.32625,     29.6345,      0.861669
       0.35875,     26.3195,       0.81192
       0.39125,     24.3768,      0.781548
       0.42375,     22.0904,      0.743883
       0.45625,     17.7611,      0.667082
       0.48875,     15.1022,      0.615055
       0.52125,     12.9531,      0.569713
       0.55375,     9.94315,       0.49907
       0.58625,     8.74402,      0.468092
       0.61875,      7.0931,       0.42167
       0.65125,     5.93054,       0.38526
       0.68375,     4.51153,      0.336293
       0.71625,      3.5039,      0.296155
       0.74875,     3.26146,      0.286062
       0.78125,     1.63015,      0.202207
       0.81375,      1.9062,      0.218668
