# CaFe SIMC Summary File
# target       : target name analyzed
# kin          : kinematics analyzed 
# simc_yield   : yield (counts integrated over Pm per 1 mC) with all simc-analysis cuts applied
# sigma_raw_per_proton : per-proton yield scaled by transparency & target thickness -> 1 / (T * tgt_thick * Z/A )
# singleR_A_to_C12_MF : sigma_raw_per_proton_A / sigma_raw_per_proton_C12
# tgt_thick: target density (g/cm2)
# T Z A    : transparency (T) | # of protons(Z) and nucleons (A)

target,kin,simc_yield,simc_yield_err,sigma_raw_per_proton,sigma_raw_per_proton_err,singleR_A_to_C12_MF,singleR_A_to_C12_MF_err,tgt_thick,T,Z,A
C12,MF,774.542,8.789E+00,4901.372,5.562E+01,1.000,0.000E+00,0.574,5.5080E-01,6.0,12.0
Fe56,MF,259.367,2.211E+00,3999.704,5.562E+01,0.816,1.158E-02,0.367,3.8057E-01,26.0,56.0
Au197,MF,140.023,1.074E+00,3066.039,2.351E+01,0.626,8.567E-03,0.405,2.8140E-01,79.0,197.0
