#Plane_2v1
#Card       tzero  t_zero_err      entries
0    12.50000     0.00000             314
1    0.38321     0.30527             53714
2    10.72674     0.86495             80196
3    11.37162     1.00792             66925
4    7.31345     0.99622             46996
5    5.51951     0.94196             27051
6    10.69234     7.41763             2473
