#Plane_2x1
#Card       tzero  t_zero_err      entries
0    9.00518     4.30591             3475
1    6.60033     1.36666             39630
2    3.12608     0.41313             95160
3    3.52372     0.60715             93013
4    12.32326     1.18571             48634
