#-------------------------------------
#        Data Analysis Summary        
#-------------------------------------
#                                     
#                                     
# target_name: C12        kin_type:  SRC            
# target_amu: 12.010700                 
# beam_energy [GeV]: 10.5494          
#
# hms_h_particle_mass [GeV]: 0.938272          
# hms_h_momentum [GeV/c]: 1.3250             
# hms_h_angle [deg]: -66.4000                  
#
# shms_e_particle_mass [GeV]: 0.000511          
# shms_e_momentum [GeV/c]: 8.5500             
# shms_e_angle [deg]: 8.3000                  
#
# BCM1_Current_Threshold [uA]: >5.00 
# Units: time [sec] | charge [mC] | currnet [uA] | rates [kHz] |  efficiencies [fractional form]                       
#                       
run,beam_time,charge,avg_current,total_Yield,total_Yield_err,real_Yield,real_Yield_err,random_Yield,random_Yield_err,hTrkEff,hTrkEff_err,pTrkEff,pTrkEff_err,cpuLT,cpuLT_err_Bi,tLT,tLT_err_Bi,S1X_rate,T1_scl_rate,T2_scl_rate,T3_scl_rate,T5_scl_rate,T1_accp_rate,T2_accp_rate,T3_accp_rate,T5_accp_rate,edtm_scl,edtm_accp,PS1,PS2,PS3,PS5,ctime_offset,ctime_sigma,hbeta_mean,hbeta_sigma,pbeta_mean,pbeta_sigma,pcal_mean,pcal_sigma,hdc1u1_res,hdc1u2_res,hdc1x1_res,hdc1x2_res,hdc1v2_res,hdc1v1_res,hdc2v1_res,hdc2v2_res,hdc2x2_res,hdc2x1_res,hdc2u2_res,hdc2u1_res,hdc1u1_res_err,hdc1u2_res_err,hdc1x1_res_err,hdc1x2_res_err,hdc1v2_res_err,hdc1v1_res_err,hdc2v1_res_err,hdc2v2_res_err,hdc2x2_res_err,hdc2x1_res_err,hdc2u2_res_err,hdc2u1_res_err,pdc1u1_res,pdc1u2_res,pdc1x1_res,pdc1x2_res,pdc1v1_res,pdc1v2_res,pdc2v2_res,pdc2v1_res,pdc2x2_res,pdc2x1_res,pdc2u2_res,pdc2u1_res,pdc1u1_res_err,pdc1u2_res_err,pdc1x1_res_err,pdc1x2_res_err,pdc1v1_res_err,pdc1v2_res_err,pdc2v2_res_err,pdc2v1_res_err,pdc2x2_res_err,pdc2x1_res_err,pdc2u2_res_err,pdc2u1_res_err
17077,30.090,1.876,62.339,8.000,2.828,8.000,2.828,0.000,0.000,1.000,0.000,0.991,0.003,1.015,-nan,0.933,0.014,349.688,144.208,111.351,6.449,0.047,0.171,0.168,0.147,0.047,300.000,280.000,-1.0,1025.0,65.0,1.0,-0.422,0.385,0.804,0.021,0.993,0.053,1.032,0.035,329.094,336.690,343.358,320.926,315.061,287.319,264.312,283.086,260.181,276.194,271.994,289.757,12.035,10.498,10.691,11.347,10.470,8.209,5.968,7.666,5.990,7.259,6.454,6.937,210.591,229.429,222.911,211.458,257.078,240.421,226.219,239.690,235.249,205.664,235.854,229.590,8.394,8.912,8.207,8.111,12.059,9.089,8.890,8.601,11.176,8.889,11.208,11.154
17078,336.333,9.181,27.297,31.000,5.568,31.000,5.568,0.000,0.000,1.000,0.000,0.993,0.001,1.049,-nan,0.936,0.004,152.457,60.468,47.658,2.803,0.013,0.064,0.063,0.057,0.014,3352.000,3136.000,-1.0,1025.0,65.0,1.0,-0.417,0.372,0.805,0.022,0.994,0.052,1.022,0.035,334.598,339.367,346.962,323.199,299.265,290.143,268.652,276.129,264.856,273.316,277.142,292.100,4.882,5.226,4.986,4.546,4.260,4.016,3.134,3.450,3.261,3.227,3.203,3.351,226.786,224.228,226.616,220.439,251.232,251.857,224.206,226.330,205.382,216.309,226.204,225.336,3.900,3.676,4.067,4.450,4.570,4.805,3.805,3.852,4.219,4.318,4.099,4.085
17079,775.238,21.528,27.769,106.000,10.296,105.000,10.344,1.000,1.000,1.000,0.000,0.995,0.001,1.051,-nan,0.934,0.003,155.039,61.310,48.383,2.851,0.013,0.064,0.063,0.058,0.014,7726.000,7216.000,-1.0,1025.0,65.0,1.0,-0.397,0.376,0.805,0.022,0.993,0.052,1.020,0.034,339.678,347.057,344.083,336.028,306.779,292.142,270.302,276.417,259.110,274.628,276.949,284.000,3.431,3.618,3.254,3.398,2.957,2.664,2.133,2.242,2.084,2.117,2.096,2.181,220.276,227.630,225.907,216.216,252.674,244.327,227.993,223.570,200.612,211.855,217.180,229.949,2.608,2.567,2.685,2.722,3.103,2.854,2.558,2.470,2.655,2.625,2.489,2.835
17083,2925.152,131.665,45.011,539.000,23.216,528.000,23.452,11.000,3.317,0.999,0.000,0.991,0.000,1.024,-nan,0.935,0.001,251.846,102.061,79.445,4.636,0.028,0.114,0.112,0.100,0.029,29152.000,27249.000,-1.0,1025.0,65.0,1.0,-0.430,0.376,0.805,0.022,0.994,0.052,1.026,0.034,331.885,340.521,346.934,333.654,304.101,293.327,274.174,284.186,263.307,274.910,282.026,294.609,2.431,2.572,2.462,2.491,2.208,1.826,1.665,1.679,1.590,1.631,1.637,1.678,228.920,230.960,229.549,219.907,253.352,249.444,229.661,230.523,211.471,211.376,221.208,227.644,1.988,2.018,2.204,1.983,2.353,2.326,2.000,2.031,2.005,2.015,2.031,2.091
17087,2426.516,120.746,49.761,528.000,22.978,519.000,23.173,9.000,3.000,0.999,0.000,0.990,0.000,1.019,-nan,0.938,0.002,278.682,113.586,88.167,5.130,0.032,0.129,0.127,0.112,0.033,24180.000,22690.000,-1.0,1025.0,65.0,1.0,-0.411,0.385,0.805,0.022,0.993,0.051,1.027,0.034,340.474,346.956,351.217,333.033,303.616,291.792,274.487,278.742,264.211,273.678,282.540,296.204,2.604,2.755,2.351,2.214,2.211,1.788,1.645,1.739,1.622,1.576,1.632,1.717,231.137,232.503,234.617,222.277,252.993,249.061,228.970,229.659,216.536,216.262,223.967,230.401,2.077,2.060,2.139,2.061,2.456,2.441,2.016,2.098,2.178,2.168,2.055,2.241
17086,2797.711,144.153,51.525,601.000,24.515,589.000,24.759,12.000,3.464,0.999,0.000,0.989,0.000,1.019,-nan,0.936,0.001,288.584,117.732,91.342,5.315,0.034,0.134,0.132,0.116,0.035,27882.000,26095.000,-1.0,1025.0,65.0,1.0,-0.405,0.379,0.805,0.022,0.994,0.053,1.028,0.034,336.270,340.254,351.217,335.134,304.027,293.418,274.779,280.539,260.703,276.387,283.182,294.205,2.263,2.588,2.339,2.248,2.199,1.832,1.667,1.741,1.568,1.650,1.672,1.689,230.680,235.180,232.391,220.700,252.440,252.125,234.218,226.301,214.576,211.810,225.542,228.521,2.024,2.217,2.234,2.283,2.471,2.522,2.200,1.938,2.148,2.070,2.157,2.154
17076,1111.248,61.267,55.133,272.000,16.492,268.000,16.613,4.000,2.000,0.999,0.000,0.987,0.000,1.017,-nan,0.935,0.002,308.718,127.131,98.124,5.686,0.040,0.238,0.237,0.086,0.041,11078.000,10353.000,-1.0,513.0,129.0,1.0,-0.412,0.378,0.805,0.022,0.995,0.053,1.030,0.035,343.636,345.668,350.877,333.088,304.994,293.323,275.318,285.393,269.434,278.779,289.334,298.531,3.616,3.577,3.152,3.018,2.730,2.501,2.217,2.276,2.087,2.231,2.179,2.332,233.738,238.537,233.569,228.649,252.201,254.717,235.276,233.094,216.425,222.785,227.146,234.881,1.913,1.811,1.900,1.972,2.197,2.049,1.802,1.794,1.936,1.864,1.915,2.115
17080,2278.778,89.700,39.363,440.000,20.976,435.000,21.095,5.000,2.236,0.999,0.000,0.992,0.000,1.027,-nan,0.939,0.002,220.166,88.544,69.225,4.049,0.023,0.097,0.096,0.086,0.024,22708.000,21325.000,-1.0,1025.0,65.0,1.0,-0.415,0.372,0.805,0.022,0.994,0.052,1.024,0.035,337.576,348.140,344.036,332.672,307.075,295.308,273.496,278.319,261.789,271.077,280.357,289.266,2.600,2.774,2.464,2.478,2.285,1.897,1.678,1.755,1.627,1.616,1.670,1.649,225.291,230.171,227.319,218.449,250.394,251.709,230.007,222.802,206.972,216.835,219.640,222.958,2.107,1.999,2.140,2.166,2.315,2.409,2.010,1.898,1.922,2.195,1.964,1.986
17089,1483.701,67.668,45.608,298.000,17.263,292.000,17.436,6.000,2.449,0.999,0.000,0.990,0.000,1.022,-nan,0.939,0.002,255.138,103.768,80.654,4.698,0.029,0.117,0.115,0.102,0.030,14789.000,13882.000,-1.0,1025.0,65.0,1.0,-0.405,0.379,0.805,0.022,0.994,0.052,1.026,0.035,333.474,342.085,349.069,336.111,311.274,294.404,270.025,277.486,260.512,275.039,282.373,294.576,2.504,2.653,2.336,2.324,2.365,1.889,1.608,1.697,1.573,1.625,1.578,1.707,231.018,233.700,229.426,218.960,256.387,251.677,229.403,232.884,215.085,216.096,225.115,229.177,2.031,2.134,2.190,1.984,2.524,2.586,2.001,1.963,2.115,2.142,2.115,2.177
17082,1294.948,38.947,30.076,152.000,12.329,150.000,12.410,2.000,1.414,0.999,0.000,0.993,0.001,1.041,-nan,0.935,0.002,167.866,67.066,52.630,3.089,0.016,0.072,0.071,0.064,0.017,12907.000,12070.000,-1.0,1025.0,65.0,1.0,-0.412,0.384,0.805,0.022,0.994,0.052,1.022,0.035,339.054,346.979,349.227,332.428,307.332,296.665,274.498,284.201,263.557,274.212,279.933,295.357,2.692,2.798,2.645,2.648,2.357,2.005,1.726,1.705,1.683,1.679,1.698,1.775,224.365,232.921,230.846,218.431,252.765,252.364,227.389,230.862,209.020,213.718,222.911,223.305,1.927,2.079,2.235,2.202,2.476,2.430,2.035,2.052,2.009,2.104,2.068,2.371
17084,1837.379,86.335,46.988,364.000,19.079,355.000,19.313,9.000,3.000,0.999,0.000,0.990,0.000,1.022,-nan,0.934,0.002,263.066,107.057,83.108,4.843,0.030,0.121,0.119,0.105,0.031,18312.000,17109.000,-1.0,1025.0,65.0,1.0,-0.405,0.379,0.805,0.022,0.993,0.052,1.027,0.034,337.134,341.163,351.501,332.972,307.651,292.740,273.622,283.865,259.101,275.230,276.611,300.406,2.565,2.622,2.389,2.544,2.293,1.836,1.664,1.665,1.562,1.662,1.613,1.801,231.829,234.005,233.191,219.541,251.118,252.175,229.762,227.574,210.195,215.584,224.738,233.625,2.135,2.159,2.353,2.314,2.478,2.483,2.107,2.089,2.066,2.192,2.175,2.345
17081,2750.668,102.225,37.164,451.000,21.237,445.000,21.378,6.000,2.449,0.999,0.000,0.992,0.000,1.029,-nan,0.939,0.001,207.691,83.428,65.269,3.821,0.021,0.091,0.090,0.080,0.022,27414.000,25748.000,-1.0,1025.0,65.0,1.0,-0.408,0.384,0.805,0.022,0.994,0.053,1.024,0.034,337.160,346.574,346.134,334.417,306.809,296.176,274.435,284.019,261.654,276.060,281.865,294.264,2.587,2.708,2.524,2.513,2.292,1.932,1.669,1.826,1.629,1.687,1.686,1.695,227.134,235.952,231.614,222.040,251.468,251.147,228.654,227.548,213.845,216.428,214.923,223.045,2.194,2.109,2.262,2.271,2.385,2.390,2.011,1.952,2.116,2.150,1.881,2.061
17088,2905.601,133.852,46.067,557.000,23.601,547.000,23.812,10.000,3.162,0.999,0.000,0.990,0.000,1.022,-nan,0.937,0.001,257.753,104.775,81.497,4.745,0.029,0.118,0.116,0.103,0.030,28955.000,27138.000,-1.0,1025.0,65.0,1.0,-0.418,0.378,0.805,0.022,0.994,0.053,1.025,0.035,335.814,343.625,350.061,337.371,307.020,298.518,275.238,277.276,262.999,275.999,280.297,296.347,2.542,2.714,2.343,2.369,2.344,1.942,1.697,1.711,1.621,1.656,1.637,1.723,227.607,230.251,227.808,220.940,255.186,249.804,232.214,228.668,213.432,217.786,222.983,227.086,1.936,2.018,2.155,2.287,2.477,2.403,2.106,2.093,2.106,2.169,2.082,2.110
17085,3041.756,136.323,44.817,629.000,25.080,617.000,25.318,12.000,3.464,0.999,0.000,0.991,0.000,1.023,-nan,0.937,0.001,250.645,101.412,79.022,4.613,0.027,0.113,0.111,0.099,0.028,30314.000,28416.000,-1.0,1025.0,65.0,1.0,-0.419,0.383,0.805,0.022,0.993,0.051,1.026,0.034,339.973,344.781,351.069,335.099,301.201,297.288,272.023,279.239,260.931,274.108,280.054,296.009,2.643,2.690,2.598,2.270,2.185,1.913,1.644,1.747,1.585,1.628,1.637,1.746,225.913,232.063,229.826,224.376,251.970,252.370,231.628,229.772,210.220,221.051,221.846,230.289,2.173,2.073,2.257,2.135,2.460,2.505,2.117,1.923,2.008,2.317,2.076,2.255
