#-------------------------------------
#        Data Analysis Summary        
#-------------------------------------
#                                     
#                                     
# target_name: Ca40        kin_type:  SRC            
# target_amu: 39.962591                 
# target_density [g/cm3]: 1.5500     
# target_thickness [cm]: 0.5065      
# target_areal_density [g/cm2]: 0.7851
#
# N: 20
# Z: 20
# A: 40
# transparency: 0.412
#
# beam_energy [GeV]: 10.5494          
#
# hms_h_particle_mass [GeV]: 0.938272          
# hms_h_momentum [GeV/c]: 1.3250             
# hms_h_angle [deg]: -66.4000                  
#
# shms_e_particle_mass [GeV]: 0.000511          
# shms_e_momentum [GeV/c]: 8.5500             
# shms_e_angle [deg]: 8.3000                  
#
# BCM1_Current_Threshold [uA]: >5.00 
# Units: time [sec] | charge [mC] | currnet [uA] | rates [kHz] |  efficiencies [fractional form]                       
#                       
run,beam_time,charge,avg_current,total_Yield,total_Yield_err,real_Yield,real_Yield_err,random_Yield,random_Yield_err,hTrkEff,hTrkEff_err,pTrkEff,pTrkEff_err,cpuLT,cpuLT_err_Bi,tLT,tLT_err_Bi,S1X_rate,T1_scl_rate,T2_scl_rate,T3_scl_rate,T5_scl_rate,T1_accp_rate,T2_accp_rate,T3_accp_rate,T5_accp_rate,edtm_scl,edtm_accp,PS1,PS2,PS3,PS5,ctime_offset,ctime_sigma,hbeta_mean,hbeta_sigma,pbeta_mean,pbeta_sigma,pcal_mean,pcal_sigma,hdc1u1_res,hdc1u2_res,hdc1x1_res,hdc1x2_res,hdc1v2_res,hdc1v1_res,hdc2v1_res,hdc2v2_res,hdc2x2_res,hdc2x1_res,hdc2u2_res,hdc2u1_res,hdc1u1_res_err,hdc1u2_res_err,hdc1x1_res_err,hdc1x2_res_err,hdc1v2_res_err,hdc1v1_res_err,hdc2v1_res_err,hdc2v2_res_err,hdc2x2_res_err,hdc2x1_res_err,hdc2u2_res_err,hdc2u1_res_err,pdc1u1_res,pdc1u2_res,pdc1x1_res,pdc1x2_res,pdc1v1_res,pdc1v2_res,pdc2v2_res,pdc2v1_res,pdc2x2_res,pdc2x1_res,pdc2u2_res,pdc2u1_res,pdc1u1_res_err,pdc1u2_res_err,pdc1x1_res_err,pdc1x2_res_err,pdc1v1_res_err,pdc1v2_res_err,pdc2v2_res_err,pdc2v1_res_err,pdc2x2_res_err,pdc2x1_res_err,pdc2u2_res_err,pdc2u1_res_err,multi_track_eff,multi_track_eff_err,T1_accp_singles,T2_accp_singles,pTrkEff_singles,pTrkEff_singles_err
17008,1583.784,19.305,12.189,76.000,8.718,75.671,8.724,0.329,0.329,0.999,7.854E-05,0.982,6.086E-04,1.055,-NAN,0.947,1.788E-03,1.395E+02,3.771E+01,2.849E+01,4.486E+00,9.771E-03,1.269E-01,1.255E-01,1.465E-01,1.031E-02,15793.000,14951.000,-1.0,257.0,33.0,1.0,-0.337,0.378,0.805,0.022,0.993,0.052,1.009,0.036,327.265,337.635,345.880,331.888,299.811,291.459,275.811,280.429,262.049,272.503,288.823,300.156,2.549,2.712,2.639,2.637,2.273,1.980,1.805,1.880,1.697,1.713,1.750,1.889,220.247,222.786,220.689,217.259,256.136,243.318,220.794,223.518,211.757,218.787,220.149,221.654,2.219,2.280,2.253,2.427,2.822,2.489,2.083,2.146,2.313,2.470,2.234,2.253,0.993,0.055,1.756E+05,1.756E+05,0.982,0.001
17009,879.218,11.460,13.034,49.000,7.000,48.013,7.023,0.987,0.570,0.999,9.534E-05,0.982,7.871E-04,1.051,-NAN,0.944,2.447E-03,1.491E+02,4.046E+01,3.052E+01,4.801E+00,1.094E-02,1.370E-01,1.353E-01,1.573E-01,1.149E-02,8766.000,8279.000,-1.0,257.0,33.0,1.0,-0.327,0.375,0.805,0.022,0.993,0.052,1.010,0.035,329.738,335.760,346.106,328.208,299.148,293.063,277.238,281.448,261.248,273.477,283.641,296.495,2.581,2.688,2.668,2.531,2.255,1.972,1.794,1.897,1.692,1.694,1.775,1.828,221.564,221.966,225.972,212.711,244.163,246.252,228.928,224.643,207.895,213.120,221.284,220.127,2.232,2.239,2.305,2.257,2.779,2.541,2.245,2.112,2.207,2.278,2.210,2.215,0.992,0.066,1.044E+05,1.044E+05,0.982,0.001
17011,2286.655,115.116,50.342,433.000,20.809,409.645,20.992,23.355,2.772,0.999,6.245E-05,0.965,6.034E-04,1.005,-NAN,0.940,1.571E-03,5.747E+02,1.802E+02,1.257E+02,1.853E+01,1.176E-01,1.935E-01,1.894E-01,1.911E-01,1.182E-01,22789.000,21425.000,-1.0,2049.0,257.0,1.0,-0.367,0.426,0.806,0.022,0.995,0.054,1.030,0.037,328.159,336.055,348.369,331.911,296.418,293.519,273.907,287.322,262.731,277.456,288.180,301.515,2.196,2.312,2.141,2.056,1.925,1.706,1.513,1.560,1.339,1.512,1.488,1.646,242.557,248.906,239.052,241.256,259.683,256.056,243.528,238.052,223.274,234.040,232.703,235.185,2.256,2.411,2.364,2.427,2.619,2.537,2.349,2.280,2.213,2.441,2.199,2.319,0.968,0.018,1.402E+05,1.402E+05,0.965,0.001
17012,1411.770,73.030,51.730,292.000,17.088,273.908,17.261,18.092,2.440,0.999,7.585E-05,0.963,7.712E-04,1.005,-NAN,0.941,1.988E-03,5.895E+02,1.872E+02,1.299E+02,1.902E+01,1.274E-01,2.067E-01,2.022E-01,2.030E-01,1.280E-01,14069.000,13238.000,-1.0,2049.0,257.0,1.0,-0.360,0.421,0.806,0.022,0.995,0.055,1.029,0.038,330.924,331.675,345.526,333.663,299.114,288.724,274.338,281.935,264.687,276.422,286.558,297.177,2.253,2.241,2.079,2.099,1.959,1.637,1.506,1.497,1.491,1.507,1.585,1.595,244.800,250.629,243.741,232.920,259.851,261.564,241.409,238.647,221.289,233.546,232.040,236.069,2.325,2.471,2.488,2.495,2.537,2.611,2.258,2.261,2.532,2.491,2.282,2.356,0.966,0.022,8.946E+04,8.946E+04,0.963,0.001
17013,2068.117,109.372,52.885,389.000,19.723,367.289,19.903,21.711,2.672,0.999,6.450E-05,0.962,6.361E-04,1.005,-NAN,0.941,1.644E-03,6.023E+02,1.909E+02,1.325E+02,1.945E+01,1.282E-01,2.089E-01,2.044E-01,2.054E-01,1.288E-01,20611.000,19391.000,-1.0,2049.0,257.0,1.0,-0.375,0.433,0.806,0.022,0.995,0.054,1.030,0.038,330.993,334.239,348.489,333.726,302.548,293.918,278.070,285.404,265.287,277.577,288.722,300.962,2.051,2.284,2.144,2.074,2.015,1.683,1.557,1.533,1.510,1.511,1.484,1.641,249.324,250.257,245.036,237.041,264.404,263.693,242.354,243.938,223.939,231.849,236.725,239.881,2.496,2.494,2.545,2.589,2.700,2.722,2.307,2.292,2.254,2.511,2.351,2.463,0.966,0.018,1.337E+05,1.337E+05,0.962,0.001
17014,2244.452,114.664,51.088,437.000,20.905,416.934,21.062,20.066,2.569,0.999,6.493E-05,0.964,6.093E-04,1.005,-NAN,0.940,1.591E-03,5.815E+02,1.831E+02,1.276E+02,1.878E+01,1.196E-01,1.966E-01,1.926E-01,1.942E-01,1.202E-01,22370.000,21022.000,-1.0,2049.0,257.0,1.0,-0.379,0.428,0.806,0.022,0.994,0.054,1.030,0.037,332.282,334.531,352.654,333.416,300.586,292.532,280.341,287.615,266.606,277.367,292.892,297.438,2.086,2.269,2.148,2.056,1.976,1.678,1.473,1.531,1.383,1.509,1.517,1.579,244.624,247.986,245.430,234.093,258.022,257.470,243.536,239.627,224.977,236.182,239.676,237.701,2.292,2.403,2.477,2.520,2.614,2.531,2.272,2.265,2.223,2.518,2.339,2.351,0.968,0.018,1.398E+05,1.398E+05,0.964,0.001
17015,2328.050,116.467,50.028,420.000,20.494,394.013,20.701,25.987,2.924,0.999,6.345E-05,0.965,6.013E-04,1.005,-NAN,0.941,1.548E-03,5.693E+02,1.792E+02,1.250E+02,1.839E+01,1.167E-01,1.921E-01,1.881E-01,1.897E-01,1.172E-01,23203.000,21831.000,-1.0,2049.0,257.0,1.0,-0.351,0.428,0.806,0.022,0.995,0.054,1.029,0.038,331.265,334.698,349.992,333.651,304.563,296.694,277.449,285.060,266.757,276.135,293.664,300.704,2.004,2.285,2.122,2.053,2.028,1.736,1.540,1.510,1.395,1.476,1.548,1.624,245.187,241.495,242.492,236.597,259.448,259.195,238.561,237.172,224.895,233.586,237.051,245.384,2.370,2.244,2.463,2.620,2.549,2.553,2.239,2.162,2.569,2.441,2.353,2.575,0.967,0.018,1.420E+05,1.420E+05,0.965,0.001
17016,2024.776,98.580,48.687,355.000,18.841,333.289,19.030,21.711,2.672,0.999,7.279E-05,0.964,6.602E-04,1.005,-NAN,0.940,1.673E-03,5.542E+02,1.740E+02,1.216E+02,1.791E+01,1.123E-01,1.855E-01,1.816E-01,1.833E-01,1.129E-01,20179.000,18967.000,-1.0,2049.0,257.0,1.0,-0.360,0.423,0.806,0.022,0.994,0.053,1.027,0.037,324.787,333.914,351.693,332.158,300.718,291.384,281.756,287.139,267.935,276.753,292.209,309.300,2.226,2.340,2.220,2.081,2.039,1.718,1.530,1.583,1.435,1.540,1.580,1.658,242.787,245.479,241.785,235.160,260.992,255.898,237.908,242.425,220.890,233.235,235.893,239.090,2.287,2.367,2.491,2.533,2.577,2.501,2.257,2.366,2.428,2.465,2.313,2.322,0.969,0.020,1.202E+05,1.202E+05,0.964,0.001
17017,2109.819,107.967,51.174,395.000,19.875,370.658,20.075,24.342,2.830,0.999,6.725E-05,0.964,6.290E-04,1.005,-NAN,0.940,1.639E-03,5.822E+02,1.836E+02,1.280E+02,1.881E+01,1.198E-01,1.972E-01,1.929E-01,1.945E-01,1.204E-01,21026.000,19762.000,-1.0,2049.0,257.0,1.0,-0.386,0.428,0.805,0.022,0.994,0.054,1.030,0.037,336.065,333.866,356.170,330.084,302.921,292.926,279.401,289.490,266.967,278.563,292.282,309.597,2.088,2.268,2.075,2.001,1.803,1.693,1.467,1.575,1.386,1.515,1.507,1.629,248.579,255.637,245.410,232.273,263.704,257.933,240.375,242.389,230.756,231.197,237.029,237.437,2.349,2.348,2.524,2.452,2.568,2.453,2.251,2.116,2.362,2.383,2.298,2.280,0.966,0.018,1.317E+05,1.317E+05,0.964,0.001
17018,2728.449,144.867,53.095,515.000,22.694,478.816,22.954,36.184,3.450,0.999,6.178E-05,0.962,5.519E-04,1.005,-NAN,0.938,1.459E-03,6.037E+02,1.910E+02,1.329E+02,1.952E+01,1.263E-01,2.068E-01,2.024E-01,2.037E-01,1.269E-01,27191.000,25514.000,-1.0,2049.0,257.0,1.0,-0.354,0.424,0.806,0.022,0.994,0.054,1.030,0.037,328.578,337.580,353.708,335.583,302.197,295.267,284.206,290.355,270.097,278.992,296.718,310.706,1.990,2.313,2.023,2.136,1.788,1.733,1.502,1.577,1.417,1.531,1.591,1.627,246.983,248.087,243.544,231.838,253.816,256.264,246.985,245.774,228.691,235.989,235.452,244.772,2.383,2.396,2.509,2.481,2.418,2.499,2.281,2.273,2.342,2.544,2.307,2.506,0.967,0.016,1.770E+05,1.770E+05,0.962,0.001
