#Plane_2v2
#Card       tzero  t_zero_err      entries
0    6.17023     1.44781             18349
1    4.10391     0.39057             124163
2    5.22867     0.39322             252550
3    6.55675     0.41975             209579
4    -0.22745     0.49783             49862
5    -2.79611     0.81423             7481
