#Plane_2x1
#Card       tzero  t_zero_err      entries
0    -4.97490     0.38919             46578
1    -4.25570     0.23553             184208
2    -4.68216     0.18137             137956
3    4.38881     0.47189             113491
4    4.36962     0.67279             85293
5    5.11441     0.81326             59874
6    6.71302     1.24601             22851
