#Plane_1v1
#Card       tzero  t_zero_err      entries
0    -5.23942     2.01640             2284
1    -2.37038     0.75279             23963
2    5.92476     0.89425             69214
3    7.66626     0.70158             104968
4    4.80394     0.49833             95641
5    -2.40436     0.52128             20466
