#Plane_1u2
#Card       tzero  t_zero_err      entries
0    6.23531     3.20431             2617
1    6.06751     1.17944             32682
2    5.09085     0.60299             90940
3    6.10144     0.54984             117474
4    -2.85569     0.40827             61018
5    -5.16708     1.32918             10773
