#Plane_1v1
#Card       tzero  t_zero_err      entries
0    0.50000     0.00000             499
1    -0.85717     1.40550             7821
2    5.08551     0.91700             43835
3    5.01518     1.22089             29531
4    10.50000     0.00000             1308
5    50.50000     0.00000             79
