# CaFe B11 MF Systematics Cuts Summary
# entry -> id for a particular combination of random gaussian-generated data analysis cuts  
# syst_total_real -> randoms-subtracted, integrated yield (varied all cuts simultaneously)
# syst_dVAR_real,err -> randoms-subtracted integrated yield (kept all cuts at central value, and varied only VAR)
entry,syst_total_real,syst_total_real_err,syst_dPm_max_real,syst_dPm_max_real_err,syst_dQ2_real,syst_dQ2_real_err,syst_dEm_real,syst_dEm_real_err,syst_dHcoll_real,syst_dHcoll_real_err,syst_dScoll_real,syst_dScoll_real_err
0,186118.854,431.552,162760.644,403.557,179901.470,424.282,161388.287,401.850,168526.012,410.642,162355.302,403.053
1,165335.688,406.740,162605.644,403.365,169279.386,411.563,160365.944,400.575,160256.620,400.439,162346.302,403.042
2,139712.763,373.883,162350.302,403.047,139967.091,374.223,164768.003,406.039,159658.620,399.692,162350.302,403.047
3,162959.316,403.803,163175.315,404.071,161254.959,401.685,162350.302,403.047,163245.645,404.157,162348.302,403.045
4,142261.515,377.288,162605.644,403.365,153259.553,391.597,163391.331,404.340,149542.237,386.823,162349.302,403.046
5,172651.751,415.644,161677.617,402.209,178715.459,422.880,162871.317,403.694,157044.934,396.406,162348.302,403.045
6,175099.393,418.575,160616.262,400.885,171639.066,414.422,162350.302,403.047,167447.344,409.326,162355.302,403.053
7,154692.236,393.424,161991.959,402.601,158483.937,398.217,162350.302,403.047,158821.948,398.643,162357.302,403.056
8,152872.577,391.105,162258.630,402.933,161621.959,402.141,162350.302,403.047,153656.591,392.108,162349.302,403.046
9,144193.819,379.836,163107.315,403.987,137468.750,370.869,163840.331,404.895,167938.344,409.925,162353.302,403.051
10,164550.672,405.772,161898.288,402.484,167407.699,409.280,163840.331,404.895,158604.604,398.369,162355.302,403.053
11,127274.696,356.853,163175.315,404.071,122853.987,350.598,161884.958,402.468,167938.344,409.925,162349.302,403.046
12,157899.277,397.484,163631.999,404.638,154406.896,393.060,162350.302,403.047,164731.988,405.993,162353.302,403.051
13,137652.762,371.118,163236.315,404.146,138880.091,372.768,163840.331,404.895,158604.604,398.369,162349.302,403.046
14,185856.840,431.247,162527.973,403.268,179493.131,423.799,161388.287,401.850,168923.683,411.127,162355.302,403.053
15,151240.208,389.009,162527.973,403.268,156631.249,395.882,161884.958,402.468,157044.934,396.406,162349.302,403.046
16,139451.423,373.533,161237.275,401.661,137119.750,370.398,161884.958,402.468,166680.675,408.388,162351.302,403.048
17,156813.924,396.113,162440.973,403.160,146885.500,383.365,162871.317,403.694,172694.057,415.691,162349.302,403.046
18,141128.512,375.783,160616.262,400.885,161621.959,402.141,162350.302,403.047,143311.223,378.682,162338.302,403.032
19,180847.457,425.394,162760.644,403.557,174416.078,417.760,161388.287,401.850,168923.683,411.127,162348.302,403.045
20,161338.616,401.788,162760.644,403.557,159271.608,399.206,160365.944,400.575,166091.331,407.665,162351.302,403.048
21,174840.351,418.261,158584.223,398.338,172428.066,415.372,162350.302,403.047,168625.012,410.763,162344.302,403.040
22,148137.278,385.008,161461.617,401.941,165055.684,406.395,164321.003,405.488,144803.894,380.648,162348.302,403.045
23,155899.577,394.956,162837.315,403.652,155141.568,393.994,162871.317,403.694,162136.962,402.781,162351.302,403.048
24,133459.762,365.426,161570.617,402.076,149450.183,386.698,161388.287,401.850,146558.565,382.947,162351.302,403.048
25,157828.964,397.397,162605.644,403.365,160054.946,400.187,163391.331,404.340,158821.948,398.643,162352.302,403.050
26,146242.489,382.524,162527.973,403.268,147258.500,383.851,160365.944,400.575,163065.974,403.934,162353.302,403.051
27,128367.051,358.384,163175.315,404.071,136070.750,368.979,162350.302,403.047,152446.919,390.562,162349.302,403.046
28,142587.118,377.711,161898.288,402.484,136770.750,369.926,162871.317,403.694,169198.683,411.461,162352.302,403.050
29,164232.000,405.378,161991.959,402.601,167805.371,409.766,162350.302,403.047,159257.948,399.190,162351.302,403.048
30,109054.542,330.315,163236.315,404.146,105733.843,325.245,162871.317,403.694,166091.331,407.665,162352.302,403.050
31,188187.879,433.946,162683.644,403.461,185863.869,431.258,160880.616,401.217,165517.659,406.960,162347.302,403.043
32,158369.589,398.073,161677.617,402.209,157401.593,396.855,163840.331,404.895,162539.302,403.281,162349.302,403.046
33,165149.684,406.511,162760.644,403.557,164644.341,405.888,161388.287,401.850,163403.645,404.353,162348.302,403.045
34,189220.566,435.136,161461.617,401.941,181459.845,426.119,163840.331,404.895,168820.683,411.001,162352.302,403.050
35,155139.208,393.988,161099.275,401.489,147623.170,384.326,165156.003,406.517,169019.683,411.243,162347.302,403.043
36,178944.776,423.149,162440.973,403.160,174039.078,417.309,160365.944,400.575,168923.683,411.127,162352.302,403.050
37,142881.444,378.100,159636.578,399.659,151306.210,389.093,161388.287,401.850,156823.934,396.128,162352.302,403.050
38,173733.064,416.940,161898.288,402.484,174039.078,417.309,162350.302,403.047,162539.302,403.281,162348.302,403.045
39,141791.778,376.655,162350.302,403.047,139582.091,373.708,162350.302,403.047,164917.988,406.222,162355.302,403.053
40,186882.841,432.435,161898.288,402.484,179089.131,423.322,160880.616,401.217,171465.369,414.208,162351.302,403.048
41,203578.302,451.340,160120.591,400.266,201236.629,448.738,163840.331,404.895,165374.988,406.784,162349.302,403.046
42,139977.118,374.240,163175.315,404.071,138880.091,372.768,163391.331,404.340,161770.962,402.327,162351.302,403.048
43,154253.212,392.862,161991.959,402.601,158483.937,398.217,159856.262,399.936,160837.291,401.164,162338.302,403.032
44,200853.002,448.315,162972.315,403.820,195152.929,441.904,164321.003,405.488,164408.988,405.595,162344.302,403.040
45,177147.789,421.022,162087.630,402.721,177924.787,421.944,163840.331,404.895,160469.620,400.705,162350.302,403.047
46,213378.081,462.081,162087.630,402.721,209614.713,457.987,163391.331,404.340,164561.988,405.784,162350.302,403.047
47,156946.959,396.286,162087.630,402.721,163473.989,404.441,163391.331,404.340,155139.263,393.995,162352.302,403.050
