# CaFe Be9 MF Systematics Cuts Summary
# entry -> id for a particular combination of random gaussian-generated data analysis cuts  
# syst_total_real -> randoms-subtracted, integrated yield (varied all cuts simultaneously)
# syst_dVAR_real,err -> randoms-subtracted integrated yield (kept all cuts at central value, and varied only VAR)
entry,syst_total_real,syst_total_real_err,syst_dPm_max_real,syst_dPm_max_real_err,syst_dQ2_real,syst_dQ2_real_err,syst_dEm_real,syst_dEm_real_err,syst_dHcoll_real,syst_dHcoll_real_err,syst_dScoll_real,syst_dScoll_real_err
0,162527.197,403.253,141685.039,376.504,157158.844,396.538,140601.357,375.060,146736.398,383.157,141401.039,376.127
1,144112.354,379.712,141575.039,376.358,147642.395,384.337,139746.341,373.917,139463.696,373.541,141387.039,376.108
2,120595.277,347.356,141395.039,376.119,121265.948,348.320,143128.711,378.417,138884.696,372.766,141395.039,376.119
3,141723.381,376.556,141956.710,376.865,140389.039,374.779,141395.039,376.119,142175.710,377.156,141391.039,376.114
4,123111.279,350.959,141575.039,376.358,133152.655,364.991,142078.040,377.026,129973.658,360.610,141394.039,376.118
5,150643.789,388.230,140943.026,375.516,156118.501,395.223,141731.039,376.565,136540.683,369.606,141391.039,376.114
6,153103.403,391.379,140220.355,374.552,149729.409,387.044,141395.039,376.119,145797.054,381.928,141399.039,376.124
7,134555.016,366.910,141169.697,375.818,137948.699,371.508,141395.039,376.119,138124.696,371.745,141403.039,376.130
8,132912.659,364.662,141336.368,376.040,140761.039,375.275,141395.039,376.119,133565.330,365.556,141395.039,376.119
9,124385.962,352.773,141897.710,376.787,119016.606,345.075,142432.040,377.495,146230.398,382.496,141399.039,376.124
10,143101.698,378.380,141088.026,375.709,145944.723,382.122,142432.040,377.495,137934.026,371.488,141401.039,376.127
11,109627.223,331.184,141956.710,376.865,105966.539,325.608,141007.371,375.603,146230.398,382.496,141393.039,376.116
12,136915.023,370.114,142251.395,377.258,134113.997,366.306,141395.039,376.119,143462.710,378.858,141396.039,376.120
13,118726.276,344.655,142003.381,376.928,120330.948,346.976,142432.040,377.495,137934.026,371.488,141395.039,376.119
14,162431.525,403.134,141514.039,376.277,156821.173,396.112,140601.357,375.060,147153.066,383.700,141401.039,376.127
15,131295.985,362.438,141514.039,376.277,136220.012,369.172,141007.371,375.603,136540.683,369.606,141395.039,376.119
16,120752.593,347.580,140625.355,375.092,118645.934,344.537,141007.371,375.603,145145.054,381.073,141396.039,376.120
17,136007.026,368.885,141454.039,376.197,127504.316,357.168,141731.039,376.565,150478.418,388.012,141393.039,376.116
18,122996.249,350.791,140220.355,374.552,140761.039,375.275,141395.039,376.119,124601.933,353.075,141379.039,376.098
19,157854.458,397.409,141685.039,376.504,152227.103,390.262,140601.357,375.060,147153.066,383.700,141392.039,376.115
20,140458.684,374.869,141685.039,376.504,138662.699,372.468,139746.341,373.917,144646.054,380.418,141396.039,376.120
21,153424.406,391.789,138865.342,372.737,150456.409,387.982,141395.039,376.119,146844.398,383.297,141387.039,376.108
22,128704.621,358.840,140786.355,375.307,143855.723,379.378,142763.711,377.935,125855.290,354.848,141391.039,376.114
23,135293.997,367.914,141718.039,376.548,134832.997,367.287,141731.039,376.565,141223.039,375.890,141396.039,376.120
24,115808.883,340.387,140860.026,375.405,129901.316,360.508,140601.357,375.060,127284.633,356.858,141396.039,376.120
25,136957.026,370.170,141575.039,376.358,139341.367,373.378,142078.040,377.026,138124.696,371.745,141396.039,376.120
26,126987.960,356.441,141514.039,376.277,127840.316,357.638,139746.341,373.917,142012.710,376.940,141396.039,376.120
27,110658.895,332.738,141956.710,376.865,117694.934,343.154,141395.039,376.119,132504.330,364.102,141394.039,376.118
28,123314.278,351.248,141088.026,375.709,118335.934,344.087,141731.039,376.565,147395.736,384.017,141396.039,376.120
29,143053.039,378.317,141169.697,375.818,146274.723,382.553,141395.039,376.119,138494.696,372.242,141396.039,376.120
30,93355.816,305.621,142003.381,376.928,90677.131,301.203,141731.039,376.565,144646.054,380.418,141396.039,376.120
31,164485.870,405.675,141635.039,376.438,162507.210,403.230,140174.013,374.489,144150.382,379.765,141391.039,376.114
32,137621.014,371.064,140943.026,375.516,136914.028,370.112,142432.040,377.495,141548.039,376.322,141393.039,376.116
33,143935.712,379.482,141685.039,376.504,143521.723,378.938,140601.357,375.060,142318.710,377.345,141391.039,376.114
34,165428.210,406.836,140786.355,375.307,158596.188,398.348,142432.040,377.495,147061.066,383.581,141396.039,376.120
35,134543.000,366.892,140539.355,374.977,128179.316,358.112,143446.383,378.837,147235.736,383.809,141391.039,376.114
36,156288.779,395.432,141454.039,376.197,151868.103,389.801,139746.341,373.917,147153.066,383.700,141396.039,376.120
37,124433.266,352.835,139538.013,373.639,131479.655,362.692,140601.357,375.060,136340.683,369.336,141396.039,376.120
38,151692.090,389.574,141088.026,375.709,151868.103,389.801,141395.039,376.119,141548.039,376.322,141392.039,376.115
39,122854.291,350.594,141395.039,376.119,120963.948,347.887,141395.039,376.119,143600.382,379.040,141401.039,376.127
40,163594.840,404.572,141088.026,375.709,156481.173,395.683,140174.013,374.489,149432.079,386.661,141396.039,376.120
41,178493.972,422.600,139826.355,374.025,176095.974,419.754,142432.040,377.495,144020.382,379.594,141394.039,376.118
42,120943.620,347.858,141956.710,376.865,120330.948,346.976,142078.040,377.026,140896.039,375.455,141396.039,376.120
43,134353.985,366.632,141169.697,375.818,137948.699,371.508,139335.669,373.367,139968.367,374.217,141379.039,376.098
44,175123.315,418.594,141811.710,376.673,170730.620,413.310,142763.711,377.935,143161.710,378.461,141387.039,376.108
45,154388.143,393.025,141221.697,375.887,155396.829,394.309,142432.040,377.495,139624.696,373.757,141395.039,376.119
46,186750.726,432.269,141221.697,375.887,183609.709,428.618,142078.040,377.026,143320.710,378.671,141395.039,376.119
47,136344.003,369.338,141221.697,375.887,142431.380,377.495,142078.040,377.026,134869.002,367.336,141396.039,376.120
48,131654.314,362.931,140625.355,375.092,127840.316,357.638,141395.039,376.119,146440.398,382.770,141396.039,376.120
49,179017.327,423.222,141635.039,376.438,172852.290,415.870,141731.039,376.565,145797.054,381.928,141396.039,376.120
50,195619.461,442.416,141280.697,375.966,190820.776,436.957,142432.040,377.495,144020.382,379.594,141393.039,376.116
51,134339.660,366.613,142167.724,377.147,130545.316,361.400,140174.013,374.489,146032.054,382.235,141395.039,376.119
