# CaFe B10 SRC Systematics Cuts Summary
# entry -> id for a particular combination of random gaussian-generated data analysis cuts  
# syst_total_real -> randoms-subtracted, integrated yield (varied all cuts simultaneously)
# syst_dVAR_real,err -> randoms-subtracted integrated yield (kept all cuts at central value, and varied only VAR)
entry,syst_total_real,syst_total_real_err,syst_dPm_min_real,syst_dPm_min_real_err,syst_dPm_max_real,syst_dPm_max_real_err,syst_dQ2_real,syst_dQ2_real_err,syst_dXbj_real,syst_dXbj_real_err,syst_dthrq_real,syst_dthrq_real_err,syst_dHcoll_real,syst_dHcoll_real_err,syst_dScoll_real,syst_dScoll_real_err
0,2165.408,46.969,3131.947,56.508,4017.013,63.912,4230.053,65.588,3933.316,63.230,2961.855,54.899,4292.053,66.059,4121.368,64.740
1,4476.710,67.435,4026.697,64.002,3875.316,62.770,4172.368,65.133,4202.724,65.382,4765.092,69.575,4062.697,64.282,4120.368,64.733
2,3003.434,55.197,3954.684,63.426,4007.013,63.834,3900.303,62.958,3589.868,60.359,3881.671,62.838,4046.026,64.149,4121.368,64.740
3,3796.658,62.147,4355.053,66.534,4013.013,63.881,4114.697,64.685,4402.118,66.936,3491.263,59.588,4148.368,64.949,4120.368,64.733
4,2912.382,54.318,3983.026,63.656,3777.618,61.962,4039.000,64.074,3428.158,58.967,4337.395,66.408,3796.316,62.137,4121.368,64.740
5,4406.184,67.015,4531.724,67.852,3919.329,63.130,4225.053,65.550,4713.645,69.362,3794.987,62.130,3982.355,63.647,4120.368,64.733
6,3814.171,62.165,4685.395,68.978,3739.934,61.643,4190.039,65.272,3770.263,61.885,3727.645,61.578,4256.711,65.784,4121.368,64.740
7,4407.342,66.893,4196.039,65.318,3982.342,63.637,4088.355,64.475,4056.342,64.216,4678.421,68.946,4029.026,64.016,4121.368,64.740
8,3107.500,56.190,3780.342,62.030,3843.974,62.512,4116.368,64.702,3715.921,61.437,4319.395,66.272,3891.342,62.918,4121.368,64.740
9,3301.500,57.891,4008.026,63.852,4065.013,64.287,3880.961,62.797,3786.263,62.014,3778.987,62.001,4273.053,65.915,4121.368,64.740
10,4085.895,64.357,4253.382,65.762,4236.737,65.652,4163.368,65.064,3449.500,59.155,4822.763,69.992,4026.026,63.993,4121.368,64.740
11,4056.632,64.184,4253.382,65.762,4100.026,64.569,3652.592,60.923,4104.697,64.608,4365.066,66.619,4273.053,65.915,4120.368,64.733
12,4798.961,69.962,3711.342,61.471,4252.737,65.774,4052.671,64.184,4560.526,68.163,4536.750,67.908,4183.368,65.217,4121.368,64.740
13,3132.711,56.305,4253.382,65.762,4037.013,64.068,3891.632,62.885,3107.066,56.097,4388.066,66.791,4026.026,63.993,4121.368,64.740
14,4018.382,63.950,4026.697,64.002,4344.434,66.490,4228.053,65.572,4104.697,64.608,3655.961,60.979,4303.053,66.142,4121.368,64.740
15,4343.710,66.442,4152.368,64.979,4278.408,65.972,4072.684,64.350,4043.671,64.114,4454.408,67.293,3982.355,63.647,4121.368,64.740
16,4209.408,65.447,4253.382,65.762,4041.013,64.100,3876.961,62.765,4612.553,68.563,3959.684,63.466,4235.039,65.616,4121.368,64.740
17,4337.789,66.457,4291.382,66.050,4348.434,66.520,3981.645,63.607,4402.118,66.936,3567.605,60.232,4420.737,67.039,4120.368,64.733
18,6005.092,78.192,4468.724,67.386,3985.342,63.661,4116.368,64.702,4903.447,70.813,5267.158,73.139,3650.632,60.939,4119.368,64.725
19,4241.395,65.681,3983.026,63.656,4304.750,66.178,4206.711,65.403,4043.671,64.114,4024.355,63.976,4303.053,66.142,4120.368,64.733
20,3006.447,55.236,4152.368,64.979,4075.013,64.364,4096.026,64.538,3750.921,61.721,3175.553,56.839,4213.368,65.447,4121.368,64.740
21,3656.592,60.956,4089.368,64.493,3839.303,62.472,4193.039,65.295,3895.974,62.927,3957.684,63.450,4294.053,66.074,4119.368,64.725
22,3538.868,59.935,4324.053,66.300,4387.118,66.823,4145.368,64.925,3568.868,60.185,4098.368,64.562,3687.632,61.242,4120.368,64.733
23,5343.105,73.621,4594.395,68.315,4165.382,65.089,4058.671,64.230,4081.026,64.421,4914.776,70.655,4115.368,64.694,4121.368,64.740
24,3237.289,57.440,3509.987,59.792,4260.408,65.835,4009.987,63.837,4260.408,65.835,3964.684,63.505,3737.974,61.659,4121.368,64.740
25,2882.447,54.102,3831.013,62.440,3807.961,62.213,4101.026,64.576,3604.210,60.485,3949.013,63.378,4029.026,64.016,4121.368,64.740
26,3233.816,57.288,3831.013,62.440,3927.329,63.193,3985.645,63.639,3696.250,61.273,4176.368,65.164,4142.368,64.902,4121.368,64.740
27,6225.342,79.535,5129.408,72.134,4273.408,65.934,3861.961,62.646,4744.342,69.605,5033.461,71.502,3859.342,62.663,4121.368,64.740
28,4221.632,65.457,4324.053,66.300,4058.013,64.232,3871.961,62.725,4167.039,65.095,4158.368,65.025,4306.053,66.165,4121.368,64.740
29,3792.197,62.276,3664.671,61.086,4280.408,65.987,4165.368,65.079,4641.921,68.802,3638.961,60.840,4039.026,64.094,4121.368,64.740
30,1760.868,42.202,3983.026,63.656,3369.487,58.464,3329.539,58.166,3842.276,62.474,2756.132,52.938,4213.368,65.447,4121.368,64.740
31,2890.000,54.067,4176.368,65.164,4100.026,64.569,4257.395,65.802,2911.684,54.283,3837.658,62.476,4201.368,65.355,4120.368,64.733
32,4315.342,66.202,4495.724,67.586,4123.368,64.756,4076.355,64.382,4010.000,63.847,4101.368,64.586,4124.368,64.764,4120.368,64.733
33,4899.487,70.813,3645.671,60.931,4149.368,64.956,4141.368,64.895,4903.447,70.813,4410.737,66.964,4150.368,64.964,4120.368,64.733
34,5402.250,74.119,4068.368,64.330,4204.053,65.389,4240.053,65.664,4304.434,66.189,4744.092,69.424,4303.053,66.142,4121.368,64.740
35,3574.013,60.347,3805.342,62.231,3958.000,63.439,3993.645,63.702,4623.224,68.644,3635.961,60.815,4306.053,66.165,4120.368,64.733
36,4577.118,68.230,4253.382,65.762,4149.368,64.956,4205.711,65.395,4264.750,65.875,4001.684,63.796,4303.053,66.142,4121.368,64.740
37,3864.684,62.713,4437.053,67.147,4291.079,66.071,4025.329,63.964,4331.776,66.401,3492.263,59.596,3971.355,63.561,4121.368,64.740
38,7232.039,86.228,3780.342,62.030,4400.132,66.931,4205.711,65.395,5396.460,74.445,4887.105,70.456,4124.368,64.764,4120.368,64.733
39,4302.947,66.313,3780.342,62.030,4029.013,64.006,3899.303,62.950,4903.447,70.813,4223.711,65.533,4187.368,65.248,4121.368,64.740
40,4407.671,66.892,4229.039,65.570,4121.368,64.740,4227.053,65.565,3873.289,62.732,4204.039,65.379,4375.066,66.694,4121.368,64.740
41,2425.961,49.550,3954.684,63.426,4058.013,64.232,4292.737,66.077,3067.724,55.737,3176.224,56.848,4196.368,65.317,4121.368,64.740
