# CaFe Ca48 SRC Systematics Cuts Summary
# entry -> id for a particular combination of random gaussian-generated data analysis cuts  
# syst_total_real -> randoms-subtracted, integrated yield (varied all cuts simultaneously)
# syst_dVAR_real,err -> randoms-subtracted integrated yield (kept all cuts at central value, and varied only VAR)
entry,syst_total_real,syst_total_real_err,syst_dPm_min_real,syst_dPm_min_real_err,syst_dPm_max_real,syst_dPm_max_real_err,syst_dQ2_real,syst_dQ2_real_err,syst_dXbj_real,syst_dXbj_real_err,syst_dthrq_real,syst_dthrq_real_err,syst_dHcoll_real,syst_dHcoll_real_err,syst_dScoll_real,syst_dScoll_real_err
0,9339.619,101.644,9996.553,106.055,9510.645,103.141,9951.921,105.704,9042.026,100.372,11062.026,111.327,10614.158,109.204,10149.289,106.806
1,15957.382,136.090,10152.289,106.820,11071.750,112.139,10325.961,107.786,12244.987,118.621,10913.224,110.595,10636.526,109.323,10155.289,106.834
2,10238.645,107.697,10152.289,106.820,10415.250,108.332,9926.526,105.555,10559.618,109.165,9474.671,103.301,10512.368,108.681,10155.289,106.834
3,7712.026,92.799,10091.921,106.520,9586.158,103.593,10553.947,108.985,9252.066,101.596,8625.500,98.684,10211.724,107.144,10155.289,106.834
4,10754.776,110.728,10470.066,108.347,10239.158,107.319,10203.750,107.119,11434.540,114.090,9725.605,104.636,9589.210,103.793,10156.289,106.838
5,8999.066,100.343,10152.289,106.820,9475.908,102.938,10160.632,106.863,10080.487,106.419,9828.355,105.166,10020.132,106.125,10152.289,106.820
6,9710.079,104.946,10152.289,106.820,10204.105,107.131,10553.947,108.985,10701.987,109.982,9483.013,103.346,9414.645,102.836,10156.289,106.838
7,8130.342,95.540,10202.974,107.065,8547.039,97.372,10331.303,107.814,11318.316,113.482,9040.566,100.962,9818.868,105.048,10155.289,106.834
8,9717.934,104.915,9960.184,105.867,10328.697,107.831,9487.224,103.146,10752.039,110.233,9848.382,105.273,10106.237,106.579,10156.289,106.838
9,8315.671,95.290,10689.474,109.389,10229.145,107.266,10001.697,105.991,7399.895,90.113,11163.434,111.814,10033.474,106.192,10148.289,106.801
10,10472.697,109.866,9761.697,104.852,10882.184,111.037,10010.368,106.034,11099.342,112.229,8883.079,100.103,10578.132,109.027,10151.289,106.815
11,11913.974,115.786,9870.763,105.402,10064.750,106.312,10343.671,107.888,10559.618,109.165,11373.289,112.832,10290.158,107.556,10149.289,106.806
12,8865.092,99.520,10689.474,109.389,10252.526,107.398,10243.803,107.331,9217.026,101.404,8463.355,97.785,10781.000,110.045,10153.289,106.824
13,10197.803,106.805,9996.553,106.055,10729.447,110.164,9649.171,104.063,9427.645,102.576,11140.079,111.700,10178.000,106.960,10148.289,106.801
14,10859.250,110.513,10799.868,109.920,9456.197,102.821,10540.947,108.925,11181.276,112.712,10137.276,106.743,9446.342,103.005,10156.289,106.838
15,11293.855,113.611,10324.026,107.653,9475.908,102.938,10418.789,108.290,12436.776,119.617,10082.540,106.454,9589.210,103.793,10155.289,106.834
16,9481.316,102.354,10633.461,109.127,10053.053,106.243,9252.263,101.857,9145.881,100.981,11429.329,113.098,10020.132,106.125,10148.289,106.801
17,11128.461,111.670,9761.697,104.852,10439.632,108.467,9726.645,104.501,9941.500,105.613,11708.237,114.429,10456.632,108.392,10151.289,106.815
18,11367.592,112.940,10266.342,107.377,10252.526,107.398,10486.855,108.634,9941.500,105.613,10361.461,107.873,10792.342,110.101,10155.961,106.839
19,13002.645,122.042,10470.066,108.347,10180.382,106.994,10310.934,107.704,12006.224,117.287,9897.079,105.519,10758.974,109.933,10158.303,106.854
20,15082.842,131.250,10855.908,110.193,10163.316,106.883,10504.211,108.724,12135.039,118.038,10540.250,108.755,10799.697,110.144,10150.289,106.810
21,8622.632,97.721,10091.921,106.520,10431.289,108.424,10135.263,106.728,8299.079,95.764,10319.434,107.666,10251.763,107.349,10156.289,106.838
22,9078.434,101.085,10152.289,106.820,10365.079,108.022,10175.013,106.952,9941.500,105.613,9500.026,103.435,9665.632,104.203,10148.289,106.801
23,14196.092,127.925,10744.842,109.658,10885.882,111.067,10418.789,108.290,12038.303,117.457,10407.816,108.098,9806.184,104.979,10151.289,106.815
24,8811.368,99.053,9870.763,105.402,10496.829,108.821,10346.684,107.908,8500.855,97.040,9920.763,105.639,10651.882,109.403,10153.289,106.824
25,9889.697,105.618,9820.053,105.141,10192.079,107.063,10160.632,106.863,10365.526,108.076,10443.171,108.272,9685.026,104.325,10154.289,106.829
26,6365.105,83.309,9870.763,105.402,10180.382,106.994,10508.211,108.742,6592.645,84.785,11530.750,113.584,9252.803,101.961,10155.289,106.834
27,6022.276,81.941,9907.158,105.604,10579.342,109.281,10143.934,106.770,8257.013,95.510,6732.500,87.252,10276.816,107.490,10156.289,106.838
28,9602.724,104.104,10035.579,106.251,10803.974,110.589,9600.092,103.789,9768.066,104.582,9470.000,103.277,10593.803,109.101,10156.961,106.843
29,12056.119,116.318,9581.947,103.952,9352.355,102.230,10356.368,107.961,10924.961,111.278,11903.027,115.330,10484.671,108.540,10155.289,106.834
30,10663.487,110.636,9820.053,105.141,9659.947,104.007,10127.592,106.690,12281.079,118.812,9446.960,103.146,10570.461,108.990,10156.289,106.838
31,7593.592,91.198,10535.092,108.659,9475.908,102.938,10401.776,108.205,7858.000,93.034,9982.474,105.952,9853.566,105.227,10155.289,106.834
32,8314.342,96.326,9486.224,103.463,10173.671,106.942,10151.276,106.809,8777.513,98.787,9973.474,105.909,10506.697,108.653,10148.289,106.801
33,6110.526,81.820,9761.697,104.852,9750.763,104.514,10160.632,106.863,7299.408,89.468,9752.632,104.778,9503.421,103.320,10156.289,106.838
34,11800.684,115.171,10152.289,106.820,10704.671,110.002,10435.803,108.375,9768.066,104.582,10815.158,110.121,10708.934,109.687,10148.289,106.801
35,7722.553,93.316,9581.947,103.952,10920.289,111.255,9901.513,105.430,8881.382,99.413,8534.763,98.187,10269.790,107.445,10156.289,106.838
36,10961.105,112.100,9960.184,105.867,9881.368,105.266,10318.276,107.742,12101.869,117.825,10174.974,106.934,9428.000,102.912,10151.289,106.815
37,8337.790,95.989,10633.461,109.127,8653.605,98.036,10654.776,109.520,9571.276,103.418,9151.342,101.563,10290.158,107.556,10156.289,106.838
38,8148.974,95.271,10324.026,107.653,8985.263,100.041,9383.079,102.570,10664.210,109.760,9373.513,102.734,10394.908,108.081,10156.289,106.838
39,8295.158,96.304,10152.289,106.820,10496.829,108.821,9958.592,105.738,9182.974,101.210,10007.829,106.081,9175.697,101.530,10152.289,106.820
40,11062.342,111.618,10202.974,107.065,9910.408,105.422,10496.539,108.687,10629.460,109.564,10354.789,107.840,10140.263,106.751,10149.289,106.806
41,8159.645,94.980,10152.289,106.820,10328.697,107.831,10600.382,109.243,8360.882,96.157,10930.579,110.683,8928.066,100.155,10155.289,106.834
42,8124.421,94.852,9721.013,104.650,10988.105,111.626,9688.237,104.282,7880.750,93.201,10996.974,111.010,9996.447,106.005,10156.289,106.838
43,8387.013,96.705,9581.947,103.952,9659.947,104.007,9581.066,103.684,9633.092,103.788,9991.145,105.995,10484.671,108.540,10151.289,106.815
44,11530.684,114.719,9907.158,105.604,9541.039,103.318,10331.303,107.814,12281.079,118.812,10667.013,109.380,9642.605,104.079,10148.289,106.801
45,12229.447,118.048,11115.697,111.420,9648.250,103.936,10331.303,107.814,12671.421,120.860,10292.408,107.528,9233.105,101.849,10151.289,106.815
