# CaFe Be9 SRC Systematics Cuts Summary
# entry -> id for a particular combination of random gaussian-generated data analysis cuts  
# syst_total_real -> randoms-subtracted, integrated yield (varied all cuts simultaneously)
# syst_dVAR_real,err -> randoms-subtracted integrated yield (kept all cuts at central value, and varied only VAR)
entry,syst_total_real,syst_total_real_err,syst_dPm_min_real,syst_dPm_min_real_err,syst_dPm_max_real,syst_dPm_max_real_err,syst_dQ2_real,syst_dQ2_real_err,syst_dXbj_real,syst_dXbj_real_err,syst_dthrq_real,syst_dthrq_real_err,syst_dHcoll_real,syst_dHcoll_real_err,syst_dScoll_real,syst_dScoll_real_err
12,5889.105,78.096,4560.026,68.524,5246.855,73.475,4959.066,71.404,5578.500,75.903,5612.487,75.899,5146.105,72.729,5065.408,72.151
13,3881.145,62.945,5223.763,73.255,4952.711,71.344,4748.671,69.871,3895.842,63.085,5390.461,74.405,4948.026,71.299,5064.408,72.144
14,4953.553,71.472,4935.395,71.235,5367.592,74.339,5196.474,73.098,5053.737,72.067,4460.961,67.749,5296.474,73.779,5066.408,72.158
15,5391.829,74.437,5093.408,72.345,5283.539,73.736,4992.737,71.642,4991.724,71.626,5479.816,75.017,4910.013,71.023,5064.408,72.144
16,5096.711,72.575,5223.763,73.255,4955.382,71.366,4720.329,69.662,5651.237,76.426,4831.040,70.483,5224.447,73.271,5064.408,72.144
17,5276.566,73.931,5249.434,73.433,5374.263,74.387,4856.710,70.668,5387.040,74.546,4340.276,66.839,5446.171,74.807,5064.408,72.144
18,7479.158,87.717,5436.447,74.704,4900.039,70.971,5059.408,72.109,6014.487,78.925,6618.921,82.324,4532.895,68.230,5060.408,72.116
19,5249.921,73.540,4873.053,70.790,5313.895,73.956,5162.118,72.848,4991.724,71.626,4949.382,71.324,5296.474,73.779,5064.408,72.144
20,3665.000,61.357,5093.408,72.345,5015.053,71.786,5033.408,71.929,4653.513,69.073,3859.526,63.075,5199.776,73.100,5064.408,72.144
21,4476.895,67.818,5027.408,71.887,4669.961,69.274,5145.118,72.731,4821.276,70.345,4829.040,70.469,5283.803,73.690,5062.408,72.130
22,4452.408,67.524,5287.434,73.691,5404.303,74.615,5086.421,72.305,4438.079,67.421,5051.066,72.045,4572.895,68.522,5064.408,72.144
23,6584.579,82.109,5566.789,75.577,5130.434,72.618,4965.737,71.454,5027.395,71.878,6138.197,79.314,5059.408,72.109,5064.408,72.144
24,3990.711,64.249,4328.684,66.808,5266.526,73.612,4891.710,70.915,5206.868,73.211,4847.040,70.597,4617.250,68.861,5064.408,72.144
25,3542.553,60.257,4696.039,69.519,4633.921,68.985,5043.408,71.998,4489.092,67.808,4819.040,70.398,4958.026,71.369,5064.408,72.144
26,3978.737,63.917,4696.039,69.519,4820.013,70.386,4860.710,70.696,4589.461,68.570,5133.092,72.630,5083.763,72.293,5065.408,72.151
27,7544.553,88.124,6126.500,79.221,5277.539,73.695,4701.316,69.516,5810.026,77.537,6300.540,80.337,4798.974,70.209,5064.408,72.144
28,5123.447,72.579,5287.434,73.691,4988.053,71.597,4710.329,69.590,5106.790,72.470,5108.750,72.457,5314.474,73.901,5064.408,72.144
29,4659.882,69.623,4501.026,68.092,5290.539,73.783,5111.434,72.487,5682.592,76.645,4440.289,67.593,4966.697,71.433,5064.408,72.144
30,1991.132,45.138,4873.053,70.790,4040.645,64.328,4046.132,64.490,4764.224,69.901,3325.395,58.576,5199.776,73.100,5064.408,72.144
31,3571.724,60.364,5134.750,72.636,5042.066,71.983,5225.500,73.314,3608.092,60.694,4683.342,69.405,5178.105,72.949,5064.408,72.144
32,5304.724,73.779,5473.447,74.951,5075.408,72.220,5003.737,71.719,4957.697,71.370,5054.066,72.066,5068.750,72.180,5064.408,72.144
33,6009.658,79.002,4474.026,67.894,5105.750,72.436,5085.750,72.298,6014.487,78.925,5419.474,74.608,5098.763,72.397,5064.408,72.144
34,6751.684,83.383,5002.066,71.704,5167.132,72.891,5208.145,73.181,5272.263,73.698,5912.855,77.875,5291.474,73.745,5064.408,72.144
35,4325.934,66.974,4667.039,69.310,4846.684,70.579,4867.710,70.746,5659.579,76.486,4434.289,67.549,5304.474,73.833,5064.408,72.144
36,5625.342,76.107,5223.763,73.255,5105.750,72.436,5162.118,72.848,5225.553,73.351,4915.040,71.076,5296.474,73.779,5064.408,72.144
37,4646.868,69.281,5405.447,74.496,5302.224,73.874,4915.053,71.086,5304.618,73.932,4233.250,66.014,4906.342,70.994,5064.408,72.144
38,8885.711,96.550,4644.026,69.134,5424.987,74.765,5162.118,72.848,6585.118,82.841,6093.197,79.030,5068.750,72.180,5064.408,72.144
39,5291.934,74.059,4644.026,69.134,4944.711,71.288,4756.013,69.930,6014.487,78.925,5196.092,73.063,5149.105,72.750,5066.408,72.158
40,5462.434,74.869,5196.763,73.070,5064.408,72.144,5192.803,73.070,4794.592,70.143,5171.092,72.891,5390.500,74.431,5064.408,72.144
41,2969.000,55.095,4829.382,70.478,4988.053,71.597,5276.855,73.679,3830.487,62.548,3860.197,63.084,5171.105,72.901,5064.408,72.144
42,5840.355,77.516,5350.776,74.126,5353.592,74.245,4748.671,69.871,5131.474,72.652,5612.487,75.899,5045.737,72.011,5064.408,72.144
43,7300.092,86.652,5594.789,75.762,5184.816,73.024,5022.737,71.851,5533.132,75.580,6040.526,78.693,5011.382,71.757,5060.408,72.116
44,4573.724,68.646,4801.382,70.279,5050.408,72.047,5267.184,73.610,4978.382,71.527,4716.355,69.652,5135.105,72.653,5062.408,72.130
45,4761.434,69.794,5223.763,73.255,5377.934,74.414,5183.461,73.000,4258.632,65.991,5228.434,73.290,5000.711,71.680,5064.408,72.144
46,5769.382,77.073,5249.434,73.433,5379.605,74.429,5296.526,73.815,5043.395,71.989,4949.382,71.324,5143.105,72.708,5064.408,72.144
47,3415.895,59.204,5196.763,73.070,4900.039,70.971,5076.750,72.235,4500.763,67.897,3927.539,63.622,4858.000,70.646,5064.408,72.144
48,4849.947,70.552,5473.447,74.951,4708.645,69.565,4860.710,70.696,4978.382,71.527,4902.040,70.985,5262.132,73.540,5065.408,72.151
49,6082.539,79.388,4696.039,69.519,4736.645,69.766,5273.184,73.651,5976.461,78.667,5373.461,74.290,5244.789,73.416,5064.408,72.144
50,6535.671,82.070,5134.750,72.636,5407.974,74.642,5302.197,73.856,5120.461,72.567,5559.816,75.548,5171.105,72.901,5064.408,72.144
51,5344.434,74.077,5633.789,76.019,4584.895,68.610,4900.710,70.979,5291.276,73.836,5108.750,72.457,5249.789,73.450,5064.408,72.144
52,3236.382,57.512,4560.026,68.524,5005.053,71.716,5079.750,72.256,3932.526,63.389,5219.092,73.220,4626.592,68.935,5062.408,72.130
53,4839.013,70.756,5064.408,72.144,5105.750,72.436,4750.013,69.887,5533.132,75.580,4496.645,68.025,5315.145,73.908,5064.408,72.144
54,6197.553,80.117,4644.026,69.134,5216.171,73.254,5181.461,72.987,5641.882,76.351,5713.500,76.570,4962.026,71.397,5064.408,72.144
55,7428.592,87.865,5747.460,76.766,5370.263,74.360,5072.079,72.200,6174.684,80.056,4957.053,71.381,5184.105,72.990,5064.408,72.144
56,4342.289,67.112,5249.434,73.433,5080.408,72.255,5011.737,71.775,5841.697,77.744,3960.539,63.881,4845.000,70.554,5065.408,72.151
57,5271.842,73.861,5223.763,73.255,5107.750,72.450,5168.118,72.889,5635.868,76.303,4495.645,68.017,5076.750,72.235,5064.408,72.144
58,3341.553,58.565,5093.408,72.345,4689.303,69.420,5129.105,72.612,4663.526,69.155,4023.882,64.381,4793.303,70.165,5066.408,72.158
59,3402.487,59.027,4760.710,69.986,5064.408,72.144,5022.737,71.851,4354.026,66.756,4832.040,70.490,4414.868,67.340,5064.408,72.144
60,4417.408,67.511,4760.710,69.986,5033.724,71.919,5132.105,72.633,5157.816,72.839,4357.276,66.966,5361.487,74.227,5064.408,72.144
61,7620.421,89.040,5473.447,74.951,5377.934,74.414,5145.118,72.731,6300.461,80.906,5799.171,77.131,4437.868,67.510,5064.408,72.144
62,3762.895,62.065,4829.382,70.478,4820.013,70.386,5037.408,71.956,4301.658,66.336,4878.040,70.816,5081.750,72.270,5062.408,72.130
63,5022.934,71.990,5497.447,75.111,5098.079,72.380,4867.710,70.746,5398.711,74.627,4484.974,67.936,5124.434,72.577,5064.408,72.144
64,2946.605,54.836,5093.408,72.345,4602.237,68.742,4985.737,71.593,3716.118,61.598,4227.250,65.968,4977.368,71.511,5064.408,72.144
65,5277.461,73.641,5938.145,78.009,4988.053,71.597,5183.461,73.000,5225.553,73.351,4359.276,66.981,5011.382,71.757,5064.408,72.144
66,3340.934,58.601,4216.342,65.955,5091.079,72.331,4175.526,65.532,4550.776,68.274,5061.408,72.123,5143.105,72.708,5064.408,72.144
67,5391.539,74.687,4696.039,69.519,5144.434,72.714,4887.710,70.887,5578.500,75.903,5310.447,73.856,5051.408,72.054,5062.408,72.130
68,4278.842,66.552,5324.105,73.942,4788.000,70.149,5217.816,73.250,5651.237,76.426,4018.882,64.343,4906.342,70.994,5062.408,72.130
69,6605.237,82.633,4829.382,70.478,4906.039,71.013,5242.500,73.430,5796.355,77.446,6042.526,78.706,4846.000,70.561,5064.408,72.144
70,6449.211,81.464,5223.763,73.255,4545.197,68.297,4796.026,70.225,6150.316,79.882,6415.553,81.057,4886.000,70.844,5064.408,72.144
71,5332.895,74.308,5064.408,72.144,5173.816,72.949,5011.737,71.775,5553.158,75.730,4696.684,69.508,5199.776,73.100,5065.408,72.151
72,4966.290,71.378,5223.763,73.255,5302.224,73.874,5255.513,73.528,4537.434,68.170,4813.040,70.355,5246.789,73.430,5064.408,72.144
73,3994.605,63.939,4760.710,69.986,4784.000,70.121,5046.408,72.019,4324.342,66.520,5398.132,74.459,5005.711,71.715,5064.408,72.144
74,4984.421,72.059,5287.434,73.691,5107.750,72.450,4321.553,66.656,6690.605,83.567,4596.000,68.767,4914.013,71.051,5062.408,72.130
75,6604.105,82.748,5223.763,73.255,5275.539,73.682,4971.737,71.496,5962.790,78.577,5337.790,74.047,5000.711,71.680,5060.408,72.116
76,5325.263,74.057,4696.039,69.519,5255.855,73.536,5159.118,72.827,5084.434,72.301,5489.816,75.084,4987.368,71.580,5064.408,72.144
