# CaFe Au197 MF Systematics Cuts Summary
# entry -> id for a particular combination of random gaussian-generated data analysis cuts  
# syst_total_real -> randoms-subtracted, integrated yield (varied all cuts simultaneously)
# syst_dVAR_real,err -> randoms-subtracted integrated yield (kept all cuts at central value, and varied only VAR)
entry,syst_total_real,syst_total_real_err,syst_dPm_max_real,syst_dPm_max_real_err,syst_dQ2_real,syst_dQ2_real_err,syst_dEm_real,syst_dEm_real_err,syst_dHcoll_real,syst_dHcoll_real_err,syst_dScoll_real,syst_dScoll_real_err
0,28823.894,169.941,25228.461,158.979,28059.553,167.674,24912.119,157.978,26037.803,161.507,25164.790,158.777
1,25465.474,159.727,25206.461,158.910,26254.158,162.182,24672.105,157.213,24848.790,157.779,25159.790,158.762
2,21741.066,147.583,25160.790,158.765,21594.697,147.075,25764.829,160.668,24760.119,157.496,25160.790,158.765
3,25218.803,158.951,25286.474,159.166,24967.119,158.152,25160.790,158.765,25284.790,159.155,25160.790,158.765
4,22122.736,148.872,25206.461,158.910,23710.750,154.118,25392.473,159.498,23234.421,152.566,25160.790,158.765
5,26932.869,164.275,25043.119,158.392,27840.211,167.016,25275.132,159.127,24366.448,156.240,25160.790,158.765
6,27093.513,164.756,24850.448,157.782,26654.171,163.415,25160.790,158.765,25893.803,161.061,25163.790,158.774
7,24005.434,155.076,25096.119,158.560,24573.106,156.897,25160.790,158.765,24641.119,157.118,25164.790,158.777
8,23717.763,154.145,25148.119,158.723,25022.790,158.330,25160.790,158.765,23859.434,154.605,25160.790,158.765
9,22269.395,149.361,25273.474,159.125,21194.013,145.700,25520.144,159.899,25969.803,161.297,25163.790,158.774
10,25633.816,160.256,25082.119,158.515,25931.803,161.179,25520.144,159.899,24604.119,157.000,25164.790,158.777
11,19424.631,139.479,25286.474,159.166,18832.619,137.335,25045.119,158.399,25969.803,161.297,25160.790,158.765
12,24430.119,156.445,25362.816,159.408,23886.092,154.688,25160.790,158.765,25521.790,159.898,25163.790,158.774
13,21329.066,146.181,25297.145,159.200,21412.026,146.451,25520.144,159.899,24604.119,157.000,25160.790,158.765
14,28771.223,169.784,25191.790,158.862,27982.882,167.444,24912.119,157.978,26104.473,161.715,25164.790,158.777
15,23404.092,153.122,25191.790,158.862,24253.106,155.874,25045.119,158.399,24366.448,156.240,25160.790,158.765
16,21400.342,146.405,24957.448,158.120,21138.013,145.508,25045.119,158.399,25778.132,160.700,25161.790,158.768
17,24155.434,155.559,25179.790,158.825,22700.066,150.797,25275.132,159.127,26645.815,163.383,25160.790,158.765
18,21893.395,148.097,24850.448,157.782,25022.790,158.330,25160.790,158.765,22285.737,149.419,25158.790,158.758
19,27895.210,167.181,25228.461,158.979,27080.526,164.721,24912.119,157.978,26104.473,161.715,25160.790,158.765
20,24787.105,157.578,25228.461,158.979,24687.777,157.264,24672.105,157.213,25694.132,160.438,25161.790,158.768
21,26934.513,164.273,24453.106,156.515,26779.513,163.801,25160.790,158.765,26053.473,161.557,25159.790,158.762
22,23157.763,152.317,25000.448,158.256,25578.461,160.076,25633.816,160.256,22516.408,150.190,25160.790,158.765
23,24147.118,155.538,25238.132,159.011,23992.434,155.035,25275.132,159.127,25130.790,158.670,25161.790,158.768
24,20627.027,143.746,25018.119,158.313,23142.066,152.256,24912.119,157.978,22783.750,151.080,25161.790,158.768
25,24548.131,156.826,25206.461,158.910,24790.448,157.591,25392.473,159.498,24641.119,157.118,25161.790,158.768
26,22471.381,150.031,25191.790,158.862,22796.066,151.115,24672.105,157.213,25257.790,159.070,25163.790,158.774
27,19790.671,140.799,25286.474,159.166,20944.013,144.840,25160.790,158.765,23668.092,153.982,25160.790,158.765
28,21925.369,148.196,25082.119,158.515,21069.013,145.271,25275.132,159.127,26151.473,161.860,25161.790,158.768
29,25440.132,159.645,25096.119,158.560,25989.474,161.359,25160.790,158.765,24693.119,157.284,25161.790,158.768
30,16620.276,129.026,25297.145,159.200,16112.593,127.037,25275.132,159.127,25694.132,160.438,25162.790,158.771
31,29197.578,171.042,25216.461,158.941,29038.592,170.580,24785.776,157.575,25616.461,160.195,25160.790,158.765
32,24626.460,157.074,25043.119,158.392,24382.106,156.288,25520.144,159.899,25186.790,158.847,25160.790,158.765
33,25482.461,159.776,25228.461,158.979,25508.461,159.857,24912.119,157.978,25318.790,159.262,25160.790,158.765
34,29550.250,172.071,25000.448,158.256,28310.553,168.421,25520.144,159.899,26086.473,161.659,25163.790,158.774
35,24151.789,155.555,24933.448,158.044,22847.066,151.284,25879.171,161.026,26119.473,161.761,25159.790,158.762
36,27508.527,166.015,25179.790,158.825,27018.526,164.533,24672.105,157.213,26104.473,161.715,25161.790,158.768
37,21978.724,148.383,24644.777,157.127,23421.079,153.174,24912.119,157.978,24331.448,156.128,25163.790,158.774
38,26956.855,164.344,25082.119,158.515,27018.526,164.533,25160.790,158.765,25186.790,158.847,25160.790,158.765
39,21864.697,147.990,25160.790,158.765,21539.697,146.888,25160.790,158.765,25544.790,159.970,25164.790,158.777
40,28834.540,169.966,25082.119,158.515,27923.211,167.265,24785.776,157.575,26473.473,162.852,25161.790,158.768
41,31964.355,178.978,24740.777,157.432,31610.711,177.993,25520.144,159.899,25600.790,160.144,25160.790,158.765
42,21634.724,147.220,25286.474,159.166,21412.026,146.451,25392.473,159.498,25069.790,158.478,25161.790,158.768
43,23718.079,154.140,25096.119,158.560,24573.106,156.897,24577.763,156.910,24927.790,158.029,25158.790,158.758
44,31664.697,178.141,25258.803,159.077,30559.658,175.001,25633.816,160.256,25477.790,159.760,25159.790,158.762
45,27726.224,166.679,25114.119,158.616,27702.211,166.603,25520.144,159.899,24874.790,157.862,25160.790,158.765
46,33723.132,183.855,25114.119,158.616,33044.118,181.996,25392.473,159.498,25504.790,159.844,25160.790,158.765
47,24413.118,156.391,25114.119,158.616,25325.790,159.284,25392.473,159.498,24080.105,155.318,25163.790,158.774
48,23378.408,153.033,24957.448,158.120,22796.066,151.115,25160.790,158.765,25993.803,161.371,25163.790,158.774
49,32127.039,179.436,25216.461,158.941,30990.342,176.232,25275.132,159.127,25893.803,161.061,25161.790,158.768
50,35530.185,188.719,25131.119,158.670,34495.500,185.953,25520.144,159.899,25600.790,160.144,25160.790,158.765
51,23800.421,154.410,25348.816,159.364,23264.066,152.656,24785.776,157.575,25933.803,161.185,25160.790,158.765
52,22693.737,150.778,25179.790,158.825,25385.790,159.472,24785.776,157.575,22818.750,151.196,25159.790,158.762
53,21840.027,147.905,24957.448,158.120,21472.026,146.656,24785.776,157.575,26168.473,161.913,25162.790,158.771
54,27155.540,164.952,25206.461,158.910,27634.211,166.398,25160.790,158.765,24673.119,157.220,25160.790,158.765
55,26214.158,162.059,25248.132,159.042,25271.790,159.114,25520.144,159.899,25643.461,160.279,25161.790,158.768
56,23397.434,153.104,25309.145,159.238,24510.106,156.697,25045.119,158.399,23980.105,154.996,25163.790,158.774
