# CaFe Ca40 MF Systematics Cuts Summary
# entry -> id for a particular combination of random gaussian-generated data analysis cuts  
# syst_total_real -> randoms-subtracted, integrated yield (varied all cuts simultaneously)
# syst_dVAR_real,err -> randoms-subtracted integrated yield (kept all cuts at central value, and varied only VAR)
entry,syst_total_real,syst_total_real_err,syst_dPm_max_real,syst_dPm_max_real_err,syst_dQ2_real,syst_dQ2_real_err,syst_dEm_real,syst_dEm_real_err,syst_dHcoll_real,syst_dHcoll_real_err,syst_dScoll_real,syst_dScoll_real_err
0,77558.487,278.700,67796.012,260.571,75069.446,274.191,67130.632,259.281,70239.039,265.222,67651.328,260.289
1,68653.987,262.207,67742.012,260.467,70676.699,266.044,66517.619,258.094,66740.644,258.531,67640.328,260.268
2,58352.131,241.726,67647.328,260.282,58300.789,241.618,68893.711,262.674,66465.973,257.998,67647.328,260.282
3,67873.026,260.721,67964.367,260.898,67166.986,259.356,67647.328,260.282,68043.328,261.041,67644.328,260.276
4,59347.184,243.787,67742.012,260.467,63880.250,252.926,68162.685,261.274,62291.566,249.762,67646.328,260.280
5,72040.052,268.598,67330.315,259.669,74579.775,273.295,67908.671,260.785,65401.289,255.923,67643.328,260.274
6,73011.381,270.399,66850.617,258.738,71624.054,267.823,67647.328,260.282,69775.697,264.345,67650.328,260.287
7,64441.605,254.038,67474.986,259.949,66091.302,257.270,67647.328,260.282,66122.973,257.333,67651.328,260.289
8,63618.578,252.407,67613.657,260.216,67326.657,259.664,67647.328,260.282,63958.921,253.082,67646.328,260.280
9,60131.856,245.392,67936.696,260.844,57246.106,239.422,68398.698,261.728,69986.697,264.744,67650.328,260.287
10,68708.356,262.317,67435.986,259.874,69849.028,264.483,68398.698,261.728,66023.973,257.140,67651.328,260.289
11,53041.395,230.465,67964.367,260.898,51263.354,226.566,67401.645,259.806,69986.697,264.744,67646.328,260.280
12,65812.986,256.732,68127.723,261.215,64410.262,253.974,67647.328,260.282,68636.672,262.177,67650.328,260.287
13,57404.802,239.760,67985.367,260.938,57863.776,240.710,68398.698,261.728,66023.973,257.140,67646.328,260.280
14,77482.487,278.563,67704.341,260.394,74894.446,273.871,67130.632,259.281,70439.710,265.601,67651.328,260.289
15,62946.249,251.073,67704.341,260.394,65293.960,255.714,67401.645,259.806,65401.289,255.923,67646.328,260.280
16,57969.092,240.925,67112.973,259.249,57118.763,239.154,67401.645,259.806,69428.356,263.686,67647.328,260.282
17,65545.618,256.204,67674.341,260.336,61264.528,247.690,67908.671,260.785,72084.406,268.685,67646.328,260.280
18,58775.829,242.608,66850.617,258.738,67326.657,259.664,67647.328,260.282,59766.539,244.650,67635.328,260.259
19,75394.447,274.783,67796.012,260.571,72797.737,270.008,67130.632,259.281,70439.710,265.601,67644.328,260.276
20,66889.631,258.816,67796.012,260.571,66380.302,257.831,66517.619,258.094,69196.684,263.245,67647.328,260.282
21,72836.012,270.069,65931.236,256.946,71941.396,268.416,67647.328,260.282,70290.710,265.320,67639.328,260.266
22,61869.237,248.916,67202.644,259.423,68803.343,262.495,68663.369,262.234,60368.210,245.877,67644.328,260.276
23,65027.303,255.194,67823.354,260.625,64690.605,254.527,67908.671,260.785,67567.657,260.128,67648.328,260.284
24,55525.408,235.795,67272.315,259.558,62347.882,249.871,67130.632,259.281,61070.210,247.301,67648.328,260.284
25,65778.316,256.664,67742.012,260.467,66689.302,258.430,68162.685,261.274,66122.973,257.333,67648.328,260.284
26,60706.500,246.555,67704.341,260.394,61394.528,247.952,66517.619,258.094,67969.328,260.900,67650.328,260.287
27,53361.040,231.152,67964.367,260.898,56638.422,238.146,67647.328,260.282,63466.908,252.106,67646.328,260.280
28,59467.462,244.022,67435.986,259.874,56981.422,238.865,67908.671,260.785,70564.710,265.836,67648.328,260.284
29,68409.000,261.742,67474.986,259.949,70002.699,264.774,67647.328,260.282,66283.973,257.645,67647.328,260.282
30,45453.606,213.340,67985.367,260.938,44056.554,210.028,67908.671,260.785,69196.684,263.245,67649.328,260.286
31,78384.172,280.180,67773.012,260.526,77643.500,278.854,66842.290,258.723,68965.342,262.804,67643.328,260.274
32,66106.316,257.302,67330.315,259.669,65613.960,256.339,68398.698,261.728,67724.328,260.430,67646.328,260.280
33,68723.329,262.341,67796.012,260.571,68647.343,262.198,67130.632,259.281,68104.328,261.158,67643.328,260.274
34,79152.210,281.554,67202.644,259.423,75744.802,275.423,68398.698,261.728,70385.710,265.499,67650.328,260.287
35,64986.919,255.105,67064.302,259.154,61561.527,248.289,69124.382,263.114,70482.710,265.682,67643.328,260.274
36,74398.763,272.962,67674.341,260.336,72629.737,269.697,66517.619,258.094,70439.710,265.601,67648.328,260.284
37,59388.763,243.854,66376.920,257.815,63134.566,251.444,67130.632,259.281,65293.947,255.712,67649.328,260.286
38,72480.395,269.418,67435.986,259.874,72629.737,269.697,67647.328,260.282,67724.328,260.430,67644.328,260.276
39,59072.461,243.211,67647.328,260.282,58164.118,241.335,67647.328,260.282,68693.672,262.286,67651.328,260.289
40,77957.803,279.412,67435.986,259.874,74740.446,273.590,66842.290,258.723,71590.066,267.762,67647.328,260.282
41,84882.618,291.566,66579.933,258.211,83906.975,289.892,68398.698,261.728,68911.342,262.701,67646.328,260.280
42,58350.144,241.725,67964.367,260.898,57863.776,240.710,68162.685,261.274,67390.986,259.787,67647.328,260.282
43,63884.565,252.931,67474.986,259.949,66091.302,257.270,66207.947,257.492,66992.315,259.018,67635.328,260.259
44,84020.684,290.095,67882.354,260.738,81387.263,285.505,68663.369,262.234,68509.672,261.935,67639.328,260.266
45,74018.104,272.265,67524.986,260.045,74252.104,272.694,68398.698,261.728,66819.644,258.683,67647.328,260.282
46,89153.093,298.823,67524.986,260.045,87448.722,295.952,68162.685,261.274,68576.672,262.063,67647.328,260.282
47,65466.619,256.050,67524.986,260.045,68165.671,261.277,68162.685,261.274,64596.606,254.343,67650.328,260.287
48,63146.223,251.466,67112.973,259.249,61394.528,247.952,67647.328,260.282,70090.039,264.941,67650.328,260.287
49,85530.697,292.689,67773.012,260.526,82394.276,287.266,67908.671,260.785,69775.697,264.345,67648.328,260.284
50,93434.199,305.920,67573.986,260.139,90816.801,301.601,68398.698,261.728,68911.342,262.701,67646.328,260.280
51,64363.920,253.881,68088.038,261.135,62664.553,250.505,66842.290,258.723,69886.697,264.555,67646.328,260.280
52,61101.855,247.360,67674.341,260.336,68336.343,261.604,66842.290,258.723,61181.210,247.525,67641.328,260.270
53,59354.448,243.787,67112.973,259.249,58001.118,240.997,66842.290,258.723,70597.710,265.898,67649.328,260.286
54,72631.091,269.703,67742.012,260.467,74094.434,272.404,67647.328,260.282,66199.973,257.482,67647.328,260.282
55,70338.408,265.416,67849.354,260.675,67962.000,260.886,68398.698,261.728,69028.342,262.924,67647.328,260.282
56,62728.922,250.641,68014.367,260.993,65923.302,256.943,67401.645,259.806,64270.262,253.699,67650.328,260.287
57,70865.000,266.392,67112.973,259.249,73108.079,270.584,65906.934,256.905,67804.328,260.583,67649.328,260.286
58,66141.263,257.360,67573.986,260.139,70676.699,266.044,67647.328,260.282,63372.908,251.919,67652.328,260.291
59,57793.882,240.586,67823.354,260.625,66091.302,257.270,68893.711,262.674,57896.184,240.792,67648.328,260.284
60,75134.789,274.311,67613.657,260.216,70837.370,266.347,68162.685,261.274,71253.724,267.131,67644.328,260.276
61,62153.895,249.486,67573.986,260.139,71941.396,268.416,67908.671,260.785,58271.184,241.570,67646.328,260.280
62,65971.262,257.029,67647.328,260.282,66537.302,258.135,66842.290,258.723,67894.328,260.756,67640.328,260.268
63,63075.250,251.330,68035.038,261.034,61561.527,248.289,68162.685,261.274,68392.328,261.709,67647.328,260.282
64,65023.645,255.188,67704.341,260.394,65139.289,255.411,68663.369,262.234,66465.973,257.998,67647.328,260.282
65,72046.001,268.599,66784.946,258.610,74252.104,272.694,67130.632,259.281,66992.315,259.018,67643.328,260.274
