# CaFe C12 MF Systematics Cuts Summary
# entry -> id for a particular combination of random gaussian-generated data analysis cuts  
# syst_total_real -> randoms-subtracted, integrated yield (varied all cuts simultaneously)
# syst_dVAR_real,err -> randoms-subtracted integrated yield (kept all cuts at central value, and varied only VAR)
entry,syst_total_real,syst_total_real_err,syst_dPm_max_real,syst_dPm_max_real_err,syst_dQ2_real,syst_dQ2_real_err,syst_dEm_real,syst_dEm_real_err,syst_dHcoll_real,syst_dHcoll_real_err,syst_dScoll_real,syst_dScoll_real_err
0,82453.764,287.222,72127.040,268.634,79699.751,282.385,71481.369,267.429,74637.710,273.268,71922.369,268.252
1,73279.040,270.770,72052.369,268.494,75000.053,273.932,71075.027,266.666,70991.697,266.511,71916.369,268.241
2,61700.659,248.461,71919.369,268.246,61842.317,248.744,72970.381,270.201,70728.697,266.017,71919.369,268.246
3,72205.382,268.781,72331.711,269.015,71419.369,267.313,71919.369,268.246,72304.040,268.963,71917.369,268.243
4,63010.645,251.081,72052.369,268.494,67848.342,260.543,72342.369,269.034,66284.670,257.523,71918.369,268.244
5,76428.723,276.528,71617.027,267.681,79182.751,281.468,72129.369,268.637,69534.356,263.761,71917.369,268.243
6,77543.723,278.537,71141.356,266.790,76036.395,275.818,71919.369,268.246,74171.710,272.414,71922.369,268.252
7,68530.686,261.850,71765.698,267.959,70221.697,265.062,71919.369,268.246,70335.027,265.275,71923.369,268.254
8,67702.013,260.262,71873.698,268.160,71577.369,267.608,71919.369,268.246,68060.684,260.951,71919.369,268.246
9,63712.659,252.478,72301.711,268.960,60739.632,246.514,72542.710,269.407,74387.710,272.810,71922.369,268.252
10,72788.039,269.861,71716.027,267.865,74113.383,272.308,72542.710,269.407,70223.027,265.064,71922.369,268.252
11,56519.947,237.798,72331.711,269.015,54507.262,233.524,71698.369,267.834,74387.710,272.810,71917.369,268.243
12,69896.369,264.449,72546.382,269.415,68351.684,261.508,71919.369,268.246,72916.710,270.101,71922.369,268.252
13,60805.317,246.651,72374.711,269.095,61352.975,247.757,72542.710,269.407,70223.027,265.064,71919.369,268.246
14,82389.093,287.109,72011.369,268.418,79544.751,282.110,71481.369,267.429,74826.710,273.613,71922.369,268.252
15,66959.686,258.833,72011.369,268.418,69380.697,263.471,71698.369,267.834,69534.356,263.761,71919.369,268.246
16,61545.960,248.144,71416.027,267.305,60582.960,246.196,71698.369,267.834,73808.710,271.747,71920.369,268.248
17,69402.672,263.508,71971.369,268.343,64951.657,254.920,72129.369,268.637,76566.381,276.775,71917.369,268.243
18,62531.972,250.125,71141.356,266.790,71577.369,267.608,71919.369,268.246,63527.986,252.111,71913.369,268.235
19,80098.749,283.091,72127.040,268.634,77237.737,277.989,71481.369,267.429,74826.710,273.613,71917.369,268.243
20,71500.369,267.464,72127.040,268.634,70561.697,265.703,71075.027,266.666,73554.710,271.279,71919.369,268.246
21,77353.381,278.193,70155.343,264.933,76397.066,276.472,71919.369,268.246,74697.710,273.378,71915.369,268.239
22,65624.329,256.236,71525.027,267.509,73120.369,270.476,72745.710,269.784,64175.328,253.393,71917.369,268.243
23,69049.026,262.840,72158.040,268.692,68707.355,262.188,72129.369,268.637,71834.369,268.088,71920.369,268.248
24,59033.289,243.027,71568.027,267.589,66103.001,257.170,71481.369,267.429,64921.999,254.863,71920.369,268.248
25,69870.357,264.397,72052.369,268.494,70900.697,266.340,72342.369,269.034,70335.027,265.275,71920.369,268.248
26,64699.658,254.425,72011.369,268.418,65110.329,255.231,71075.027,266.666,72230.040,268.826,71922.369,268.252
27,56783.288,238.353,72331.711,269.015,60091.960,245.196,71919.369,268.246,67549.684,259.970,71918.369,268.244
28,62950.960,250.959,71716.027,267.865,60427.960,245.881,72129.369,268.637,74944.710,273.829,71920.369,268.248
29,72695.368,269.689,71765.698,267.959,74294.383,272.640,71919.369,268.246,70525.027,265.633,71920.369,268.248
30,48435.579,220.136,72374.711,269.095,46924.237,216.675,72129.369,268.637,73554.710,271.279,71922.369,268.252
31,83238.105,288.586,72084.369,268.554,82254.104,286.876,71268.027,267.028,73279.710,270.772,71916.369,268.241
32,70090.698,264.815,71617.027,267.681,69705.697,264.087,72542.710,269.407,71997.369,268.392,71917.369,268.243
33,73191.711,270.609,72127.040,268.634,72976.369,270.209,71481.369,267.429,72370.040,269.086,71916.369,268.241
34,83822.764,289.596,71525.027,267.509,80378.422,283.585,72542.710,269.407,74779.710,273.528,71922.369,268.252
35,68589.342,261.961,71361.027,267.202,65274.329,255.553,73151.381,270.535,74871.710,273.696,71916.369,268.241
36,79273.736,281.627,71971.369,268.343,77056.737,277.663,71075.027,266.666,74826.710,273.613,71920.369,268.248
37,63127.975,251.314,70656.685,265.879,66960.672,258.833,71481.369,267.429,69428.356,263.560,71922.369,268.252
38,76916.395,277.409,71716.027,267.865,77056.737,277.663,71919.369,268.246,71997.369,268.392,71917.369,268.243
39,62599.659,250.264,71919.369,268.246,61679.317,248.417,71919.369,268.246,72987.710,270.232,71922.369,268.252
40,82873.079,287.948,71716.027,267.865,79364.751,281.791,71268.027,267.028,75995.381,275.742,71920.369,268.248
41,89907.196,299.933,70885.356,266.310,89031.525,298.469,72542.710,269.407,73204.710,270.633,71918.369,268.244
42,61843.317,248.746,72331.711,269.015,61352.975,247.757,72342.369,269.034,71663.369,267.769,71920.369,268.248
43,68369.014,261.541,71765.698,267.959,70221.697,265.062,70826.027,266.199,71251.697,266.998,71913.369,268.235
44,88857.868,298.180,72226.040,268.818,86403.170,294.030,72745.710,269.784,72803.710,269.891,71915.369,268.239
45,78448.737,280.159,71804.698,268.032,78835.737,280.849,72542.710,269.407,71088.697,266.693,71919.369,268.246
46,94311.237,307.194,71804.698,268.032,92720.893,304.593,72342.369,269.034,72864.710,270.004,71919.369,268.246
47,69509.013,263.711,71804.698,268.032,72431.369,269.199,72342.369,269.034,68712.684,262.198,71922.369,268.252
48,66989.330,258.886,71416.027,267.305,65110.329,255.231,71919.369,268.246,74478.710,272.977,71922.369,268.252
49,90676.853,301.212,72084.369,268.554,87467.840,295.835,72129.369,268.637,74171.710,272.414,71920.369,268.248
50,98773.263,314.377,71838.698,268.095,96379.580,310.544,72542.710,269.407,73204.710,270.633,71917.369,268.243
51,68546.344,261.879,72493.382,269.317,66444.001,257.832,71268.027,267.028,74296.710,272.643,71919.369,268.246
52,65138.657,255.286,71971.369,268.343,72634.369,269.576,71268.027,267.028,65050.999,255.116,71916.369,268.241
53,63120.303,251.298,71416.027,267.305,61511.646,248.078,71268.027,267.028,74991.710,273.915,71922.369,268.252
54,77148.722,277.827,72052.369,268.494,78640.737,280.501,71919.369,268.246,70439.027,265.471,71919.369,268.246
55,74614.724,273.228,72183.040,268.738,72263.369,268.887,72542.710,269.407,73353.710,270.908,71920.369,268.248
56,66874.356,258.669,72410.711,269.162,70062.697,264.762,71698.369,267.834,68386.684,261.575,71922.369,268.252
57,75767.053,275.328,71416.027,267.305,77592.737,278.627,70566.027,265.710,72076.369,268.539,71922.369,268.252
58,70259.355,265.132,71838.698,268.095,75000.053,273.932,71919.369,268.246,67436.341,259.751,71923.369,268.254
59,61253.315,247.558,72158.040,268.692,70221.697,265.062,72970.381,270.201,61613.972,248.283,71920.369,268.248
60,79500.394,282.028,71873.698,268.160,75165.053,274.233,72342.369,269.034,75670.381,275.152,71917.369,268.243
61,65976.001,256.923,71838.698,268.095,76397.066,276.472,72129.369,268.637,61999.972,249.059,71918.369,268.244
62,70328.355,265.262,71919.369,268.246,70740.697,266.039,71268.027,267.028,72158.369,268.691,71915.369,268.239
63,66807.342,258.537,72441.382,269.220,65274.329,255.553,72342.369,269.034,72675.040,269.652,71919.369,268.246
64,68936.368,262.627,72011.369,268.418,69225.697,263.177,72745.710,269.784,70728.697,266.017,71919.369,268.246
65,76691.052,277.001,71077.356,266.670,78835.737,280.849,71481.369,267.429,71251.697,266.998,71916.369,268.241
66,50161.922,224.025,72410.711,269.162,49351.909,222.207,71698.369,267.834,72864.710,270.004,71920.369,268.248
67,65499.316,255.990,71192.356,266.885,65933.329,256.839,72342.369,269.034,71756.369,267.942,71915.369,268.239
68,76878.723,277.340,70575.014,265.725,81268.764,285.152,71919.369,268.246,69428.356,263.560,71915.369,268.239
69,80218.106,283.305,72441.382,269.220,83335.775,288.756,72129.369,268.637,68511.684,261.814,71920.369,268.248
70,59881.302,244.768,72127.040,268.634,62796.317,250.655,71268.027,267.028,69022.356,262.788,71921.369,268.250
71,69981.369,264.609,72127.040,268.634,70062.697,264.762,70061.027,264.758,73554.710,271.279,71922.369,268.252
72,87236.474,295.438,71478.027,267.421,84606.802,290.953,72342.369,269.034,74224.710,272.511,71918.369,268.244
73,69691.014,264.056,70885.356,266.310,71050.697,266.621,72342.369,269.034,71157.697,266.822,71919.369,268.246
74,50443.579,224.651,72493.382,269.317,51824.250,227.704,71698.369,267.834,69641.356,263.964,71915.369,268.239
75,67248.014,259.389,72158.040,268.692,68879.355,262.516,70826.027,266.199,71088.697,266.693,71913.369,268.235
76,75461.737,274.776,72463.382,269.261,76900.737,277.382,71075.027,266.666,70893.697,266.327,71920.369,268.248
77,64807.330,254.637,72266.711,268.895,63779.987,252.610,71268.027,267.028,73417.710,271.026,71915.369,268.239
78,71150.053,266.812,72374.711,269.095,69380.697,263.471,72542.710,269.407,72675.040,269.652,71917.369,268.243
79,70589.040,265.756,71919.369,268.246,70062.697,264.762,72542.710,269.407,71834.369,268.088,71920.369,268.248
80,68887.028,262.532,72266.711,268.895,67675.342,260.210,71919.369,268.246,72864.710,270.004,71916.369,268.241
81,71292.685,267.072,71192.356,266.885,68527.684,261.845,71919.369,268.246,75562.381,274.955,71919.369,268.246
82,83842.132,289.635,71919.369,268.246,84427.802,290.645,71919.369,268.246,71421.697,267.316,71921.369,268.250
83,75010.408,273.954,72568.382,269.456,76561.737,276.771,72542.710,269.407,69222.356,263.169,71917.369,268.243
84,90354.499,300.673,72127.040,268.634,84956.145,291.554,71919.369,268.246,76262.381,276.225,71922.369,268.252
85,73130.040,270.494,71838.698,268.095,79021.407,281.180,71919.369,268.246,66633.341,258.200,71920.369,268.248
86,76709.395,277.036,71919.369,268.246,80558.422,283.902,71268.027,267.028,69117.356,262.969,71919.369,268.246
87,51396.263,226.765,72374.711,269.095,58416.618,241.754,71919.369,268.246,62898.314,250.858,71920.369,268.248
88,82516.435,287.332,72266.711,268.895,79182.751,281.468,71919.369,268.246,74578.710,273.160,71920.369,268.248
89,77502.066,278.463,71804.698,268.032,77406.737,278.293,72129.369,268.637,71919.369,268.246,71918.369,268.244
90,57852.947,240.585,72052.369,268.494,60739.632,246.514,71075.027,266.666,69222.356,263.169,71917.369,268.243
91,78102.078,279.541,71919.369,268.246,77056.737,277.663,71481.369,267.429,73353.710,270.908,71918.369,268.244
92,62201.643,249.465,71617.027,267.681,71419.369,267.313,71481.369,267.429,63284.986,251.628,71917.369,268.243
93,76747.065,277.104,71716.027,267.865,82438.104,287.196,70826.027,266.199,68188.684,261.197,71919.369,268.246
94,69775.015,264.215,72052.369,268.494,66793.672,258.510,72129.369,268.637,74779.710,273.528,71916.369,268.241
95,71165.368,266.837,72617.382,269.547,71919.369,268.246,71075.027,266.666,71335.697,267.155,71919.369,268.246
96,72051.368,268.492,71478.027,267.421,74467.053,272.957,71481.369,267.429,70439.027,265.471,71915.369,268.239
97,48491.580,220.264,71919.369,268.246,52531.921,229.254,71481.369,267.429,66757.341,258.440,71922.369,268.252
98,46563.882,215.836,71141.356,266.790,47508.237,218.018,71268.027,267.028,71919.369,268.246,71922.369,268.252
99,64024.659,253.095,71971.369,268.343,61997.317,249.056,71698.369,267.834,74437.710,272.902,71920.369,268.248
100,60495.960,246.019,72084.369,268.554,60894.632,246.829,72342.369,269.034,70893.697,266.327,71920.369,268.248
101,96897.922,311.378,72011.369,268.418,95091.908,308.463,71268.027,267.028,73869.710,271.859,71918.369,268.244
102,90316.157,300.608,71873.698,268.160,84606.802,290.953,72542.710,269.407,76162.381,276.044,71920.369,268.248
103,68908.028,262.572,72158.040,268.692,68015.014,260.863,72542.710,269.407,71997.369,268.392,71917.369,268.243
104,75774.380,275.341,71568.027,267.589,77771.737,278.948,72129.369,268.637,70223.027,265.064,71922.369,268.252
105,73637.697,271.430,71765.698,267.959,73306.369,270.819,71268.027,267.028,73061.710,270.369,71921.369,268.250
106,69278.014,263.273,71662.027,267.765,71919.369,268.246,71698.369,267.834,69736.356,264.143,71922.369,268.252
107,69209.711,263.149,72546.382,269.415,69053.697,262.850,72970.381,270.201,70439.027,265.471,71922.369,268.252
108,65259.646,255.520,71249.356,266.992,67490.672,259.854,72129.369,268.637,70013.356,264.667,71916.369,268.241
109,62075.631,249.209,71568.027,267.589,63262.317,251.583,72342.369,269.034,70525.027,265.633,71918.369,268.244
110,64830.330,254.682,72183.040,268.738,65439.329,255.875,72129.369,268.637,70804.697,266.160,71920.369,268.248
111,61311.632,247.672,71192.356,266.885,68879.355,262.516,71075.027,266.666,65409.999,255.819,71922.369,268.252
112,74864.724,273.685,71919.369,268.246,74294.383,272.640,71481.369,267.429,72916.710,270.101,71916.369,268.241
113,69134.013,262.999,71416.027,267.305,66960.672,258.833,72542.710,269.407,74117.710,272.315,71915.369,268.239
114,61787.644,248.634,72688.382,269.678,65274.329,255.553,71075.027,266.666,68188.684,261.197,71922.369,268.252
115,68280.673,261.370,71568.027,267.589,66793.672,258.510,71481.369,267.429,74296.710,272.643,71916.369,268.241
116,62346.304,249.753,71249.356,266.992,63262.317,251.583,71698.369,267.834,71756.369,267.942,71918.369,268.244
117,65210.330,255.427,71568.027,267.589,68879.355,262.516,71698.369,267.834,68616.684,262.015,71920.369,268.248
118,73891.381,271.900,72158.040,268.692,76745.737,277.103,71268.027,267.028,69641.356,263.964,71919.369,268.246
119,65944.001,256.860,71838.698,268.095,64589.657,254.209,72745.710,269.784,72675.040,269.652,71916.369,268.241
120,58851.618,242.652,71249.356,266.992,64092.987,253.229,71698.369,267.834,66868.341,258.655,71922.369,268.252
121,77060.079,277.671,72301.711,268.960,77056.737,277.663,72745.710,269.784,70728.697,266.017,71922.369,268.252
122,61549.986,248.157,72756.053,269.805,62626.317,250.315,71481.369,267.429,70335.027,265.275,71920.369,268.248
123,57408.289,239.660,72520.382,269.367,62473.317,250.010,71919.369,268.246,65548.999,256.090,71922.369,268.252
124,66810.329,258.540,71804.698,268.032,64761.657,254.547,71481.369,267.429,74746.710,273.467,71918.369,268.244
125,72549.697,269.418,70656.685,265.879,71050.697,266.621,72745.710,269.784,73926.710,271.964,71922.369,268.252
126,68707.002,262.184,71568.027,267.589,65110.329,255.231,72129.369,268.637,76018.381,275.783,71916.369,268.241
127,65136.001,255.283,72568.382,269.456,63262.317,251.583,72342.369,269.034,72987.710,270.232,71913.369,268.235
128,65940.672,256.855,71919.369,268.246,68707.355,262.188,72342.369,269.034,68616.684,262.015,71918.369,268.244
129,69015.356,262.775,71838.698,268.095,69380.697,263.471,72129.369,268.637,71421.697,267.316,71917.369,268.243
130,69803.685,264.270,71361.027,267.202,73958.712,272.023,71698.369,267.834,68616.684,262.015,71920.369,268.248
131,68880.686,262.518,71919.369,268.246,70561.697,265.703,72129.369,268.637,70013.356,264.667,71916.369,268.241
132,62945.646,250.952,71416.027,267.305,61511.646,248.078,72342.369,269.034,73685.710,271.520,71916.369,268.241
133,74370.053,272.779,72331.711,269.015,70900.697,266.340,71481.369,267.429,75487.381,274.819,71919.369,268.246
