# CaFe Ca40 SRC Systematics Cuts Summary
# entry -> id for a particular combination of random gaussian-generated data analysis cuts  
# syst_total_real -> randoms-subtracted, integrated yield (varied all cuts simultaneously)
# syst_dVAR_real,err -> randoms-subtracted integrated yield (kept all cuts at central value, and varied only VAR)
entry,syst_total_real,syst_total_real_err,syst_dPm_min_real,syst_dPm_min_real_err,syst_dPm_max_real,syst_dPm_max_real_err,syst_dQ2_real,syst_dQ2_real_err,syst_dXbj_real,syst_dXbj_real_err,syst_dthrq_real,syst_dthrq_real_err,syst_dHcoll_real,syst_dHcoll_real_err,syst_dScoll_real,syst_dScoll_real_err
0,4462.842,69.850,6515.842,84.447,7999.526,93.005,8464.119,95.779,7842.553,91.992,5819.513,79.598,8556.197,96.299,8242.895,94.499
1,8943.303,98.173,8064.145,93.504,7677.329,90.967,8344.671,95.094,8403.474,95.473,9503.013,101.333,8151.474,93.968,8235.224,94.456
2,5841.184,79.109,7913.776,92.678,7974.145,92.843,7734.368,91.483,7070.434,87.057,7672.882,91.244,8123.776,93.804,8239.224,94.477
3,7390.592,89.709,8584.658,96.340,7987.513,92.934,8213.882,94.339,8912.750,98.582,6897.303,86.558,8283.605,94.737,8236.224,94.462
4,5537.197,76.741,7956.461,92.917,7431.645,89.411,8044.763,93.375,6624.592,84.156,8635.803,96.680,7657.355,91.054,8236.224,94.462
5,8639.987,97.139,8855.079,97.779,7751.171,91.467,8449.447,95.700,9628.908,102.875,7495.118,90.212,7997.974,93.058,8236.224,94.462
6,7121.105,87.159,9073.842,98.940,7313.895,88.703,8369.711,95.246,7541.000,90.032,7346.316,89.307,8494.500,95.963,8241.895,94.494
7,8740.000,96.977,8354.263,95.105,7911.750,92.473,8162.829,94.040,8119.645,93.712,9338.566,100.462,8087.079,93.592,8243.895,94.504
8,6259.040,81.822,7653.658,91.199,7578.855,90.346,8222.553,94.387,7386.500,89.077,8616.461,96.576,7852.526,92.212,8237.224,94.467
9,6490.408,83.643,8005.474,93.188,8132.408,93.831,7656.987,91.033,7588.092,90.344,7452.066,89.944,8524.513,96.126,8241.895,94.494
10,7896.697,91.822,8443.618,95.585,8502.263,96.053,8320.618,94.939,6711.329,84.711,9581.053,101.737,8070.737,93.500,8242.895,94.499
11,7976.934,92.745,8443.618,95.585,8200.474,94.228,7229.237,88.417,8216.513,94.334,8702.158,97.034,8524.513,96.126,8236.224,94.462
12,9876.816,104.188,7531.289,90.506,8562.040,96.420,8068.776,93.510,9256.079,100.637,9038.039,98.858,8357.026,95.170,8240.895,94.489
13,5994.974,79.736,8443.618,95.585,8034.263,93.230,7704.013,91.305,6011.868,79.984,8744.197,97.271,8070.737,93.500,8237.224,94.467
14,8069.224,93.928,8064.145,93.504,8795.447,97.831,8459.119,95.753,8216.513,94.334,7215.908,88.532,8587.553,96.473,8242.895,94.499
15,8723.500,97.148,8274.237,94.670,8618.776,96.750,8122.474,93.813,8090.605,93.536,8883.618,98.029,7997.974,93.058,8237.224,94.467
16,8326.684,95.355,8443.618,95.585,8047.618,93.313,7647.316,90.977,9382.961,101.371,7844.658,92.240,8458.763,95.740,8239.224,94.477
