# CaFe Fe54 MF Systematics Cuts Summary
# entry -> id for a particular combination of random gaussian-generated data analysis cuts  
# syst_total_real -> randoms-subtracted, integrated yield (varied all cuts simultaneously)
# syst_dVAR_real,err -> randoms-subtracted integrated yield (kept all cuts at central value, and varied only VAR)
entry,syst_total_real,syst_total_real_err,syst_dPm_max_real,syst_dPm_max_real_err,syst_dQ2_real,syst_dQ2_real_err,syst_dEm_real,syst_dEm_real_err,syst_dHcoll_real,syst_dHcoll_real_err,syst_dScoll_real,syst_dScoll_real_err
0,53759.606,231.920,54895.618,234.359,51752.593,227.549,54852.618,234.267,57515.632,239.886,55029.618,234.644
1,61533.329,248.125,54991.618,234.563,58829.316,242.612,55031.618,234.649,57618.632,240.101,55031.618,234.649
2,53624.264,231.626,55136.618,234.872,51336.593,226.633,55401.618,235.436,56995.290,238.797,55031.618,234.649
3,66298.736,257.563,55359.618,235.347,65440.394,255.890,55031.618,234.649,55405.290,235.445,55031.618,234.649
4,51479.250,226.945,53735.605,231.868,56248.302,237.231,55031.618,234.649,51589.922,227.190,55034.618,234.655
5,54071.618,232.594,54853.618,234.269,55163.618,234.930,54852.618,234.267,54296.618,233.077,55031.618,234.649
6,61408.355,247.879,55136.618,234.872,65440.394,255.890,56033.631,236.777,50575.251,224.945,55034.618,234.655
7,56151.947,237.023,54925.618,234.423,58946.316,242.853,54445.947,233.396,53090.593,230.470,55033.618,234.653
8,45566.223,213.515,54510.618,233.536,46329.223,215.294,54852.618,234.267,54782.618,234.118,55034.618,234.655
9,52059.935,228.225,55206.618,235.021,52520.935,229.233,55031.618,234.649,54378.618,233.253,55029.618,234.644
10,54147.277,232.755,55359.618,235.347,52652.935,229.520,54031.947,232.508,57320.632,239.479,55030.618,234.647
11,59004.645,242.973,54090.276,232.632,59372.316,243.729,54852.618,234.267,55861.290,236.411,55029.618,234.644
12,59258.632,243.492,53807.605,232.023,56976.302,238.760,55401.618,235.436,58192.632,241.293,55031.618,234.649
13,48339.565,219.915,55296.618,235.213,48280.565,219.781,54652.618,233.840,55232.618,235.077,55029.618,234.644
14,60872.342,246.792,55442.289,235.523,65014.052,255.054,55401.618,235.436,50752.251,225.338,55034.618,234.655
15,57715.947,240.300,55359.618,235.347,61183.329,247.419,55031.618,234.649,51589.922,227.190,55031.618,234.649
16,43332.552,208.217,54668.618,233.874,44191.552,210.270,55031.618,234.649,54296.618,233.077,55029.618,234.644
17,49798.236,223.208,55062.618,234.715,49199.236,221.862,54031.947,232.508,56700.290,238.179,55031.618,234.649
18,66578.052,258.102,55608.302,235.878,62920.355,250.910,54445.947,233.396,58240.632,241.393,55035.618,234.657
19,60691.987,246.422,54221.947,232.916,58381.316,241.687,55031.618,234.649,58118.632,241.140,55037.618,234.662
20,66586.368,258.114,54558.618,233.639,63484.026,252.031,55031.618,234.649,58293.632,241.502,55029.618,234.644
21,55581.619,235.818,55359.618,235.347,54629.947,233.790,55031.618,234.649,55659.290,235.983,55034.618,234.655
22,53327.922,230.983,55296.618,235.213,55589.289,235.835,55566.618,235.786,52027.922,228.152,55029.618,234.644
23,58673.290,242.285,55359.618,235.347,61183.329,247.419,54445.947,233.396,53018.593,230.314,55031.618,234.649
24,62245.329,249.556,55098.618,234.791,59511.316,244.014,54852.618,234.267,57686.632,240.242,55031.618,234.649
25,52257.593,228.656,54611.618,233.752,55163.618,234.930,55401.618,235.436,52189.593,228.507,55031.618,234.649
26,56454.961,237.664,54809.618,234.175,63768.026,252.594,54242.947,232.961,49619.580,222.809,55033.618,234.653
27,56757.632,238.301,55359.618,235.347,54762.947,234.075,55881.631,236.456,55813.290,236.309,55034.618,234.655
28,49878.578,223.390,54925.618,234.423,47603.565,218.236,55401.618,235.436,57382.632,239.609,55035.618,234.657
29,60220.315,245.462,54853.618,234.269,59786.988,244.579,53817.947,232.047,56861.290,238.517,55033.618,234.653
30,56226.290,237.182,54719.618,233.983,54482.947,233.476,54852.618,234.267,57290.632,239.417,55034.618,234.655
31,59987.973,244.987,55234.618,235.081,60914.329,246.875,55725.960,236.125,53311.264,230.949,55031.618,234.649
32,56195.948,237.116,55234.618,235.081,54889.947,234.346,54242.947,232.961,56952.290,238.707,55029.618,234.644
33,50307.922,224.351,54510.618,233.536,55163.618,234.930,54652.618,233.840,51022.922,225.939,55034.618,234.655
34,65586.684,256.167,55296.618,235.213,61459.671,247.978,55566.618,235.786,57899.632,240.685,55029.618,234.644
35,52225.935,228.588,55539.631,235.732,51084.593,226.076,55031.618,234.649,55758.290,236.193,55034.618,234.655
