# CaFe Au197 SRC Systematics Cuts Summary
# entry -> id for a particular combination of random gaussian-generated data analysis cuts  
# syst_total_real -> randoms-subtracted, integrated yield (varied all cuts simultaneously)
# syst_dVAR_real,err -> randoms-subtracted integrated yield (kept all cuts at central value, and varied only VAR)
entry,syst_total_real,syst_total_real_err,syst_dPm_min_real,syst_dPm_min_real_err,syst_dPm_max_real,syst_dPm_max_real_err,syst_dQ2_real,syst_dQ2_real_err,syst_dXbj_real,syst_dXbj_real_err,syst_dthrq_real,syst_dthrq_real_err,syst_dHcoll_real,syst_dHcoll_real_err,syst_dScoll_real,syst_dScoll_real_err
0,2061.711,46.893,2255.053,49.259,2129.566,47.808,2239.711,49.094,2025.395,46.523,2483.171,51.637,2377.776,50.545,2286.066,49.586
1,3679.395,63.386,2287.066,49.596,2508.316,52.018,2322.118,50.000,2797.461,55.161,2449.487,51.292,2383.776,50.605,2287.066,49.596
2,2342.171,50.253,2287.066,49.596,2344.776,50.218,2230.711,49.002,2413.211,50.993,2150.974,48.109,2353.763,50.294,2287.066,49.596
3,1700.263,42.734,2277.066,49.495,2149.592,48.045,2364.158,50.458,2068.776,47.038,1956.211,45.936,2297.066,49.696,2287.066,49.596
4,2460.368,51.606,2339.079,50.130,2302.750,49.771,2299.092,49.743,2605.842,53.129,2212.013,48.780,2161.947,48.196,2288.066,49.606
5,2008.145,46.427,2287.066,49.596,2118.224,47.680,2287.066,49.596,2259.697,49.284,2225.026,48.926,2257.711,49.277,2287.066,49.596
6,2218.461,48.962,2287.066,49.596,2296.079,49.700,2364.158,50.458,2449.263,51.397,2153.645,48.141,2120.934,47.755,2288.066,49.606
7,1839.434,44.524,2300.066,49.727,1907.026,45.195,2323.118,50.010,2590.816,52.962,2058.908,47.073,2213.329,48.775,2287.066,49.596
8,2234.789,49.124,2243.053,49.137,2320.092,49.954,2139.974,47.994,2457.276,51.487,2229.026,48.967,2275.724,49.472,2288.066,49.606
9,1793.092,43.611,2379.105,50.554,2300.079,49.740,2246.053,49.167,1632.671,41.627,2495.842,51.763,2260.711,49.307,2286.066,49.586
10,2443.763,51.505,2203.382,48.727,2454.250,51.432,2248.053,49.188,2542.066,52.421,2026.224,46.706,2369.434,50.454,2286.066,49.586
11,2688.395,53.795,2224.382,48.942,2264.368,49.335,2327.118,50.050,2413.211,50.993,2551.539,52.328,2309.408,49.829,2286.066,49.586
12,1960.724,45.818,2379.105,50.554,2308.750,49.831,2305.434,49.816,2059.434,46.930,1924.197,45.572,2410.447,50.872,2287.066,49.596
13,2246.645,49.098,2255.053,49.259,2409.224,50.967,2169.329,48.322,2097.816,47.387,2492.842,51.734,2292.066,49.646,2286.066,49.586
14,2413.211,50.993,2400.447,50.773,2113.553,47.627,2362.816,50.436,2565.434,52.677,2283.395,49.554,2125.934,47.807,2288.066,49.606
15,2538.566,52.546,2316.066,49.887,2118.224,47.680,2337.461,50.162,2830.539,55.531,2272.724,49.442,2161.947,48.196,2287.066,49.596
16,2108.066,47.408,2363.434,50.395,2260.026,49.283,2097.934,47.513,2040.421,46.713,2555.211,52.367,2257.711,49.277,2286.066,49.586
17,2458.474,51.367,2203.382,48.727,2348.447,50.259,2184.355,48.504,2233.316,48.966,2606.908,52.887,2343.092,50.184,2286.066,49.586
18,2527.461,52.022,2311.066,49.837,2308.750,49.831,2351.803,50.314,2233.316,48.966,2332.079,50.061,2416.447,50.931,2288.066,49.606
19,2936.526,56.465,2339.079,50.130,2294.737,49.677,2315.447,49.929,2738.395,54.563,2238.368,49.071,2405.776,50.821,2289.066,49.616
20,3365.868,60.430,2408.132,50.866,2291.066,49.636,2357.145,50.375,2765.105,54.847,2364.763,50.403,2416.790,50.943,2286.066,49.586
21,1905.237,45.039,2277.066,49.495,2347.776,50.248,2280.724,49.523,1842.224,44.319,2324.408,49.980,2299.066,49.717,2288.066,49.606
22,2040.539,46.840,2287.066,49.596,2327.763,50.035,2290.408,49.638,2233.316,48.966,2157.316,48.184,2173.303,48.336,2286.066,49.586
23,3244.539,59.421,2387.776,50.644,2459.250,51.481,2337.461,50.162,2746.408,54.648,2342.750,50.171,2211.329,48.755,2286.066,49.586
24,1949.342,45.641,2224.382,48.942,2364.803,50.443,2327.461,50.063,1893.263,44.935,2240.368,49.092,2387.776,50.644,2287.066,49.596
25,2250.053,49.208,2215.382,48.850,2294.737,49.677,2287.066,49.596,2356.474,50.364,2347.750,50.221,2183.645,48.452,2287.066,49.596
26,1392.855,38.446,2224.382,48.942,2294.737,49.677,2357.145,50.375,1453.842,39.214,2583.553,52.645,2097.237,47.474,2287.066,49.596
27,1328.987,37.780,2233.382,49.034,2380.500,50.628,2282.066,49.545,1832.553,44.205,1535.289,40.790,2308.408,49.819,2288.066,49.606
28,2151.276,48.080,2263.724,49.351,2424.908,51.138,2159.987,48.216,2193.895,48.472,2150.974,48.109,2373.434,50.494,2288.066,49.606
29,2670.408,53.639,2150.368,48.166,2092.211,47.393,2330.461,50.092,2510.987,52.048,2641.276,53.244,2346.763,50.224,2287.066,49.596
30,2447.105,51.546,2215.382,48.850,2171.605,48.287,2276.724,49.483,2805.145,55.246,2147.303,48.066,2369.434,50.454,2288.066,49.606
31,1662.368,42.018,2349.421,50.242,2118.224,47.680,2336.461,50.152,1748.447,43.122,2255.039,49.245,2220.342,48.860,2287.066,49.596
32,1838.658,44.392,2130.368,47.958,2292.737,49.657,2284.066,49.566,1960.013,45.763,2253.039,49.225,2352.763,50.284,2286.066,49.586
33,1356.513,37.959,2203.382,48.727,2184.947,48.434,2287.066,49.596,1613.671,41.398,2216.013,48.821,2138.276,47.945,2288.066,49.606
34,2597.566,52.791,2287.066,49.596,2404.882,50.916,2339.461,50.182,2193.895,48.472,2428.816,51.086,2397.776,50.743,2286.066,49.586
35,1714.316,42.959,2150.368,48.166,2467.921,51.569,2228.711,48.982,1991.368,46.128,1935.539,45.705,2304.408,49.779,2288.066,49.606
36,2483.882,52.006,2243.053,49.137,2213.658,48.774,2319.447,49.969,2759.092,54.780,2290.066,49.626,2121.934,47.765,2286.066,49.586
37,1801.289,43.930,2363.434,50.395,1937.066,45.569,2387.842,50.709,2132.184,47.785,2080.934,47.334,2309.408,49.829,2288.066,49.606
38,1871.684,44.792,2316.066,49.887,2023.461,46.573,2123.961,47.814,2439.250,51.286,2127.289,47.844,2330.750,50.052,2288.066,49.606
39,1867.289,44.675,2287.066,49.596,2364.803,50.443,2241.711,49.114,2049.092,46.810,2258.039,49.276,2080.882,47.278,2286.066,49.586
40,2498.908,51.856,2300.066,49.727,2222.658,48.866,2351.145,50.316,2425.908,51.148,2330.079,50.041,2284.395,49.564,2286.066,49.586
41,1797.566,43.822,2287.066,49.596,2320.092,49.954,2378.500,50.609,1853.237,44.458,2454.158,51.342,2027.868,46.700,2287.066,49.596
42,1800.908,43.871,2190.382,48.593,2480.289,51.723,2176.671,48.407,1755.789,43.217,2465.500,51.461,2254.711,49.246,2288.066,49.606
