# CaFe Fe54 SRC Systematics Cuts Summary
# entry -> id for a particular combination of random gaussian-generated data analysis cuts  
# syst_total_real -> randoms-subtracted, integrated yield (varied all cuts simultaneously)
# syst_dVAR_real,err -> randoms-subtracted integrated yield (kept all cuts at central value, and varied only VAR)
entry,syst_total_real,syst_total_real_err,syst_dPm_min_real,syst_dPm_min_real_err,syst_dPm_max_real,syst_dPm_max_real_err,syst_dQ2_real,syst_dQ2_real_err,syst_dXbj_real,syst_dXbj_real_err,syst_dthrq_real,syst_dthrq_real_err,syst_dHcoll_real,syst_dHcoll_real_err,syst_dScoll_real,syst_dScoll_real_err
0,2960.342,55.625,4366.342,67.576,5360.105,74.632,5681.303,76.882,5275.961,73.969,3857.658,63.426,5764.671,77.445,5529.210,75.826
1,5966.000,78.731,5413.868,75.055,5162.342,73.229,5603.250,76.338,5620.974,76.491,6345.447,81.175,5457.184,75.332,5527.539,75.812
2,3922.684,63.697,5321.855,74.431,5347.434,74.544,5205.382,73.550,4741.974,70.039,5159.421,73.263,5431.513,75.158,5528.210,75.819
3,4938.868,71.821,5750.224,77.278,5352.105,74.578,5514.539,75.726,5988.658,79.080,4609.592,69.293,5558.566,76.033,5528.539,75.818
4,3796.526,62.573,5350.526,74.626,4972.184,71.810,5410.474,74.992,4484.461,68.044,5805.645,77.692,5124.079,73.016,5528.539,75.818
5,5820.632,77.993,5933.921,78.477,5216.710,73.624,5669.632,76.803,6526.711,82.644,5053.040,72.500,5355.816,74.633,5528.539,75.818
6,4810.553,70.465,6105.618,79.583,4890.132,71.199,5620.592,76.457,5044.145,72.282,4951.013,71.775,5718.974,77.129,5529.210,75.826
7,5818.803,77.664,5607.210,76.338,5314.750,74.313,5485.171,75.509,5442.145,75.206,6223.408,80.395,5406.513,74.992,5529.210,75.826
8,4211.513,66.048,5128.500,73.106,5096.618,72.740,5518.539,75.752,4963.750,71.681,5787.645,77.576,5264.118,73.995,5528.210,75.819
9,4406.579,67.557,5382.868,74.849,5461.145,75.332,5164.026,73.253,5078.171,72.535,5020.355,72.263,5742.645,77.285,5529.210,75.826
10,5327.368,74.142,5674.882,76.783,5701.039,77.055,5579.908,76.179,4527.158,68.380,6410.789,81.582,5402.513,74.965,5529.210,75.826
11,5406.039,74.895,5674.882,76.783,5495.855,75.591,4907.908,71.401,5510.210,75.700,5836.645,77.891,5742.645,77.285,5528.539,75.818
12,6732.908,84.000,5068.487,72.685,5745.066,77.358,5435.145,75.159,6260.855,80.904,6051.026,79.286,5624.605,76.492,5529.210,75.826
13,4015.092,64.218,5674.882,76.783,5392.776,74.854,5187.368,73.418,4036.500,64.442,5859.316,78.039,5402.513,74.965,5528.539,75.818
14,5458.500,75.549,5413.868,75.055,5911.855,78.506,5678.303,76.862,5510.210,75.700,4867.658,71.177,5771.013,77.491,5529.210,75.826
15,5817.632,77.761,5550.210,75.964,5781.750,77.606,5453.487,75.287,5426.118,75.082,5944.355,78.607,5355.816,74.633,5528.539,75.818
16,5701.132,77.116,5674.882,76.783,5399.776,74.900,5159.026,73.219,6341.921,81.444,5306.461,74.286,5683.974,76.902,5528.210,75.819
17,5927.895,78.844,5704.882,76.978,5920.197,78.565,5317.763,74.342,5988.658,79.080,4729.947,70.172,5976.053,78.828,5528.539,75.818
18,8140.395,92.080,5877.237,78.104,5319.421,74.347,5518.539,75.752,6852.684,84.774,7042.237,85.431,4934.342,71.656,5525.539,75.799
19,5736.487,77.359,5350.526,74.626,5821.460,77.889,5641.947,76.611,5426.118,75.082,5402.158,74.948,5771.013,77.491,5528.539,75.818
20,3910.158,63.709,5550.210,75.964,5474.171,75.436,5495.513,75.583,5009.790,72.029,4166.118,65.909,5671.303,76.817,5528.210,75.819
21,4861.460,70.995,5501.210,75.641,5083.618,72.651,5627.263,76.504,5224.276,73.607,5304.790,74.272,5765.342,77.452,5526.539,75.805
22,4726.013,69.953,5727.553,77.128,5992.263,79.064,5560.895,76.046,4706.276,69.762,5511.526,75.697,4985.026,72.021,5528.539,75.818
