#-------------------------------------
#        Data Analysis Summary        
#-------------------------------------
#                                     
#                                     
# target_name: Ca48        kin_type:  SRC            
# target_amu: 47.952523                 
# target_density [g/cm3]: 1.8600     
# target_thickness [cm]: 0.5650      
# target_areal_density [g/cm2]: 1.0509
#
# N: 28
# Z: 20
# A: 48
# transparency: 0.37
#
# beam_energy [GeV]: 10.5494          
#
# hms_h_particle_mass [GeV]: 0.938272          
# hms_h_momentum [GeV/c]: 1.3250             
# hms_h_angle [deg]: -66.4000                  
#
# shms_e_particle_mass [GeV]: 0.000511          
# shms_e_momentum [GeV/c]: 8.5500             
# shms_e_angle [deg]: 8.3000                  
#
# BCM1_Current_Threshold [uA]: >5.00 
# Units: time [sec] | charge [mC] | currnet [uA] | rates [kHz] |  efficiencies [fractional form]                       
#                       
run,beam_time,charge,avg_current,total_Yield,total_Yield_err,real_Yield,real_Yield_err,random_Yield,random_Yield_err,hTrkEff,hTrkEff_err,pTrkEff,pTrkEff_err,cpuLT,cpuLT_err_Bi,tLT,tLT_err_Bi,S1X_rate,T1_scl_rate,T2_scl_rate,T3_scl_rate,T5_scl_rate,T1_accp_rate,T2_accp_rate,T3_accp_rate,T5_accp_rate,edtm_scl,edtm_accp,PS1,PS2,PS3,PS5,ctime_offset,ctime_sigma,hbeta_mean,hbeta_sigma,pbeta_mean,pbeta_sigma,pcal_mean,pcal_sigma,hdc1u1_res,hdc1u2_res,hdc1x1_res,hdc1x2_res,hdc1v2_res,hdc1v1_res,hdc2v1_res,hdc2v2_res,hdc2x2_res,hdc2x1_res,hdc2u2_res,hdc2u1_res,hdc1u1_res_err,hdc1u2_res_err,hdc1x1_res_err,hdc1x2_res_err,hdc1v2_res_err,hdc1v1_res_err,hdc2v1_res_err,hdc2v2_res_err,hdc2x2_res_err,hdc2x1_res_err,hdc2u2_res_err,hdc2u1_res_err,pdc1u1_res,pdc1u2_res,pdc1x1_res,pdc1x2_res,pdc1v1_res,pdc1v2_res,pdc2v2_res,pdc2v1_res,pdc2x2_res,pdc2x1_res,pdc2u2_res,pdc2u1_res,pdc1u1_res_err,pdc1u2_res_err,pdc1x1_res_err,pdc1x2_res_err,pdc1v1_res_err,pdc1v2_res_err,pdc2v2_res_err,pdc2v1_res_err,pdc2x2_res_err,pdc2x1_res_err,pdc2u2_res_err,pdc2u1_res_err,multi_track_eff,multi_track_eff_err
17036,2240.046,117.765,52.573,523.000,22.869,474.974,23.212,48.026,3.975,0.999,4.050E-05,0.969,4.542E-04,1.003,-NAN,0.936,1.637E-03,7.541E+02,2.642E+02,1.792E+02,2.749E+01,2.311E-01,3.482E-01,3.394E-01,3.405E-01,2.317E-01,22321.000,20894.000,-1.0,2049.0,257.0,1.0,-0.441,0.469,0.805,0.022,0.996,0.055,1.039,0.037,333.485,341.143,347.122,330.150,303.574,292.544,268.538,274.324,257.106,271.826,279.079,289.009,2.246,2.384,2.041,1.981,1.977,1.657,1.407,1.468,1.356,1.537,1.440,1.542,248.387,261.127,247.562,242.327,261.520,262.726,250.624,235.077,220.181,231.611,235.908,232.133,2.990,3.101,3.289,3.176,3.082,3.213,3.018,2.733,3.092,3.029,2.948,2.846,0.956,0.013
17037,2233.159,117.285,52.520,516.000,22.716,468.303,23.058,47.697,3.961,0.999,3.959E-05,0.970,4.527E-04,1.003,-NAN,0.935,1.654E-03,7.487E+02,2.623E+02,1.781E+02,2.734E+01,2.284E-01,3.448E-01,3.363E-01,3.373E-01,2.291E-01,22258.000,20809.000,-1.0,2049.0,257.0,1.0,-0.439,0.459,0.805,0.022,0.996,0.055,1.035,0.037,330.729,337.542,346.595,327.984,302.646,290.085,270.150,277.316,258.860,270.167,275.035,290.661,2.234,2.306,2.052,2.165,1.985,1.626,1.463,1.515,1.413,1.546,1.445,1.622,243.704,247.020,240.867,234.807,258.301,259.038,236.048,247.999,215.518,229.779,230.294,234.733,2.798,2.946,2.989,3.073,3.078,3.126,2.731,3.083,2.840,2.869,2.671,2.735,0.954,0.218
17038,2372.434,122.684,51.712,548.000,23.409,503.592,23.719,44.408,3.822,0.999,4.091E-05,0.970,4.439E-04,1.003,-NAN,0.935,1.602E-03,7.351E+02,2.574E+02,1.749E+02,2.686E+01,2.232E-01,3.372E-01,3.289E-01,3.301E-01,2.238E-01,23645.000,22111.000,-1.0,2049.0,257.0,1.0,-0.441,0.457,0.805,0.022,0.996,0.055,1.038,0.037,336.175,341.219,350.995,330.867,302.177,292.282,265.350,273.482,256.573,267.833,276.279,288.133,2.250,2.324,2.115,2.168,1.940,1.645,1.360,1.479,1.354,1.482,1.408,1.528,246.545,254.183,243.964,238.464,263.950,256.518,238.246,239.264,220.382,229.098,235.596,234.682,3.006,2.925,2.899,2.934,3.140,3.114,2.775,2.798,3.068,3.017,2.773,2.849,0.958,0.013
17039,2465.863,132.399,53.693,607.000,24.637,550.421,25.012,56.579,4.314,0.999,3.941E-05,0.969,4.284E-04,1.003,-NAN,0.938,1.538E-03,7.616E+02,2.674E+02,1.815E+02,2.785E+01,2.340E-01,3.525E-01,3.437E-01,3.449E-01,2.347E-01,24573.000,23051.000,-1.0,2049.0,257.0,1.0,-0.441,0.473,0.805,0.022,0.996,0.056,1.037,0.037,339.705,343.945,345.027,330.094,301.981,293.726,268.002,275.695,258.060,273.834,279.597,287.120,2.356,2.379,2.039,1.957,1.940,1.661,1.381,1.495,1.368,1.461,1.469,1.537,248.506,248.299,241.644,228.724,258.916,255.506,241.073,237.424,218.474,227.930,233.300,234.545,3.044,3.036,3.001,3.006,3.167,3.041,2.730,2.759,2.954,2.838,2.778,2.761,0.957,0.013
17040,2245.717,115.060,51.235,457.000,21.378,411.605,21.724,45.395,3.864,0.999,4.417E-05,0.970,4.617E-04,1.003,-NAN,0.939,1.594E-03,7.235E+02,2.530E+02,1.722E+02,2.647E+01,2.176E-01,3.295E-01,3.215E-01,3.229E-01,2.182E-01,22380.000,21026.000,-1.0,2049.0,257.0,1.0,-0.459,0.463,0.805,0.022,0.996,0.056,1.036,0.037,332.369,339.131,342.937,330.927,302.645,290.814,265.738,271.955,255.075,267.376,279.115,290.434,2.223,2.315,2.210,2.214,1.967,1.813,1.393,1.461,1.361,1.499,1.475,1.471,244.286,245.061,238.077,227.998,258.885,259.914,238.490,244.306,222.960,233.266,235.454,238.888,2.928,2.831,2.929,2.944,3.052,3.148,2.734,2.885,2.699,3.055,2.837,2.848,0.957,0.014
17041,1949.740,103.463,53.065,426.000,20.640,387.513,20.944,38.487,3.558,0.999,4.249E-05,0.969,4.864E-04,1.003,-NAN,0.936,1.757E-03,7.480E+02,2.631E+02,1.786E+02,2.739E+01,2.310E-01,3.479E-01,3.392E-01,3.401E-01,2.317E-01,19431.000,18185.000,-1.0,2049.0,257.0,1.0,-0.453,0.471,0.805,0.022,0.996,0.055,1.037,0.037,335.691,342.494,346.635,332.497,301.342,295.808,266.107,274.265,257.940,269.298,279.008,286.349,2.259,2.364,2.070,2.000,1.985,1.687,1.399,1.487,1.386,1.526,1.432,1.539,246.195,247.615,242.523,230.295,262.166,265.746,240.165,234.661,219.865,229.585,234.382,230.652,2.873,2.874,2.963,2.990,3.259,3.324,2.740,2.575,3.032,2.945,2.820,2.703,0.957,0.014
17043,1137.186,40.234,35.381,198.000,14.071,188.789,14.178,9.211,1.741,0.999,8.034E-05,0.982,6.466E-04,1.006,-NAN,0.941,2.211E-03,4.999E+02,1.613E+02,1.146E+02,1.827E+01,9.885E-02,1.673E-01,1.640E-01,1.712E-01,9.945E-02,11333.000,10666.000,-1.0,2049.0,257.0,1.0,-0.418,0.420,0.806,0.022,0.994,0.054,1.027,0.036,339.164,340.595,346.965,333.114,303.930,292.713,267.293,274.131,258.053,270.596,280.218,286.446,2.380,2.395,2.079,2.284,2.106,1.870,1.435,1.510,1.411,1.565,1.502,1.570,231.173,229.535,226.777,216.796,251.015,251.803,234.508,228.407,212.027,217.747,220.785,229.111,2.313,2.319,2.484,2.468,2.674,2.748,2.468,2.311,2.308,2.488,2.268,2.461,0.974,0.032
17044,3413.047,137.416,40.262,637.000,25.239,599.500,25.482,37.500,3.512,0.999,4.124E-05,0.980,3.645E-04,1.005,-NAN,0.940,1.289E-03,5.681E+02,1.867E+02,1.314E+02,2.077E+01,1.248E-01,2.046E-01,2.003E-01,2.071E-01,1.254E-01,34013.000,31967.000,-1.0,2049.0,257.0,1.0,-0.417,0.422,0.806,0.022,0.995,0.054,1.029,0.036,334.314,340.209,346.528,331.817,300.035,291.193,265.695,271.145,257.214,267.344,273.997,287.347,2.308,2.368,2.078,2.238,1.962,1.640,1.408,1.486,1.382,1.500,1.429,1.575,230.965,238.064,233.939,220.267,249.388,250.407,233.728,227.040,213.149,220.875,225.340,230.102,2.426,2.496,2.402,2.355,2.833,2.752,2.497,2.336,2.442,2.692,2.439,2.605,0.971,0.016
17045,2756.540,126.950,46.054,580.000,24.083,538.224,24.367,41.776,3.707,1.000,3.769E-05,0.976,4.037E-04,1.004,-NAN,0.938,1.454E-03,6.494E+02,2.193E+02,1.521E+02,2.376E+01,1.646E-01,2.597E-01,2.539E-01,2.590E-01,1.652E-01,27470.000,25770.000,-1.0,2049.0,257.0,1.0,-0.451,0.438,0.806,0.022,0.995,0.054,1.034,0.037,334.331,343.981,348.520,330.182,302.017,290.034,262.285,268.628,257.624,268.189,273.515,289.257,2.217,2.457,2.085,2.218,1.973,1.791,1.456,1.404,1.369,1.513,1.375,1.548,236.781,241.177,236.294,226.874,254.325,249.833,237.898,233.887,213.684,220.761,232.832,231.381,2.472,2.638,2.636,2.694,3.111,2.977,2.526,2.473,2.633,2.811,2.603,2.722,0.965,0.015
17046,542.844,23.467,43.229,99.000,9.950,86.829,10.149,12.171,2.001,1.000,7.864E-05,0.978,9.071E-04,1.004,-NAN,0.935,3.344E-03,6.097E+02,2.049E+02,1.426E+02,2.231E+01,1.505E-01,2.394E-01,2.340E-01,2.392E-01,1.512E-01,5411.000,5061.000,-1.0,2049.0,257.0,1.0,-0.452,0.440,0.805,0.022,0.994,0.054,1.032,0.037,335.181,347.857,346.467,329.290,300.002,291.530,261.169,268.865,256.397,265.124,271.202,281.805,2.269,2.476,2.271,2.214,1.947,1.840,1.480,1.443,1.372,1.473,1.392,1.483,233.372,233.588,230.184,223.985,253.903,256.236,226.314,227.687,214.818,219.694,226.614,226.425,2.587,2.617,2.729,2.629,3.060,3.151,2.466,2.499,2.635,2.791,2.750,2.643,0.968,0.036
