#-------------------------------------
#        Data Analysis Summary        
#-------------------------------------
#                                     
#                                     
# target_name: Ca40        kin_type:  SRC            
# target_amu: 39.962591                 
# target_density [g/cm3]: 1.5500     
# target_thickness [cm]: 0.5065      
# target_areal_density [g/cm2]: 0.7851
#
# N: 20
# Z: 20
# A: 40
# transparency: 0.43
#
# beam_energy [GeV]: 10.5494          
#
# hms_h_particle_mass [GeV]: 0.938272          
# hms_h_momentum [GeV/c]: 1.3250             
# hms_h_angle [deg]: -66.4000                  
#
# shms_e_particle_mass [GeV]: 0.000511          
# shms_e_momentum [GeV/c]: 8.5500             
# shms_e_angle [deg]: 8.3000                  
#
# BCM1_Current_Threshold [uA]: >5.00 
# Units: time [sec] | charge [mC] | currnet [uA] | rates [kHz] |  efficiencies [fractional form]                       
#                       
run,beam_time,charge,avg_current,total_Yield,total_Yield_err,real_Yield,real_Yield_err,random_Yield,random_Yield_err,hTrkEff,hTrkEff_err,pTrkEff,pTrkEff_err,cpuLT,cpuLT_err_Bi,tLT,tLT_err_Bi,S1X_rate,T1_scl_rate,T2_scl_rate,T3_scl_rate,T5_scl_rate,T1_accp_rate,T2_accp_rate,T3_accp_rate,T5_accp_rate,edtm_scl,edtm_accp,PS1,PS2,PS3,PS5,ctime_offset,ctime_sigma,hbeta_mean,hbeta_sigma,pbeta_mean,pbeta_sigma,pcal_mean,pcal_sigma,hdc1u1_res,hdc1u2_res,hdc1x1_res,hdc1x2_res,hdc1v2_res,hdc1v1_res,hdc2v1_res,hdc2v2_res,hdc2x2_res,hdc2x1_res,hdc2u2_res,hdc2u1_res,hdc1u1_res_err,hdc1u2_res_err,hdc1x1_res_err,hdc1x2_res_err,hdc1v2_res_err,hdc1v1_res_err,hdc2v1_res_err,hdc2v2_res_err,hdc2x2_res_err,hdc2x1_res_err,hdc2u2_res_err,hdc2u1_res_err,pdc1u1_res,pdc1u2_res,pdc1x1_res,pdc1x2_res,pdc1v1_res,pdc1v2_res,pdc2v2_res,pdc2v1_res,pdc2x2_res,pdc2x1_res,pdc2u2_res,pdc2u1_res,pdc1u1_res_err,pdc1u2_res_err,pdc1x1_res_err,pdc1x2_res_err,pdc1v1_res_err,pdc1v2_res_err,pdc2v2_res_err,pdc2v1_res_err,pdc2x2_res_err,pdc2x1_res_err,pdc2u2_res_err,pdc2u1_res_err,multi_track_eff,multi_track_eff_err
17020,284.386,14.410,50.670,71.000,8.426,68.697,8.471,2.303,0.870,0.999,1.592E-04,0.979,1.300E-03,1.004,-NAN,0.946,4.232E-03,5.778E+02,1.827E+02,1.270E+02,1.867E+01,1.201E-01,1.969E-01,1.929E-01,1.942E-01,1.206E-01,2834.000,2682.000,-1.0,2049.0,257.0,1.0,-0.453,0.425,0.806,0.022,0.995,0.055,1.031,0.037,332.203,337.541,346.515,336.675,295.923,291.402,281.709,289.099,269.283,278.616,290.069,301.307,2.878,3.277,2.949,2.954,2.668,2.308,2.066,2.227,1.986,2.150,2.116,2.323,245.358,254.065,248.671,233.306,267.655,260.539,237.233,248.930,225.136,233.462,233.599,240.262,3.600,3.806,4.049,3.744,4.045,4.054,3.436,3.889,3.615,3.763,3.505,3.832,0.970,0.056
17021,1761.568,88.587,50.289,376.000,19.391,354.618,19.571,21.382,2.652,0.999,7.496E-05,0.979,5.340E-04,1.005,-NAN,0.942,1.764E-03,5.731E+02,1.805E+02,1.258E+02,1.851E+01,1.175E-01,1.935E-01,1.894E-01,1.909E-01,1.181E-01,17556.000,16538.000,-1.0,2049.0,257.0,1.0,-0.457,0.431,0.806,0.022,0.995,0.054,1.030,0.037,332.026,334.969,348.506,330.865,304.318,293.753,277.100,285.538,265.797,276.181,293.507,298.541,2.065,2.348,2.157,2.050,1.849,1.729,1.583,1.572,1.416,1.522,1.574,1.605,250.935,248.396,242.944,229.343,258.226,258.101,245.732,241.859,221.678,232.580,234.957,240.991,2.745,2.686,2.712,2.622,2.833,2.829,2.603,2.364,2.755,2.783,2.557,2.680,0.970,0.022
17022,2077.295,108.483,52.223,426.000,20.640,399.684,20.848,26.316,2.942,0.999,6.221E-05,0.979,4.783E-04,1.005,-NAN,0.943,1.617E-03,5.944E+02,1.877E+02,1.307E+02,1.921E+01,1.239E-01,2.030E-01,1.987E-01,2.001E-01,1.245E-01,20701.000,19512.000,-1.0,2049.0,257.0,1.0,-0.464,0.426,0.805,0.022,0.994,0.054,1.031,0.036,334.003,337.117,348.598,327.091,301.760,294.832,278.788,286.032,263.438,276.374,284.755,296.098,2.024,2.292,2.105,1.914,1.954,1.702,1.441,1.528,1.451,1.480,1.526,1.562,245.165,249.827,246.113,234.857,263.756,262.485,239.405,237.429,219.039,229.570,236.448,233.241,2.595,2.653,2.714,2.786,2.939,3.016,2.453,2.426,2.710,2.628,2.578,2.721,0.967,0.019
17023,1914.945,100.228,52.340,401.000,20.025,375.013,20.237,25.987,2.924,0.999,6.119E-05,0.978,5.133E-04,1.005,-NAN,0.943,1.683E-03,5.954E+02,1.888E+02,1.312E+02,1.924E+01,1.258E-01,2.055E-01,2.011E-01,2.022E-01,1.264E-01,19086.000,17991.000,-1.0,2049.0,257.0,1.0,-0.455,0.422,0.805,0.022,0.995,0.055,1.031,0.037,333.432,338.453,344.961,330.040,303.480,293.805,275.667,283.002,261.638,275.321,281.898,295.879,2.301,2.379,2.086,2.043,2.052,1.715,1.550,1.634,1.480,1.531,1.511,1.568,248.581,251.917,242.894,234.535,260.209,254.275,240.875,239.222,220.539,232.386,231.287,239.633,2.662,2.853,2.755,2.855,2.939,2.788,2.604,2.539,2.525,2.706,2.446,2.756,0.967,0.021
17024,1424.024,74.777,52.511,316.000,17.776,297.908,17.943,18.092,2.440,0.999,7.161E-05,0.978,5.887E-04,1.005,-NAN,0.939,2.003E-03,5.966E+02,1.897E+02,1.317E+02,1.929E+01,1.279E-01,2.081E-01,2.035E-01,2.044E-01,1.285E-01,14192.000,13332.000,-1.0,2049.0,257.0,1.0,0.539,0.432,0.806,0.022,0.994,0.054,1.029,0.037,330.610,343.040,344.862,333.307,303.513,295.020,274.454,280.890,258.714,275.901,281.118,295.349,2.227,2.434,2.056,2.096,2.043,1.702,1.520,1.588,1.416,1.487,1.505,1.551,244.641,244.716,238.963,238.507,262.194,258.336,235.349,236.179,219.790,223.567,231.045,232.664,2.544,2.598,2.701,2.953,2.886,2.840,2.326,2.352,2.710,2.430,2.375,2.458,0.967,0.023
17025,2538.416,137.836,54.300,532.000,23.065,503.382,23.268,28.618,3.068,0.999,5.132E-05,0.978,4.293E-04,1.004,-NAN,0.940,1.498E-03,6.165E+02,1.972E+02,1.365E+02,1.994E+01,1.356E-01,2.191E-01,2.143E-01,2.147E-01,1.362E-01,25297.000,23768.000,-1.0,2049.0,257.0,1.0,-0.453,0.425,0.805,0.022,0.994,0.054,1.032,0.037,331.582,335.357,349.635,330.189,302.363,292.394,276.568,279.071,261.750,277.421,283.599,295.429,2.224,2.297,2.112,1.981,2.002,1.681,1.537,1.537,1.438,1.546,1.498,1.534,246.236,250.998,248.908,237.314,268.396,258.164,242.464,238.337,219.980,231.795,234.270,233.627,2.744,2.814,2.926,2.619,3.242,2.912,2.551,2.590,2.744,2.743,2.510,2.798,0.978,0.374
17027,2327.902,122.293,52.534,443.000,21.048,414.711,21.267,28.289,3.051,0.999,5.471E-05,0.977,4.626E-04,1.005,-NAN,0.941,1.548E-03,5.975E+02,1.905E+02,1.320E+02,1.932E+01,1.299E-01,2.105E-01,2.060E-01,2.066E-01,1.305E-01,23200.000,21830.000,-1.0,2049.0,257.0,1.0,-0.449,0.433,0.806,0.022,0.995,0.055,1.033,0.037,331.153,344.994,346.585,329.744,301.774,291.029,272.761,281.086,260.333,274.588,280.942,294.692,2.193,2.414,2.053,2.188,1.978,1.620,1.475,1.569,1.424,1.474,1.460,1.521,245.251,240.851,240.406,229.706,256.658,257.043,240.342,236.617,217.354,226.071,234.899,232.031,2.596,2.542,2.640,2.759,2.746,2.910,2.468,2.458,2.676,2.552,2.595,2.721,0.968,0.018
17028,1280.226,67.202,52.493,238.000,15.427,223.855,15.577,14.145,2.157,0.999,7.189E-05,0.979,6.042E-04,1.005,-NAN,0.937,2.148E-03,5.964E+02,1.903E+02,1.319E+02,1.899E+01,1.273E-01,2.076E-01,2.032E-01,2.028E-01,1.280E-01,12757.000,11956.000,-1.0,2049.0,257.0,1.0,-0.432,0.427,0.805,0.022,0.994,0.053,1.030,0.037,327.456,338.549,345.798,328.080,299.201,291.123,273.788,282.350,261.106,272.598,282.412,294.917,2.186,2.352,2.098,2.019,1.982,1.664,1.525,1.616,1.453,1.480,1.535,1.555,245.281,249.626,241.854,235.024,255.855,260.159,234.461,237.512,223.519,228.273,233.493,238.194,2.609,2.742,2.874,2.942,2.837,2.897,2.496,2.482,2.965,2.659,2.591,2.977,0.967,0.024
17029,1115.387,58.799,52.716,241.000,15.524,223.237,15.711,17.763,2.417,0.999,7.246E-05,0.978,6.586E-04,1.005,-NAN,0.938,2.289E-03,5.986E+02,1.911E+02,1.324E+02,1.937E+01,1.306E-01,2.117E-01,2.070E-01,2.076E-01,1.313E-01,11116.000,10426.000,-1.0,2049.0,257.0,1.0,-0.424,0.430,0.805,0.022,0.995,0.054,1.031,0.037,332.026,339.383,348.235,332.006,298.584,292.013,271.586,280.996,256.233,273.272,281.217,296.533,2.226,2.381,2.087,2.026,1.931,1.662,1.485,1.581,1.384,1.429,1.500,1.542,241.681,247.584,239.164,235.002,260.604,260.118,239.141,232.815,225.134,227.095,227.838,233.343,2.510,2.654,2.678,2.883,2.850,2.950,2.498,2.382,2.546,2.623,2.666,2.706,0.967,0.025
17030,2108.833,104.500,49.554,423.000,20.567,394.711,20.792,28.289,3.051,0.999,6.045E-05,0.978,4.947E-04,1.005,-NAN,0.940,1.637E-03,5.640E+02,1.786E+02,1.242E+02,1.823E+01,1.185E-01,1.939E-01,1.898E-01,1.910E-01,1.191E-01,21014.000,19755.000,-1.0,2049.0,257.0,1.0,-0.455,0.426,0.806,0.022,0.995,0.054,1.033,0.037,333.866,338.336,347.499,332.214,302.312,290.363,270.634,277.741,257.430,274.201,281.200,295.187,2.305,2.318,2.090,2.067,2.030,1.645,1.500,1.553,1.409,1.475,1.514,1.545,247.102,245.110,239.882,232.439,260.297,258.652,237.579,235.882,218.942,229.316,233.506,235.783,2.739,2.633,2.660,2.758,2.854,2.903,2.398,2.445,2.675,2.698,2.596,2.763,0.968,0.020
17031,2456.616,129.009,52.515,518.000,22.760,485.434,22.994,32.566,3.273,0.999,5.472E-05,0.979,4.406E-04,1.004,-NAN,0.943,1.483E-03,5.966E+02,1.903E+02,1.320E+02,1.930E+01,1.296E-01,2.101E-01,2.055E-01,2.062E-01,1.302E-01,24482.000,23084.000,-1.0,2049.0,257.0,1.0,-0.435,0.420,0.805,0.022,0.995,0.054,1.032,0.037,332.909,338.870,344.741,330.358,298.782,291.031,273.907,278.174,259.211,274.650,280.276,297.502,2.244,2.285,2.015,2.197,1.912,1.627,1.496,1.540,1.414,1.460,1.454,1.569,243.293,246.632,240.092,232.814,253.946,256.288,236.133,237.392,214.631,228.894,232.270,230.019,2.588,2.830,2.727,2.550,2.820,2.849,2.497,2.566,2.567,2.807,2.445,2.710,0.967,0.018
17032,3121.166,180.248,57.750,718.000,26.796,671.618,27.079,46.382,3.906,0.999,4.315E-05,0.978,3.734E-04,1.004,-NAN,0.938,1.366E-03,6.555E+02,2.101E+02,1.453E+02,2.121E+01,1.448E-01,2.339E-01,2.288E-01,2.290E-01,1.454E-01,31106.000,29182.000,-1.0,2049.0,257.0,1.0,-0.449,0.431,0.806,0.022,0.995,0.055,1.032,0.037,334.636,338.361,350.185,332.505,301.732,294.292,273.028,278.295,260.495,273.894,282.276,293.907,2.251,2.309,2.102,1.998,1.980,1.685,1.501,1.538,1.411,1.454,1.474,1.516,237.512,247.634,241.794,233.597,256.779,255.916,234.379,236.938,223.644,227.431,235.273,235.926,2.493,2.717,2.723,2.821,2.843,2.813,2.414,2.469,2.797,2.564,2.517,2.524,0.967,0.014
17033,1630.942,82.018,50.289,366.000,19.131,348.895,19.278,17.105,2.372,0.999,6.377E-05,0.979,5.529E-04,1.005,-NAN,0.940,1.859E-03,5.709E+02,1.810E+02,1.260E+02,1.840E+01,1.191E-01,1.954E-01,1.913E-01,1.922E-01,1.197E-01,16253.000,15282.000,-1.0,2049.0,257.0,1.0,-0.428,0.413,0.806,0.022,0.994,0.053,1.030,0.037,335.825,343.691,349.576,332.213,303.294,288.295,272.864,275.109,257.436,272.121,278.246,292.041,2.323,2.427,2.155,2.251,2.027,1.806,1.495,1.526,1.398,1.448,1.479,1.533,238.225,239.476,234.907,230.942,259.005,255.711,239.303,240.400,211.071,221.538,225.052,229.074,2.613,2.506,2.499,2.644,2.842,2.725,2.502,2.528,2.430,2.417,2.489,2.577,0.965,0.029
17034,2704.248,142.983,52.873,597.000,24.434,568.382,24.625,28.618,3.068,0.999,4.878E-05,0.979,4.175E-04,1.005,-NAN,0.941,1.431E-03,6.000E+02,1.910E+02,1.327E+02,1.943E+01,1.285E-01,2.092E-01,2.048E-01,2.056E-01,1.291E-01,26951.000,25372.000,-1.0,2049.0,257.0,1.0,-0.445,0.436,0.805,0.022,0.995,0.054,1.032,0.037,333.033,337.830,345.364,332.265,300.299,294.068,267.359,275.283,259.427,267.315,279.621,293.191,2.232,2.332,2.080,2.216,1.962,1.708,1.439,1.496,1.402,1.518,1.462,1.512,243.729,244.975,241.506,224.072,259.876,250.962,235.653,237.369,211.393,226.207,223.876,227.415,2.603,2.661,2.688,2.506,2.918,2.671,2.383,2.502,2.496,2.559,2.526,2.583,0.967,0.016
17035,541.075,32.684,60.405,124.000,11.136,117.092,11.237,6.908,1.507,0.999,1.103E-04,0.979,8.784E-04,1.004,-NAN,0.939,3.264E-03,6.850E+02,2.204E+02,1.522E+02,2.157E+01,1.494E-01,2.424E-01,2.372E-01,2.352E-01,1.501E-01,5392.000,5062.000,-1.0,2049.0,257.0,1.0,-0.421,0.438,0.805,0.022,0.995,0.054,1.033,0.036,330.928,338.190,352.821,333.381,298.940,293.558,268.106,275.351,258.769,269.374,278.081,287.699,2.193,2.298,2.146,2.025,1.928,1.654,1.426,1.507,1.383,1.516,1.436,1.544,239.685,244.359,243.372,230.525,259.367,257.503,237.304,237.811,218.533,225.807,232.586,232.988,2.691,2.602,2.740,2.674,2.915,2.871,2.418,2.474,2.648,2.552,2.539,2.770,0.966,0.034
