#-------------------------------------
#        Data Analysis Summary        
#-------------------------------------
#                                     
#                                     
# target_name: Ca40        kin_type:  SRC            
# target_amu: 39.962591                 
# target_density [g/cm3]: 1.5500     
# target_thickness [cm]: 0.5065      
# target_areal_density [g/cm2]: 0.7851
#
# N: 20
# Z: 20
# A: 40
# transparency: 0.43
#
# beam_energy [GeV]: 10.5494          
#
# hms_h_particle_mass [GeV]: 0.938272          
# hms_h_momentum [GeV/c]: 1.3250             
# hms_h_angle [deg]: -66.4000                  
#
# shms_e_particle_mass [GeV]: 0.000511          
# shms_e_momentum [GeV/c]: 8.5500             
# shms_e_angle [deg]: 8.3000                  
#
# BCM1_Current_Threshold [uA]: >5.00 
# Units: time [sec] | charge [mC] | currnet [uA] | rates [kHz] |  efficiencies [fractional form]                       
#                       
run,beam_time,charge,avg_current,total_Yield,total_Yield_err,real_Yield,real_Yield_err,random_Yield,random_Yield_err,hTrkEff,hTrkEff_err,pTrkEff,pTrkEff_err,cpuLT,cpuLT_err_Bi,tLT,tLT_err_Bi,S1X_rate,T1_scl_rate,T2_scl_rate,T3_scl_rate,T5_scl_rate,T1_accp_rate,T2_accp_rate,T3_accp_rate,T5_accp_rate,edtm_scl,edtm_accp,PS1,PS2,PS3,PS5,ctime_offset,ctime_sigma,hbeta_mean,hbeta_sigma,pbeta_mean,pbeta_sigma,pcal_mean,pcal_sigma,hdc1u1_res,hdc1u2_res,hdc1x1_res,hdc1x2_res,hdc1v2_res,hdc1v1_res,hdc2v1_res,hdc2v2_res,hdc2x2_res,hdc2x1_res,hdc2u2_res,hdc2u1_res,hdc1u1_res_err,hdc1u2_res_err,hdc1x1_res_err,hdc1x2_res_err,hdc1v2_res_err,hdc1v1_res_err,hdc2v1_res_err,hdc2v2_res_err,hdc2x2_res_err,hdc2x1_res_err,hdc2u2_res_err,hdc2u1_res_err,pdc1u1_res,pdc1u2_res,pdc1x1_res,pdc1x2_res,pdc1v1_res,pdc1v2_res,pdc2v2_res,pdc2v1_res,pdc2x2_res,pdc2x1_res,pdc2u2_res,pdc2u1_res,pdc1u1_res_err,pdc1u2_res_err,pdc1x1_res_err,pdc1x2_res_err,pdc1v1_res_err,pdc1v2_res_err,pdc2v2_res_err,pdc2v1_res_err,pdc2x2_res_err,pdc2x1_res_err,pdc2u2_res_err,pdc2u1_res_err,multi_track_eff,multi_track_eff_err
17008,1583.784,19.305,12.189,91.000,9.539,90.671,9.545,0.329,0.329,0.999,7.853E-05,0.995,3.250E-04,1.055,-NAN,0.949,1.756E-03,1.395E+02,3.771E+01,2.849E+01,4.486E+00,9.771E-03,1.269E-01,1.255E-01,1.465E-01,1.031E-02,15793.000,14982.000,-1.0,257.0,33.0,1.0,-0.423,0.370,0.805,0.022,0.993,0.052,1.009,0.035,327.572,338.012,346.149,332.236,300.086,291.639,275.658,280.304,262.001,272.557,288.632,299.891,2.554,2.718,2.644,2.644,2.277,1.983,1.803,1.876,1.695,1.713,1.748,1.886,220.604,222.882,221.617,216.310,256.528,243.008,219.855,222.350,208.275,216.797,218.086,219.257,2.292,2.368,2.383,2.475,2.926,2.548,2.141,2.199,2.634,2.476,2.526,2.567,0.993,0.057
17009,879.218,11.460,13.034,56.000,7.483,55.013,7.505,0.987,0.570,0.999,9.535E-05,0.994,4.374E-04,1.051,-NAN,0.947,2.401E-03,1.491E+02,4.046E+01,3.052E+01,4.801E+00,1.094E-02,1.370E-01,1.353E-01,1.573E-01,1.149E-02,8766.000,8298.000,-1.0,257.0,33.0,1.0,-0.415,0.382,0.805,0.022,0.993,0.053,1.010,0.035,330.134,336.126,346.473,328.368,299.298,293.272,277.056,281.260,261.281,273.436,283.614,296.314,2.589,2.694,2.674,2.535,2.258,1.975,1.790,1.894,1.693,1.692,1.775,1.824,220.997,222.825,226.400,212.696,245.917,247.493,227.978,223.473,202.782,211.829,221.252,219.653,2.284,2.343,2.387,2.340,2.929,2.664,2.293,2.144,2.460,2.315,2.614,2.286,0.992,0.070
17011,2286.655,115.116,50.342,478.000,21.863,453.329,22.048,24.671,2.849,0.999,6.141E-05,0.979,4.630E-04,1.005,-NAN,0.940,1.567E-03,5.747E+02,1.802E+02,1.257E+02,1.853E+01,1.176E-01,1.935E-01,1.894E-01,1.911E-01,1.182E-01,22789.000,21433.000,-1.0,2049.0,257.0,1.0,-0.444,0.422,0.806,0.022,0.995,0.054,1.030,0.037,328.505,336.242,348.528,333.779,296.823,293.507,273.770,287.141,263.643,277.505,288.143,301.414,2.201,2.314,2.143,2.124,1.932,1.716,1.510,1.557,1.359,1.513,1.489,1.645,244.972,248.906,238.102,235.315,259.564,254.574,242.104,236.055,221.390,233.564,231.890,231.560,2.538,2.643,2.584,2.825,2.965,2.747,2.544,2.452,2.763,2.738,2.366,2.507,0.969,0.019
17012,1411.770,73.030,51.730,320.000,17.889,300.263,18.069,19.737,2.548,0.999,7.419E-05,0.977,6.018E-04,1.005,-NAN,0.941,1.983E-03,5.895E+02,1.872E+02,1.299E+02,1.902E+01,1.274E-01,2.067E-01,2.022E-01,2.030E-01,1.280E-01,14069.000,13242.000,-1.0,2049.0,257.0,1.0,-0.438,0.423,0.806,0.022,0.995,0.055,1.029,0.037,331.181,332.005,345.595,333.068,299.135,288.826,274.320,281.768,264.910,276.341,284.386,297.074,2.257,2.246,2.079,2.069,1.961,1.637,1.506,1.496,1.513,1.505,1.561,1.595,242.947,251.620,243.002,237.523,260.740,261.556,241.386,236.750,218.447,231.608,231.442,234.216,2.489,2.744,2.695,3.030,2.820,2.916,2.512,2.434,2.683,2.700,2.505,2.617,0.967,0.023
17013,2068.117,109.372,52.885,440.000,20.976,415.987,21.164,24.013,2.811,0.999,6.413E-05,0.977,4.925E-04,1.005,-NAN,0.941,1.640E-03,6.023E+02,1.909E+02,1.325E+02,1.945E+01,1.282E-01,2.089E-01,2.044E-01,2.054E-01,1.288E-01,20611.000,19397.000,-1.0,2049.0,257.0,1.0,-0.453,0.424,0.806,0.022,0.995,0.054,1.031,0.037,331.173,334.864,348.637,332.577,303.049,294.153,277.951,285.245,265.279,277.645,288.556,300.798,2.052,2.297,2.134,2.028,2.025,1.686,1.556,1.531,1.510,1.510,1.483,1.639,249.031,251.146,244.478,236.312,264.289,264.972,242.120,239.157,223.713,227.797,233.436,240.007,2.771,2.768,2.829,2.826,2.995,3.080,2.532,2.435,2.480,2.733,2.509,2.772,0.967,0.019
17014,2244.452,114.664,51.088,475.000,21.794,453.289,21.958,21.711,2.672,0.999,6.290E-05,0.979,4.665E-04,1.005,-NAN,0.940,1.584E-03,5.815E+02,1.831E+02,1.276E+02,1.878E+01,1.196E-01,1.966E-01,1.926E-01,1.942E-01,1.202E-01,22370.000,21035.000,-1.0,2049.0,257.0,1.0,-0.455,0.427,0.806,0.022,0.995,0.054,1.029,0.037,332.664,334.954,352.746,333.485,300.820,292.588,276.238,287.575,266.646,277.432,292.782,297.315,2.092,2.277,2.149,2.057,1.981,1.677,1.530,1.531,1.383,1.507,1.516,1.577,243.739,247.678,243.322,233.933,256.318,255.718,243.103,237.698,228.428,237.125,237.636,237.913,2.499,2.620,2.680,2.762,2.819,2.713,2.488,2.464,2.578,2.799,2.482,2.575,0.969,0.019
17015,2328.050,116.467,50.028,473.000,21.749,445.039,21.959,27.961,3.033,0.999,6.110E-05,0.979,4.610E-04,1.005,-NAN,0.941,1.546E-03,5.693E+02,1.792E+02,1.250E+02,1.839E+01,1.167E-01,1.921E-01,1.881E-01,1.897E-01,1.172E-01,23203.000,21836.000,-1.0,2049.0,257.0,1.0,-0.427,0.426,0.806,0.022,0.995,0.054,1.029,0.037,331.439,335.062,350.161,333.897,304.782,296.791,277.233,281.974,266.774,276.033,293.544,300.682,2.006,2.292,2.124,2.057,2.033,1.738,1.537,1.598,1.396,1.474,1.548,1.624,244.184,241.509,241.552,235.279,259.157,257.706,236.611,235.254,222.855,232.128,235.209,241.670,2.661,2.481,2.659,2.842,2.781,2.775,2.406,2.341,2.763,2.677,2.538,2.716,0.968,0.019
17016,2024.776,98.580,48.687,391.000,19.774,369.289,19.953,21.711,2.672,0.999,7.114E-05,0.980,4.969E-04,1.005,-NAN,0.940,1.667E-03,5.542E+02,1.740E+02,1.216E+02,1.791E+01,1.123E-01,1.855E-01,1.816E-01,1.833E-01,1.129E-01,20179.000,18976.000,-1.0,2049.0,257.0,1.0,-0.439,0.417,0.806,0.022,0.994,0.053,1.028,0.037,325.023,337.238,351.893,332.458,300.625,291.436,281.649,286.953,267.979,276.696,292.013,309.178,2.230,2.448,2.223,2.086,2.036,1.719,1.529,1.581,1.436,1.538,1.578,1.655,238.570,245.760,241.417,234.581,259.047,256.523,236.278,239.701,219.467,234.098,236.647,237.267,2.410,2.586,2.713,2.804,2.761,2.737,2.418,2.506,2.607,2.721,2.539,2.523,0.970,0.022
17017,2109.819,107.967,51.174,431.000,20.761,406.329,20.955,24.671,2.849,0.999,6.633E-05,0.979,4.763E-04,1.005,-NAN,0.940,1.632E-03,5.822E+02,1.836E+02,1.280E+02,1.881E+01,1.198E-01,1.972E-01,1.929E-01,1.945E-01,1.204E-01,21026.000,19774.000,-1.0,2049.0,257.0,1.0,-0.464,0.426,0.805,0.022,0.994,0.054,1.030,0.036,336.203,334.293,354.508,330.230,303.041,292.759,279.397,289.286,267.010,278.545,292.127,309.452,2.090,2.276,2.017,2.003,1.805,1.717,1.466,1.572,1.385,1.515,1.505,1.628,250.033,253.057,243.639,230.223,262.492,257.067,239.720,241.101,225.776,229.640,236.893,236.840,2.714,2.758,2.768,2.657,2.832,2.672,2.494,2.330,2.510,2.605,2.542,2.516,0.969,0.020
17018,2728.449,144.867,53.095,586.000,24.207,550.145,24.450,35.855,3.434,0.999,6.069E-05,0.978,4.187E-04,1.005,-NAN,0.939,1.453E-03,6.037E+02,1.910E+02,1.329E+02,1.952E+01,1.263E-01,2.068E-01,2.024E-01,2.037E-01,1.269E-01,27191.000,25529.000,-1.0,2049.0,257.0,1.0,-0.432,0.418,0.806,0.022,0.994,0.054,1.031,0.037,328.950,337.897,353.032,335.843,302.248,295.360,284.122,290.361,270.010,279.105,296.547,310.665,1.996,2.320,2.004,2.141,1.787,1.734,1.501,1.577,1.415,1.533,1.588,1.626,245.848,250.658,242.906,233.577,255.721,256.753,243.078,244.838,229.678,236.232,234.393,243.926,2.645,2.687,2.827,2.773,2.698,2.746,2.570,2.503,2.603,2.767,2.591,2.705,0.968,0.017
