#-------------------------------------
#        Data Analysis Summary        
#-------------------------------------
#                                     
#                                     
# target_name: C12        kin_type:  MF            
# target_amu: 12.010700                 
# target_density [g/cm3]: 1.8000     
# target_thickness [cm]: 0.3188      
# target_areal_density [g/cm2]: 0.5738
#
# N: 6
# Z: 6
# A: 12
# transparency: 0.6
#
# beam_energy [GeV]: 10.5494          
#
# hms_h_particle_mass [GeV]: 0.938272          
# hms_h_momentum [GeV/c]: 1.8200             
# hms_h_angle [deg]: -48.3000                  
#
# shms_e_particle_mass [GeV]: 0.000511          
# shms_e_momentum [GeV/c]: 8.5500             
# shms_e_angle [deg]: 8.3000                  
#
# BCM1_Current_Threshold [uA]: >5.00 
# Units: time [sec] | charge [mC] | currnet [uA] | rates [kHz] |  efficiencies [fractional form]                       
#                       
run,beam_time,charge,avg_current,total_Yield,total_Yield_err,real_Yield,real_Yield_err,random_Yield,random_Yield_err,hTrkEff,hTrkEff_err,pTrkEff,pTrkEff_err,cpuLT,cpuLT_err_Bi,tLT,tLT_err_Bi,S1X_rate,T1_scl_rate,T2_scl_rate,T3_scl_rate,T5_scl_rate,T1_accp_rate,T2_accp_rate,T3_accp_rate,T5_accp_rate,edtm_scl,edtm_accp,PS1,PS2,PS3,PS5,ctime_offset,ctime_sigma,hbeta_mean,hbeta_sigma,pbeta_mean,pbeta_sigma,pcal_mean,pcal_sigma,hdc1u1_res,hdc1u2_res,hdc1x1_res,hdc1x2_res,hdc1v2_res,hdc1v1_res,hdc2v1_res,hdc2v2_res,hdc2x2_res,hdc2x1_res,hdc2u2_res,hdc2u1_res,hdc1u1_res_err,hdc1u2_res_err,hdc1x1_res_err,hdc1x2_res_err,hdc1v2_res_err,hdc1v1_res_err,hdc2v1_res_err,hdc2v2_res_err,hdc2x2_res_err,hdc2x1_res_err,hdc2u2_res_err,hdc2u1_res_err,pdc1u1_res,pdc1u2_res,pdc1x1_res,pdc1x2_res,pdc1v1_res,pdc1v2_res,pdc2v2_res,pdc2v1_res,pdc2x2_res,pdc2x1_res,pdc2u2_res,pdc2u1_res,pdc1u1_res_err,pdc1u2_res_err,pdc1x1_res_err,pdc1x2_res_err,pdc1v1_res_err,pdc1v2_res_err,pdc2v2_res_err,pdc2v1_res_err,pdc2x2_res_err,pdc2x1_res_err,pdc2u2_res_err,pdc2u1_res_err,multi_track_eff,multi_track_eff_err,T1_accp_singles,T2_accp_singles,pTrkEff_singles,pTrkEff_singles_err
20785,1435.076,37.491,26.125,22129.000,148.758,22118.145,148.770,10.855,1.890,0.995,1.754E-04,0.982,3.024E-04,1.010,-NAN,0.913,2.354E-03,1.522E+02,5.923E+01,4.712E+01,2.556E+00,8.673E-02,3.951E-01,3.706E-01,2.337E-01,8.761E-02,14304.000,13063.000,513.0,257.0,17.0,1.0,0.121,0.365,0.876,0.023,0.874,0.044,1.329,0.108,351.611,345.245,396.522,371.800,333.387,330.519,361.069,366.971,323.348,337.559,379.109,383.848,2.456,2.543,2.872,2.645,2.365,2.216,2.485,2.472,2.164,2.144,2.595,2.670,230.982,234.144,231.971,216.434,263.787,262.788,236.360,240.114,218.206,222.210,230.083,237.803,1.555,1.610,1.720,1.642,2.020,2.093,1.636,1.561,1.683,1.732,1.676,1.807,0.988,0.018,3.193E+04,1.398E+05,0.980,0.000
20786,1690.000,31.668,18.738,18493.000,135.989,18486.750,135.997,6.250,1.434,0.994,1.983E-04,0.984,3.110E-04,1.015,-NAN,0.908,2.224E-03,1.091E+02,4.205E+01,3.364E+01,1.834E+00,6.073E-02,2.789E-01,2.620E-01,1.664E-01,6.165E-02,16846.000,15300.000,513.0,257.0,17.0,1.0,0.128,0.363,0.876,0.023,0.874,0.044,1.120,0.078,350.003,342.496,398.194,366.819,326.833,334.895,361.915,370.386,326.855,341.949,379.457,381.295,2.484,2.495,2.889,2.572,2.294,2.229,2.445,2.551,2.196,2.222,2.609,2.679,231.560,230.904,228.726,215.603,263.425,259.336,240.987,240.169,219.181,217.162,230.422,238.127,1.528,1.556,1.657,1.633,2.013,1.947,1.560,1.553,1.695,1.638,1.677,1.830,0.991,0.023,2.650E+04,1.184E+05,0.982,0.000
20787,904.861,30.362,33.555,17456.000,132.121,17448.434,132.131,7.566,1.578,0.994,2.113E-04,0.980,3.543E-04,1.008,-NAN,0.914,2.957E-03,1.954E+02,7.710E+01,6.100E+01,3.290E+00,1.149E-01,5.187E-01,4.859E-01,3.037E-01,1.157E-01,9022.000,8243.000,513.0,257.0,17.0,1.0,0.116,0.370,0.876,0.023,0.874,0.044,1.398,0.118,352.948,339.954,398.220,368.699,331.907,331.283,372.772,376.019,330.741,339.453,372.821,384.000,2.514,2.464,2.915,2.572,2.455,2.255,2.614,2.707,2.314,2.255,2.583,2.722,233.398,235.766,234.011,223.867,258.101,256.080,240.693,237.669,215.078,222.662,230.953,243.050,1.607,1.662,1.853,1.627,1.974,1.964,1.602,1.614,1.700,1.827,1.734,1.967,0.983,0.017,2.636E+04,1.122E+05,0.978,0.001
20788,744.963,28.956,38.869,16995.000,130.365,16986.118,130.376,8.882,1.709,0.993,2.281E-04,0.979,3.690E-04,1.007,-NAN,0.915,3.230E-03,2.266E+02,8.961E+01,7.087E+01,3.812E+00,1.344E-01,6.050E-01,5.669E-01,3.532E-01,1.352E-01,7424.000,6796.000,513.0,257.0,17.0,1.0,0.106,0.368,0.876,0.023,0.874,0.044,1.465,0.123,351.297,346.724,393.367,378.931,332.205,336.295,374.216,378.903,329.925,339.950,389.715,399.557,2.458,2.362,2.815,2.748,2.332,2.274,2.601,2.646,2.209,2.215,2.694,2.724,233.413,244.035,231.319,226.642,261.683,258.800,240.230,242.309,222.028,226.877,231.630,241.884,1.684,1.638,1.760,1.674,2.026,1.988,1.622,1.666,1.797,1.670,1.736,1.918,0.982,0.017,2.499E+04,1.078E+05,0.977,0.001
