# CaFe Be9 SRC Systematics Cuts Summary
# entry -> id for a particular combination of random gaussian-generated data analysis cuts  
# real_yield -> randoms-subtracted, integrated missing-momentum counts
# rand_yield -> randoms (accidentals selected) yield integrated missing-momentum counts
# total_yield -> total (reals+randoms) integrated missing-momentum counts
entry,real_yield,real_yield_err,rand_yield,rand_yield_err,total_yield,total_yield_err
0,4919.724,70.888,79.276,5.107,4999.000,70.704
1,10444.079,103.687,230.921,8.716,10675.000,103.320
2,6596.697,82.255,127.303,6.471,6724.000,82.000
3,5104.092,72.430,106.908,5.930,5211.000,72.187
4,5538.789,75.612,134.211,6.644,5673.000,75.319
5,2770.724,53.318,54.276,4.225,2825.000,53.151
6,6856.487,84.090,161.513,7.289,7018.000,83.774
7,4186.184,65.353,63.816,4.582,4250.000,65.192
8,5265.039,73.948,152.961,7.093,5418.000,73.607
9,5134.118,72.655,108.882,5.985,5243.000,72.409
10,6124.197,79.226,114.803,6.145,6239.000,78.987
11,6673.210,82.827,140.789,6.805,6814.000,82.547
12,5259.368,73.456,102.632,5.810,5362.000,73.226
13,4244.171,66.037,87.829,5.375,4332.000,65.818
14,7330.776,86.648,133.224,6.620,7464.000,86.394
15,6506.882,81.819,141.118,6.813,6648.000,81.535
16,8401.053,93.124,203.947,8.191,8605.000,92.763
17,6038.263,78.934,144.737,6.900,6183.000,78.632
18,5875.118,77.587,108.882,5.985,5984.000,77.356
19,4343.250,66.842,93.750,5.553,4437.000,66.611
20,4641.763,68.928,82.237,5.201,4724.000,68.731
21,3770.000,62.207,75.000,4.967,3845.000,62.008
22,5720.000,76.504,100.000,5.735,5820.000,76.289
23,7067.697,85.459,177.303,7.637,7245.000,85.118
24,5430.066,74.406,79.934,5.128,5510.000,74.229
25,4834.408,70.767,130.592,6.554,4965.000,70.463
26,4939.316,71.207,98.684,5.698,5038.000,70.979
27,5067.684,71.896,76.316,5.010,5144.000,71.722
28,4361.961,66.766,72.039,4.868,4434.000,66.588
29,5555.105,75.927,157.895,7.207,5713.000,75.584
30,6226.303,80.141,147.697,6.970,6374.000,79.837
31,6243.184,79.965,113.816,6.119,6357.000,79.731
32,5806.816,77.166,111.184,6.048,5918.000,76.929
33,4325.197,66.667,89.803,5.435,4415.000,66.445
34,5066.487,71.982,86.513,5.335,5153.000,71.784
35,4431.842,67.692,113.158,6.101,4545.000,67.417
36,6476.789,81.375,109.211,5.994,6586.000,81.154
37,6300.039,80.230,102.961,5.820,6403.000,80.019
38,5595.961,75.663,97.039,5.650,5693.000,75.452
39,5430.921,74.538,94.079,5.563,5525.000,74.330
40,3470.684,59.488,51.316,4.109,3522.000,59.346
41,5515.237,75.090,92.763,5.524,5608.000,74.887
42,6166.342,79.582,125.658,6.429,6292.000,79.322
43,5199.868,72.936,90.132,5.445,5290.000,72.732
44,5938.724,77.957,104.276,5.857,6043.000,77.737
45,4080.803,64.761,85.197,5.294,4166.000,64.545
46,6721.711,83.419,178.289,7.658,6900.000,83.066
47,3788.289,62.584,96.711,5.640,3885.000,62.330
48,5367.053,73.973,78.947,5.096,5446.000,73.797
49,4828.526,70.338,89.474,5.425,4918.000,70.128
50,8934.303,96.074,222.697,8.559,9157.000,95.692
51,5463.276,74.991,120.724,6.302,5584.000,74.726
52,5454.961,74.726,97.039,5.650,5552.000,74.512
