# CaFe Be9 MF Systematics Cuts Summary
# entry -> id for a particular combination of random gaussian-generated data analysis cuts  
# real_yield -> randoms-subtracted, integrated missing-momentum counts
# rand_yield -> randoms (accidentals selected) yield integrated missing-momentum counts
# total_yield -> total (reals+randoms) integrated missing-momentum counts
entry,real_yield,real_yield_err,rand_yield,rand_yield_err,total_yield_total_yield_err
107,161191.473,401.587,60.526,4.462,161252.000,401.562
108,156238.476,395.372,60.526,4.462,156299.000,395.347
109,181123.001,425.703,75.000,4.967,181198.000,425.674
110,153523.766,391.918,57.237,4.339,153581.000,391.894
111,134726.023,367.145,51.974,4.135,134778.000,367.121
112,192402.445,438.764,83.553,5.243,192486.000,438.732
113,158438.117,398.141,58.882,4.401,158497.000,398.117
114,156696.133,395.949,59.868,4.438,156756.000,395.924
115,133454.697,365.410,52.303,4.148,133507.000,365.386
116,175351.931,418.862,70.066,4.801,175422.000,418.834
117,148510.068,385.465,54.934,4.251,148565.000,385.441
118,155109.792,393.940,59.211,4.413,155169.000,393.915
119,159169.813,399.063,61.184,4.486,159231.000,399.038
120,151088.451,388.801,58.553,4.389,151147.000,388.776
121,149676.451,386.981,58.553,4.389,149735.000,386.956
122,157469.118,396.922,58.882,4.401,157528.000,396.898
123,171960.278,414.794,70.724,4.823,172031.000,414.766
124,175555.945,419.107,71.053,4.835,175627.000,419.079
125,110835.540,333.000,40.461,3.648,110876.000,332.980
126,154189.791,392.770,59.211,4.413,154249.000,392.745
127,179834.986,424.186,74.013,4.934,179909.000,424.157
128,136156.685,369.087,51.316,4.109,136208.000,369.064
129,127081.315,356.575,48.684,4.002,127130.000,356.553
130,174956.290,418.392,71.711,4.857,175028.000,418.363
131,124477.314,352.905,48.684,4.002,124526.000,352.882
132,148863.726,385.922,54.276,4.225,148918.000,385.899
133,146530.722,382.888,54.276,4.225,146585.000,382.864
134,163316.161,404.226,61.842,4.510,163378.000,404.200
135,159092.763,398.960,57.237,4.339,159150.000,398.936
136,137742.645,371.224,48.355,3.988,137791.000,371.202
137,148184.398,385.042,54.605,4.238,148239.000,385.018
138,133127.670,364.958,50.329,4.069,133178.000,364.936
139,136110.014,369.023,50.987,4.095,136161.000,369.000
140,173457.580,416.592,68.421,4.744,173526.000,416.565
141,148827.724,385.875,54.276,4.225,148882.000,385.852
142,153021.751,391.275,56.250,4.302,153078.000,391.252
143,171846.923,414.655,69.079,4.767,171916.000,414.628
144,168161.212,410.181,65.789,4.652,168227.000,410.155
145,144934.028,380.793,51.974,4.135,144986.000,380.770
146,185342.014,430.631,75.987,5.000,185418.000,430.602
147,155017.090,393.818,56.908,4.327,155074.000,393.794
148,178765.290,422.919,71.711,4.857,178837.000,422.891
149,126340.288,355.531,46.711,3.920,126387.000,355.509
150,169272.220,411.535,66.776,4.687,169339.000,411.508
151,149804.080,387.141,55.921,4.289,149860.000,387.118
152,134433.012,366.743,50.987,4.095,134484.000,366.721
153,194789.750,441.472,81.250,5.170,194871.000,441.442
154,174041.252,417.292,68.750,4.756,174110.000,417.265
155,158795.104,398.588,57.895,4.364,158853.000,398.564
156,161798.463,402.340,59.539,4.426,161858.000,402.316
157,117013.240,342.155,42.763,3.751,117056.000,342.134
158,173654.581,416.828,68.421,4.744,173723.000,416.801
159,156630.450,395.864,58.553,4.389,156689.000,395.840
160,154989.777,393.786,58.224,4.376,155048.000,393.761
161,159599.777,399.596,58.224,4.376,159658.000,399.572
162,144120.685,379.722,51.316,4.109,144172.000,379.700
163,141114.027,375.743,51.974,4.135,141166.000,375.721
164,156603.433,395.828,57.566,4.352,156661.000,395.804
165,166271.829,407.866,62.171,4.522,166334.000,407.841
166,139427.341,373.490,50.658,4.082,139478.000,373.468
167,140883.026,375.436,51.974,4.135,140935.000,375.413
168,158854.104,398.662,57.895,4.364,158912.000,398.638
169,162460.136,403.162,59.868,4.438,162520.000,403.138
170,124175.962,352.475,47.039,3.934,124223.000,352.453
171,159161.107,399.046,57.895,4.364,159219.000,399.023
172,149688.411,386.991,55.592,4.276,149744.000,386.968
173,160345.093,400.526,56.908,4.327,160402.000,400.502
174,163173.146,404.047,60.855,4.474,163234.000,404.022
175,156379.082,395.542,55.921,4.289,156435.000,395.519
176,104750.830,323.729,37.171,3.497,104788.000,323.710
177,149340.068,386.540,54.934,4.251,149395.000,386.516
178,106303.856,326.122,39.145,3.588,106343.000,326.103
179,134267.306,366.512,47.697,3.961,134315.000,366.490
180,127963.605,357.804,45.395,3.864,128009.000,357.783
181,124625.604,353.109,45.395,3.864,124671.000,353.088
182,184379.317,429.508,73.684,4.923,184453.000,429.480
183,147444.053,384.078,53.947,4.213,147498.000,384.055
184,173820.253,417.027,68.750,4.756,173889.000,417.000
185,156336.107,395.491,57.895,4.364,156394.000,395.467
186,138701.354,372.518,51.645,4.122,138753.000,372.496
187,110928.566,333.144,42.434,3.736,110971.000,333.123
188,164580.827,405.787,62.171,4.522,164643.000,405.762
189,138241.305,371.893,47.697,3.961,138289.000,371.872
190,113229.252,336.582,43.750,3.794,113273.000,336.561
191,153845.118,392.331,58.882,4.401,153904.000,392.306
192,157185.774,396.564,58.224,4.376,157244.000,396.540
193,187877.356,433.566,76.645,5.021,187954.000,433.537
194,185780.039,431.142,77.961,5.064,185858.000,431.113
195,114869.921,339.011,44.079,3.808,114914.000,338.990
196,157718.750,397.232,56.250,4.302,157775.000,397.209
197,175248.935,418.739,70.066,4.801,175319.000,418.711
198,150538.069,388.086,54.934,4.251,150593.000,388.063
199,179828.987,424.178,74.013,4.934,179903.000,424.150
200,183354.293,428.310,71.711,4.857,183426.000,428.283
201,125871.635,354.873,47.368,3.947,125919.000,354.851
202,151571.083,389.417,55.921,4.289,151627.000,389.393
203,137734.997,371.216,50.000,4.056,137785.000,371.194
204,120873.910,347.752,43.092,3.765,120917.000,347.731
205,151941.726,389.890,54.276,4.225,151996.000,389.867
206,115687.555,340.210,41.447,3.692,115729.000,340.190
207,159806.106,399.854,57.895,4.364,159864.000,399.830
208,139516.667,373.609,50.329,4.069,139567.000,373.587
209,154503.710,393.160,53.289,4.187,154557.000,393.137
210,158789.789,398.583,59.211,4.413,158849.000,398.559
211,148825.764,385.878,57.237,4.339,148883.000,385.854
212,135201.683,367.791,51.316,4.109,135253.000,367.768
213,139708.670,373.866,50.329,4.069,139759.000,373.844
214,174187.252,417.467,68.750,4.756,174256.000,417.440
215,142300.026,377.318,51.974,4.135,142352.000,377.296
216,155315.421,394.196,56.579,4.314,155372.000,394.173
217,161149.780,401.531,58.224,4.376,161208.000,401.507
218,159989.108,400.083,57.895,4.364,160047.000,400.059
219,180655.658,425.152,74.342,4.945,180730.000,425.124
220,137545.354,370.964,51.645,4.122,137597.000,370.941
221,119408.896,345.637,42.105,3.722,119451.000,345.617
222,145478.710,381.510,53.289,4.187,145532.000,381.487
223,182646.002,427.488,75.000,4.967,182721.000,427.459
224,142713.998,377.863,50.000,4.056,142764.000,377.841
225,178521.635,422.632,72.368,4.879,178594.000,422.604
226,143704.656,379.170,49.342,4.029,143754.000,379.149
227,151139.056,388.858,53.947,4.213,151193.000,388.835
228,128673.963,358.799,47.039,3.934,128721.000,358.777
229,134263.654,366.510,49.342,4.029,134313.000,366.487
230,168406.541,410.480,65.461,4.640,168472.000,410.453
231,113910.238,337.590,42.763,3.751,113953.000,337.569
232,184198.328,429.299,74.671,4.956,184273.000,429.270
233,179919.315,424.284,73.684,4.923,179993.000,424.256
234,141752.712,376.595,53.289,4.187,141806.000,376.571
235,141213.698,375.877,52.303,4.148,141266.000,375.854
236,143139.699,378.430,52.303,4.148,143192.000,378.407
237,173702.252,416.886,68.750,4.756,173771.000,416.858
238,120875.252,347.755,43.750,3.794,120919.000,347.734
239,136681.013,369.796,50.987,4.095,136732.000,369.773
240,122263.582,349.745,43.421,3.779,122307.000,349.724
241,136851.668,370.025,50.329,4.069,136902.000,370.003
242,127176.634,356.707,47.368,3.947,127224.000,356.685
243,153220.079,391.528,55.921,4.289,153276.000,391.505
244,151715.396,389.600,54.605,4.238,151770.000,389.577
245,133423.329,365.362,49.671,4.042,133473.000,365.340
246,130458.984,361.281,49.013,4.015,130508.000,361.259
247,134802.631,367.240,47.368,3.947,134850.000,367.219
248,107307.540,327.660,40.461,3.648,107348.000,327.640
249,146716.736,383.132,55.263,4.264,146772.000,383.108
250,151670.750,389.545,56.250,4.302,151727.000,389.522
251,154740.461,393.471,59.539,4.426,154800.000,393.446
252,161202.779,401.597,58.224,4.376,161261.000,401.573
253,170341.906,412.835,68.092,4.733,170410.000,412.807
254,161098.136,401.469,59.868,4.438,161158.000,401.445
255,143114.025,378.395,51.974,4.135,143166.000,378.373
256,160023.778,400.126,58.224,4.376,160082.000,400.102
257,135213.343,367.805,50.658,4.082,135264.000,367.783
258,150833.737,388.468,55.263,4.264,150889.000,388.444
259,141590.368,376.378,52.632,4.161,141643.000,376.355
260,173455.253,416.589,68.750,4.756,173524.000,416.562
261,168774.224,410.929,66.776,4.687,168841.000,410.903
262,139482.695,373.567,52.303,4.148,139535.000,373.544
263,150152.423,387.592,56.579,4.314,150209.000,387.568
264,193634.764,440.164,82.237,5.201,193717.000,440.133
265,132440.013,364.016,50.987,4.095,132491.000,363.993
266,143268.738,378.606,55.263,4.264,143324.000,378.582
267,148093.080,384.925,55.921,4.289,148149.000,384.901
268,149402.095,386.623,56.908,4.327,149459.000,386.599
269,158140.118,397.767,58.882,4.401,158199.000,397.742
270,159702.816,399.730,61.184,4.486,159764.000,399.705
271,131175.342,362.274,50.658,4.082,131226.000,362.251
272,161711.483,402.235,61.513,4.498,161773.000,402.210
273,195367.064,442.124,79.934,5.128,195447.000,442.094
274,155718.104,394.709,57.895,4.364,155776.000,394.685
275,166705.526,408.401,64.474,4.605,166770.000,408.375
276,128121.632,358.029,47.368,3.947,128169.000,358.007
277,168413.224,410.490,66.776,4.687,168480.000,410.463
278,132515.001,364.117,50.000,4.056,132565.000,364.095
279,139795.987,373.980,49.013,4.015,139845.000,373.959
280,133196.999,365.053,50.000,4.056,133247.000,365.030
281,164238.146,405.363,60.855,4.474,164299.000,405.338
