# CaFe Au197 SRC Systematics Cuts Summary
# entry -> id for a particular combination of random gaussian-generated data analysis cuts  
# syst_total_real -> randoms-subtracted, integrated yield (varied all cuts simultaneously)
# syst_dVAR_real,err -> randoms-subtracted integrated yield (kept all cuts at central value, and varied only VAR)
# entry,syst_total_real,syst_total_real_err,syst_dPm_min_real,syst_dPm_min_real_err,syst_dPm_max_real,syst_dPm_max_real_err,syst_dQ2_real,syst_dQ2_real_err,syst_dXbj_real,syst_dXbj_real_err,syst_dthrq_real,syst_dthrq_real_err,syst_dEm_real,syst_dEm_real_err,syst_dHcoll_real,syst_dHcoll_real_err,syst_dScoll_real,syst_dScoll_real_err
0,3199.395,58.351,3199.395,58.351,2287.066,49.596,2287.066,49.596,2287.066,49.596,2287.066,49.596,0.000,0.000,2287.066,49.596,2287.066,49.596
1,2962.658,56.224,2962.658,56.224,2287.066,49.596,2287.066,49.596,2287.066,49.596,2287.066,49.596,0.000,0.000,2287.066,49.596,2287.066,49.596
2,2526.855,52.075,2526.855,52.075,2287.066,49.596,2287.066,49.596,2287.066,49.596,2287.066,49.596,0.000,0.000,2287.066,49.596,2287.066,49.596
3,2015.987,46.699,2015.987,46.699,2287.066,49.596,2287.066,49.596,2287.066,49.596,2287.066,49.596,0.000,0.000,2287.066,49.596,2287.066,49.596
