# target boiling 2018
# bcm1 cut > 5 uA,
# target: LD2, LH2
# trigger scalers: 
run,current,charge,T2,tgt,
3204,77.023,22.386,857476.,d  
3205,67.311,30.034,1154605.,d
3206,75.583,42.537,797571.,h
3207,67.342,55.990,1052475.,h
3210,9.903,21.363,410163.,h
3211,19.471,24.294,462356.,h
3212,33.759,7.546,142991.,h
3213,34.471,24.775,469646.,h
3214,42.624,26.307,496489.,h
3215,51.984,29.586,555684.,h
3217,51.133,19.115,722758.,d
3218,41.111,20.543,779002.,d
3219,33.557,19.664,744196.,d
3220,19.672,15.568,592859.,d
3221,10.124,13.841,536080.,d
3223,52.555,30.090,303328.,c
3224,49.030,33.387,335437.,c
3225,33.942,59.247,591905.,c
