#Plane_1x2
#Card       tzero  t_zero_err      entries
0    -7.58985     1.16303             11002
1    -3.00726     0.21509             151440
2    -5.95464     0.29078             113865
3    -3.24882     0.29994             78043
4    4.85945     0.85717             53567
5    3.62753     0.89053             33309
6    3.18711     1.77454             6659
