#Plane_2v2
#Card       tzero  t_zero_err      entries
0    10.95430     2.42367             11666
1    8.07003     0.78394             104508
2    8.31842     0.59789             197476
3    8.86490     0.79352             98808
4    0.73802     0.86829             32217
5    -8.00445     1.54838             6090
