#Plane_2x1
#Card       tzero  t_zero_err      entries
0    7.35996     2.51197             15516
1    5.64264     0.95356             51295
2    3.33359     0.54619             66131
3    3.98802     0.53015             61417
4    12.15959     1.48464             35272
