#Plane_2v2
#Card       tzero  t_zero_err      entries
0    10.50000     0.00000             119
1    2.34168     0.70143             25359
2    10.42625     1.29062             67513
3    11.72631     1.23116             61155
4    6.39764     1.05198             48708
5    8.97004     1.12673             24933
6    10.78972     7.05399             2486
