#Plane_1u2
#Card       tzero  t_zero_err      entries
0    10.50000     0.00000             45
1    2.69640     1.03566             14176
2    4.76652     0.55741             70815
3    6.51570     0.66181             66858
4    8.42751     0.98909             49532
5    9.03523     1.49873             19143
6    10.50000     0.00000             694
