#Plane_1v2
#Card       tzero  t_zero_err      entries
0    30.50000     0.00000             34
1    7.88772     2.81726             4708
2    10.90952     1.48807             42655
3    3.34654     0.53052             72563
4    1.99251     0.48436             66672
5    3.69514     0.99962             38084
6    10.50000     0.00000             1764
