#Plane_2x2
#Card       tzero  t_zero_err      entries
0    5.84159     0.78048             55299
1    5.10959     0.54606             165800
2    4.43756     0.50805             123658
3    6.42032     0.66745             87924
4    -3.68298     0.31654             61629
5    -4.06592     0.52234             38706
6    -1.60666     0.83666             12090
