#Plane_1u2
#Card       tzero  t_zero_err      entries
0    3.57756     2.19006             6538
1    1.11461     0.41011             119974
2    1.94723     0.29954             260701
3    3.61962     0.40972             119628
4    -7.27138     0.66091             35881
5    -10.61346     2.87064             4821
