#Plane_2v1
#Card       tzero  t_zero_err      entries
0    3.43461     1.76261             12958
1    7.27631     0.78834             118199
2    -3.07530     0.18036             242195
3    -2.83927     0.28205             121219
4    -3.83190     0.42916             40906
5    -11.12786     1.77861             7238
