#Plane_1v1
#Card       tzero  t_zero_err      entries
0    -7.83328     1.04403             7339
1    -5.80964     0.38206             105467
2    3.03201     0.28131             266832
3    3.21655     0.49267             119814
4    0.39958     0.96976             35026
5    -4.51623     1.21537             3402
