#Plane_1x1
#Card       tzero  t_zero_err      entries
0    -2.50750     1.58960             10021
1    0.31081     0.42474             162752
2    -0.25254     0.32195             139894
3    -7.96093     0.34609             96422
4    -8.49745     0.48568             63957
5    -7.56651     0.59452             37952
6    -8.36509     1.16310             8155
