#-------------------------------------
#        Data Analysis Summary        
#-------------------------------------
#                                     
#                                     
# target_name: B11        kin_type:  MF            
# target_amu: 11.009306                 
# target_density [g/cm3]: 2.4340     
# target_thickness [cm]: 0.2600      
# target_areal_density [g/cm2]: 0.6328
#
# N: 6
# Z: 5
# A: 11
# transparency: 0.6
#
# beam_energy [GeV]: 10.5494          
#
# hms_h_particle_mass [GeV]: 0.938272          
# hms_h_momentum [GeV/c]: 1.8200             
# hms_h_angle [deg]: -48.3000                  
#
# shms_e_particle_mass [GeV]: 0.000511          
# shms_e_momentum [GeV/c]: 8.5500             
# shms_e_angle [deg]: 8.3000                  
#
# BCM1_Current_Threshold [uA]: >5.00 
# Units: time [sec] | charge [mC] | currnet [uA] | rates [kHz] |  efficiencies [fractional form]                       
#                       
run,beam_time,charge,avg_current,total_Yield,total_Yield_err,real_Yield,real_Yield_err,random_Yield,random_Yield_err,hTrkEff,hTrkEff_err,pTrkEff,pTrkEff_err,cpuLT,cpuLT_err_Bi,tLT,tLT_err_Bi,S1X_rate,T1_scl_rate,T2_scl_rate,T3_scl_rate,T5_scl_rate,T1_accp_rate,T2_accp_rate,T3_accp_rate,T5_accp_rate,edtm_scl,edtm_accp,PS1,PS2,PS3,PS5,ctime_offset,ctime_sigma,hbeta_mean,hbeta_sigma,pbeta_mean,pbeta_sigma,pcal_mean,pcal_sigma,hdc1u1_res,hdc1u2_res,hdc1x1_res,hdc1x2_res,hdc1v2_res,hdc1v1_res,hdc2v1_res,hdc2v2_res,hdc2x2_res,hdc2x1_res,hdc2u2_res,hdc2u1_res,hdc1u1_res_err,hdc1u2_res_err,hdc1x1_res_err,hdc1x2_res_err,hdc1v2_res_err,hdc1v1_res_err,hdc2v1_res_err,hdc2v2_res_err,hdc2x2_res_err,hdc2x1_res_err,hdc2u2_res_err,hdc2u1_res_err,pdc1u1_res,pdc1u2_res,pdc1x1_res,pdc1x2_res,pdc1v1_res,pdc1v2_res,pdc2v2_res,pdc2v1_res,pdc2x2_res,pdc2x1_res,pdc2u2_res,pdc2u1_res,pdc1u1_res_err,pdc1u2_res_err,pdc1x1_res_err,pdc1x2_res_err,pdc1v1_res_err,pdc1v2_res_err,pdc2v2_res_err,pdc2v1_res_err,pdc2x2_res_err,pdc2x1_res_err,pdc2u2_res_err,pdc2u1_res_err,multi_track_eff,multi_track_eff_err,T1_accp_singles,T2_accp_singles,pTrkEff_singles,pTrkEff_singles_err
16986,400.245,18.176,45.412,11402.000,106.780,11395.750,106.790,6.250,1.434,0.997,2.384E-04,0.981,5.994E-04,1.004,-NAN,0.933,3.970E-03,2.657E+02,1.137E+02,8.807E+01,4.432E+00,1.656E-01,2.183E-01,2.163E-01,2.322E-01,1.663E-01,3990.000,3721.000,-1.0,2049.0,65.0,1.0,0.220,0.341,0.883,0.021,0.995,0.050,1.026,0.036,334.645,332.052,370.604,350.002,312.358,314.920,340.781,347.568,312.679,320.896,352.160,355.129,1.822,1.776,1.994,1.867,1.703,1.627,1.752,1.821,1.625,1.597,1.813,1.820,232.728,237.484,228.112,217.503,257.473,253.141,239.904,232.379,212.576,218.978,226.834,239.775,1.584,1.697,1.630,1.639,1.888,1.831,1.563,1.475,1.594,1.699,1.582,1.822,0.976,0.026,0.000E+00,5.978E+03,0.972,0.003
16991,5516.359,214.126,38.817,133604.000,365.519,133546.433,365.545,57.566,4.352,0.997,6.633E-05,0.981,1.676E-04,1.005,-NAN,0.938,1.027E-03,2.275E+02,9.579E+01,7.483E+01,3.783E+00,1.379E-01,2.177E-01,2.163E-01,1.949E-01,1.385E-01,54978.000,51582.000,-1.0,1025.0,65.0,1.0,0.258,0.336,0.883,0.021,0.995,0.050,1.021,0.036,335.027,331.318,361.654,343.061,309.555,306.744,332.872,337.915,304.306,314.895,341.401,354.315,1.788,1.858,1.958,1.871,1.640,1.602,1.718,1.775,1.499,1.588,1.741,1.758,226.438,228.609,226.343,216.345,255.001,254.282,224.928,227.238,211.166,214.394,220.447,231.417,1.425,1.318,1.461,1.450,1.636,1.643,1.296,1.337,1.372,1.404,1.500,1.659,0.981,0.008,0.000E+00,1.421E+05,0.976,0.000
17102,481.981,30.245,62.751,18011.000,134.205,18001.790,134.216,9.211,1.741,0.996,2.218E-04,0.977,5.296E-04,1.003,-NAN,0.932,3.629E-03,3.673E+02,1.600E+02,1.232E+02,6.127E+00,2.194E-01,2.951E-01,2.918E-01,3.115E-01,2.201E-01,4803.000,4477.000,-1.0,2049.0,65.0,1.0,0.089,0.333,0.882,0.021,0.995,0.050,1.036,0.036,346.715,341.412,381.245,360.107,324.337,322.003,342.458,350.152,312.764,326.131,358.437,371.844,1.661,1.714,1.916,1.812,1.550,1.543,1.607,1.667,1.470,1.492,1.682,1.706,234.978,244.064,232.161,225.782,259.023,255.722,244.249,237.421,218.231,226.712,233.801,238.940,1.453,1.484,1.554,1.430,1.774,1.543,1.484,1.399,1.534,1.463,1.583,1.647,0.970,0.018,0.000E+00,9.880E+03,0.969,0.002
