# CaFe Ca40 SRC Systematics Cuts Summary
# entry -> id for a particular combination of random gaussian-generated data analysis cuts  
# syst_total_real -> randoms-subtracted, integrated yield (varied all cuts simultaneously)
# syst_dVAR_real,err -> randoms-subtracted integrated yield (kept all cuts at central value, and varied only VAR)
entry,syst_total_real,syst_total_real_err,syst_dPm_min_real,syst_dPm_min_real_err,syst_dPm_max_real,syst_dPm_max_real_err,syst_dQ2_real,syst_dQ2_real_err,syst_dXbj_real,syst_dXbj_real_err,syst_dthrq_real,syst_dthrq_real_err,syst_dHcoll_real,syst_dHcoll_real_err,syst_dScoll_real,syst_dScoll_real_err
0,7439.408,89.136,7906.500,92.490,7518.132,89.978,7830.395,92.020,7211.290,87.969,8753.632,97.200,8369.539,95.155,8013.553,93.095
1,12463.869,117.528,8015.553,93.106,8701.421,97.336,8168.355,93.995,9587.329,102.715,8617.553,96.457,8382.553,95.231,8016.224,93.112
2,7990.895,93.334,8015.553,93.106,8196.868,94.241,7806.368,91.876,8344.842,95.184,7435.566,89.759,8287.158,94.696,8016.553,93.111
3,6185.539,81.474,7985.197,92.931,7578.921,90.383,8351.526,95.054,7384.842,89.072,6800.395,85.856,8074.605,93.450,8016.553,93.111
4,8394.513,95.794,8258.290,94.437,8088.658,93.553,8071.592,93.427,8990.000,99.099,7651.684,91.020,7534.171,90.273,8018.224,93.122
5,7072.118,87.267,8015.553,93.106,7489.750,89.793,8019.553,93.127,7969.474,92.815,7713.724,91.382,7912.803,92.507,8015.553,93.106
6,7625.118,91.112,8015.553,93.106,8056.632,93.368,8351.526,95.054,8460.658,95.868,7450.908,89.850,7416.026,89.536,8017.224,93.117
7,6418.013,83.372,8069.895,93.402,6830.250,85.559,8170.368,94.012,8917.566,98.682,7102.671,87.756,7746.000,91.527,8016.224,93.112
8,7570.421,90.794,7861.145,92.232,8142.079,93.885,7465.368,89.816,8481.711,96.005,7726.066,91.454,7976.855,92.881,8016.224,93.112
9,6740.053,84.522,8443.013,95.440,8079.987,93.505,7873.790,92.289,5975.460,79.709,8836.329,97.640,7923.145,92.568,8013.553,93.095
10,8145.119,94.802,7680.434,91.224,8577.171,96.567,7879.803,92.329,8764.921,97.747,6974.553,86.955,8333.855,94.959,8013.553,93.095
11,9413.934,101.019,7762.790,91.686,7953.816,92.736,8183.052,94.089,8344.842,95.184,9002.421,98.534,8134.329,93.800,8013.553,93.095
12,7059.355,87.139,8443.013,95.440,8097.000,93.603,8099.303,93.599,7351.132,88.858,6665.316,85.020,8506.658,95.935,8016.553,93.111
13,8115.566,93.471,7906.500,92.490,8451.276,95.794,7601.132,90.622,7531.697,89.998,8818.987,97.547,8042.921,93.271,8013.553,93.095
14,8557.684,96.214,8516.382,95.842,7485.368,89.742,8344.513,95.010,8831.711,98.150,8000.211,93.019,7435.382,89.656,8017.224,93.117
15,8807.039,98.191,8145.579,93.815,7489.750,89.793,8243.105,94.436,9721.579,103.487,7953.500,92.744,7534.171,90.273,8016.224,93.112
16,7587.816,90.006,8390.987,95.153,7944.803,92.680,7275.184,88.647,7295.053,88.498,9042.132,98.757,7912.803,92.507,8013.553,93.095
17,8785.987,97.377,7680.434,91.224,8220.211,94.370,7663.882,91.013,7880.987,92.255,9258.921,99.910,8257.447,94.516,8014.553,93.100
18,9005.882,98.615,8099.908,93.569,8097.000,93.603,8287.487,94.696,7880.987,92.255,8164.289,93.938,8517.329,95.993,8019.224,93.128
19,10130.908,105.444,8258.290,94.437,8038.605,93.257,8155.684,93.925,9399.224,101.580,7769.421,91.703,8489.303,95.833,8021.224,93.138
20,11819.921,113.761,8570.053,96.124,8020.566,93.140,8302.500,94.782,9509.816,102.249,8304.355,94.715,8521.671,96.020,8013.553,93.095
21,6864.776,85.679,7985.197,92.931,8210.211,94.317,7999.855,93.005,6612.882,84.061,8136.934,93.781,8104.961,93.624,8018.224,93.122
22,7116.263,87.791,8015.553,93.106,8165.790,94.035,8044.237,93.269,7880.987,92.255,7461.250,89.912,7594.882,90.633,8013.553,93.095
