# CaFe B11 SRC Systematics Cuts Summary
# entry -> id for a particular combination of random gaussian-generated data analysis cuts  
# syst_total_real -> randoms-subtracted, integrated yield (varied all cuts simultaneously)
# syst_dVAR_real,err -> randoms-subtracted integrated yield (kept all cuts at central value, and varied only VAR)
entry,syst_total_real,syst_total_real_err,syst_dPm_min_real,syst_dPm_min_real_err,syst_dPm_max_real,syst_dPm_max_real_err,syst_dQ2_real,syst_dQ2_real_err,syst_dXbj_real,syst_dXbj_real_err,syst_dthrq_real,syst_dthrq_real_err,syst_dHcoll_real,syst_dHcoll_real_err,syst_dScoll_real,syst_dScoll_real_err
0,4032.066,64.071,4198.934,65.514,4046.500,64.262,4165.921,65.251,3881.118,62.924,4624.026,68.748,4467.316,67.567,4265.276,66.025
1,6335.974,80.825,4265.276,66.025,4574.408,68.422,4344.632,66.639,4973.382,71.492,4567.013,68.323,4476.316,67.633,4265.276,66.025
2,4240.026,65.896,4265.276,66.025,4350.303,66.685,4157.250,65.181,4419.053,67.260,3953.553,63.576,4426.645,67.262,4265.276,66.025
3,3302.658,58.036,4245.605,65.872,4090.526,64.624,4441.316,67.374,3951.816,63.507,3589.145,60.581,4296.947,66.267,4265.276,66.025
4,4404.184,67.247,4418.290,67.183,4292.961,66.247,4288.947,66.207,4709.553,69.506,4066.908,64.478,4007.908,64.019,4265.276,66.025
5,3810.132,62.367,4265.276,66.025,4029.829,64.128,4269.276,66.055,4234.934,65.788,4106.579,64.788,4215.276,65.645,4265.276,66.025
6,4000.355,64.049,4265.276,66.025,4284.290,66.178,4441.316,67.374,4459.079,67.577,3958.553,63.615,3931.895,63.412,4265.276,66.025
7,3410.092,59.040,4292.618,66.238,3670.671,61.136,4345.632,66.647,4660.211,69.144,3771.842,62.095,4119.592,64.899,4265.276,66.025
8,4000.290,63.997,4169.934,65.292,4320.961,66.458,3991.184,63.843,4467.421,67.645,4113.579,64.842,4247.276,65.888,4265.276,66.025
9,3647.263,60.883,4514.290,67.894,4289.961,66.225,4185.592,65.405,3270.211,57.658,4668.026,69.068,4218.276,65.668,4265.276,66.025
10,4182.487,65.555,4065.592,64.481,4505.711,67.895,4190.592,65.443,4569.474,68.433,3702.829,61.526,4447.316,67.418,4265.276,66.025
11,4952.171,71.196,4119.263,64.899,4228.263,65.734,4357.632,66.737,4419.053,67.260,4764.711,69.776,4339.961,66.601,4265.276,66.025
12,3756.776,61.921,4514.290,67.894,4298.961,66.293,4304.947,66.328,3942.145,63.427,3524.474,60.041,4533.987,68.061,4265.276,66.025
13,4288.895,66.167,4198.934,65.514,4455.684,67.506,4075.211,64.519,4014.171,64.013,4655.026,68.973,4283.276,66.161,4265.276,66.025
14,4533.408,68.121,4561.303,68.249,4020.829,64.058,4439.316,67.359,4603.513,68.710,4253.605,65.933,3944.895,63.514,4265.276,66.025
15,4630.566,68.945,4343.290,66.623,4029.829,64.128,4394.974,67.023,5039.118,71.999,4229.263,65.741,4007.908,64.019,4265.276,66.025
16,4084.447,64.516,4490.290,67.717,4225.263,65.711,3907.171,63.172,3918.803,63.236,4779.053,69.885,4215.276,65.645,4265.276,66.025
17,4638.013,68.840,4065.592,64.481,4355.303,66.723,4099.553,64.714,4197.263,65.498,4871.737,70.558,4409.645,67.135,4265.276,66.025
18,4802.395,70.058,4315.290,66.412,4298.961,66.293,4414.645,67.172,4197.263,65.498,4337.961,66.586,4540.987,68.113,4266.276,66.032
19,5313.105,73.868,4418.290,67.183,4274.947,66.101,4337.632,66.587,4901.671,70.958,4133.579,64.996,4521.987,67.973,4267.276,66.040
20,6206.711,79.857,4599.645,68.536,4266.276,66.032,4428.645,67.277,4950.697,71.321,4411.645,67.150,4546.987,68.157,4265.276,66.025
21,3714.355,61.506,4245.605,65.872,4354.303,66.715,4256.276,65.957,3587.658,60.442,4320.618,66.449,4320.618,66.449,4266.276,66.032
22,3771.526,62.106,4265.276,66.025,4333.961,66.556,4280.276,66.138,4197.263,65.498,3969.553,63.701,4039.250,64.270,4264.276,66.017
23,5726.316,76.751,4536.303,68.066,4508.711,67.917,4394.974,67.023,4912.013,71.037,4361.632,66.767,4114.592,64.860,4265.276,66.025
24,3748.079,61.826,4119.263,64.899,4370.974,66.843,4360.632,66.759,3676.368,61.207,4143.250,65.074,4482.316,67.677,4265.276,66.025
