# CaFe Fe54 SRC Systematics Cuts Summary
# entry -> id for a particular combination of random gaussian-generated data analysis cuts  
# syst_total_real -> randoms-subtracted, integrated yield (varied all cuts simultaneously)
# syst_dVAR_real,err -> randoms-subtracted integrated yield (kept all cuts at central value, and varied only VAR)
entry,syst_total_real,syst_total_real_err,syst_dPm_min_real,syst_dPm_min_real_err,syst_dPm_max_real,syst_dPm_max_real_err,syst_dQ2_real,syst_dQ2_real_err,syst_dXbj_real,syst_dXbj_real_err,syst_dthrq_real,syst_dthrq_real_err,syst_dHcoll_real,syst_dHcoll_real_err,syst_dScoll_real,syst_dScoll_real_err
0,5002.737,71.943,5326.053,74.368,5076.895,72.565,5281.342,74.038,4870.697,70.992,5867.553,78.030,5665.158,76.683,5410.053,74.931
1,8480.697,94.423,5409.724,74.932,5901.803,78.409,5504.118,75.599,6558.697,82.830,5795.197,77.551,5678.829,76.775,5409.724,74.932
2,5416.987,75.155,5409.724,74.932,5528.855,75.809,5273.658,73.974,5633.303,76.569,5028.618,72.271,5605.789,76.272,5409.724,74.932
3,4128.895,65.456,5379.724,74.731,5112.908,72.822,5628.526,76.466,4987.079,71.841,4559.487,68.854,5440.066,75.140,5409.724,74.932
4,5723.250,77.335,5577.066,76.046,5452.434,75.245,5446.421,75.196,6102.066,79.840,5188.329,73.398,5091.250,72.679,5409.724,74.932
5,4819.474,70.708,5409.724,74.932,5059.210,72.431,5413.066,74.960,5381.039,74.728,5238.342,73.747,5343.697,74.472,5409.724,74.932
6,5123.921,73.134,5409.724,74.932,5435.092,75.124,5628.526,76.466,5702.355,77.053,5032.289,72.300,5002.566,72.055,5409.724,74.932
7,4273.487,66.745,5433.724,75.092,4551.908,68.621,5505.118,75.606,6044.355,79.450,4800.882,70.629,5221.303,73.604,5409.724,74.932
8,5135.224,73.191,5305.382,74.226,5493.145,75.544,5065.895,72.490,5721.040,77.185,5250.013,73.829,5383.382,74.750,5409.724,74.932
9,4497.526,67.944,5682.750,76.749,5450.092,75.224,5315.013,74.268,4025.789,64.325,5915.224,78.338,5349.368,74.513,5409.053,74.924
10,5545.145,76.324,5184.382,73.407,5786.355,77.596,5318.013,74.288,5933.566,78.672,4703.184,69.912,5641.487,76.525,5410.053,74.931
11,6287.882,80.882,5239.382,73.780,5361.355,74.585,5513.789,75.666,5633.303,76.569,6033.579,79.104,5483.079,75.434,5410.053,74.931
12,4752.053,70.167,5682.750,76.749,5457.434,75.278,5462.763,75.311,4966.066,71.685,4475.132,68.223,5749.197,77.254,5409.724,74.932
13,5431.671,75.043,5326.053,74.368,5704.974,77.038,5141.263,73.032,5067.803,72.439,5903.224,78.261,5423.395,75.026,5410.053,74.931
14,5738.105,77.338,5739.092,77.121,5054.539,72.396,5620.855,76.413,5974.289,78.966,5397.382,74.843,5018.566,72.165,5409.724,74.932
15,5920.724,78.691,5495.724,75.503,5059.210,72.431,5546.816,75.901,6646.105,83.400,5366.039,74.628,5091.250,72.679,5409.724,74.932
16,5103.645,72.578,5649.408,76.526,5358.355,74.565,4951.868,71.681,4924.053,71.382,6046.592,79.194,5343.697,74.472,5410.053,74.931
17,5846.592,77.921,5184.382,73.407,5539.868,75.890,5176.289,73.289,5313.303,74.227,6192.632,80.136,5568.118,76.021,5409.724,74.932
18,6057.329,79.306,5463.724,75.291,5457.434,75.278,5579.842,76.136,5313.303,74.227,5510.434,75.630,5757.868,77.313,5410.724,74.938
19,6952.539,85.277,5577.066,76.046,5427.079,75.062,5500.118,75.573,6431.618,82.011,5272.013,73.977,5741.184,77.194,5411.724,74.945
20,8011.368,91.544,5763.776,77.292,5416.395,74.979,5591.513,76.215,6504.987,82.478,5594.487,76.218,5767.868,77.378,5410.053,74.931
21,4641.855,69.235,5379.724,74.731,5534.868,75.857,5394.053,74.824,4488.092,68.045,5484.092,75.449,5464.066,75.299,5410.724,74.938
22,4796.184,70.574,5409.724,74.932,5505.487,75.632,5422.408,75.028,5313.303,74.227,5042.960,72.377,5125.592,72.921,5409.053,74.924
23,7507.342,88.734,5710.421,76.932,5792.697,77.642,5546.816,75.901,6449.961,82.128,5526.447,75.744,5211.632,73.536,5409.724,74.932
24,4729.039,69.994,5239.382,73.780,5577.895,76.158,5519.461,75.707,4584.513,68.814,5277.684,74.019,5688.829,76.840,5409.724,74.932
25,5214.461,73.665,5213.382,73.604,5432.079,75.095,5413.066,74.960,5530.513,75.814,5534.119,75.798,5143.263,73.045,5409.724,74.932
26,3517.592,60.082,5239.382,73.780,5427.079,75.062,5594.513,76.235,3642.250,61.103,6111.605,79.612,4925.539,71.500,5409.724,74.932
27,3156.803,57.184,5273.382,74.010,5632.592,76.536,5399.053,74.857,4469.750,67.904,3518.803,60.541,5481.408,75.420,5409.724,74.932
28,5134.092,73.093,5355.724,74.570,5742.342,77.303,5115.908,72.843,5239.250,73.690,5028.618,72.271,5651.487,76.591,5410.724,74.938
29,6338.605,81.230,5065.684,72.573,5007.171,72.044,5527.132,75.760,5833.500,77.992,6313.645,80.895,5591.789,76.180,5409.724,74.932
30,5657.026,76.977,5213.382,73.604,5157.579,73.131,5386.711,74.769,6577.382,82.953,5016.605,72.179,5639.816,76.512,5409.724,74.932
31,4128.210,65.183,5604.066,76.223,5059.210,72.431,5541.816,75.868,4273.632,66.355,5315.026,74.276,5240.987,73.750,5409.724,74.932
32,4428.250,67.720,4995.684,72.089,5423.408,75.035,5404.053,74.891,4736.250,69.958,5308.026,74.229,5604.789,76.265,5409.053,74.924
33,3317.921,58.393,5184.382,73.407,5196.934,73.415,5413.066,74.960,3984.750,63.974,5196.000,73.453,5041.237,72.325,5409.724,74.932
34,6309.158,80.978,5409.724,74.932,5692.289,76.945,5552.158,75.942,5239.250,73.690,5752.184,77.265,5712.171,76.997,5409.053,74.924
35,4098.618,65.268,5065.684,72.573,5809.382,77.761,5261.987,73.892,4782.974,70.331,4518.145,68.547,5475.408,75.380,5409.724,74.932
36,5824.368,78.062,5305.382,74.226,5262.303,73.882,5501.118,75.580,6486.645,82.362,5415.395,74.972,5012.566,72.124,5410.053,74.931
37,4460.184,67.908,5649.408,76.526,4626.592,69.176,5688.908,76.891,5132.171,72.906,4858.566,71.048,5483.079,75.434,5409.724,74.932
38,4335.908,67.029,5495.724,75.503,4811.355,70.567,5007.224,72.081,5675.342,76.869,4967.250,71.821,5532.776,75.783,5409.724,74.932
39,4467.947,68.035,5409.724,74.932,5577.895,76.158,5287.342,74.078,4946.053,71.536,5325.697,74.351,4887.868,71.233,5409.724,74.932
40,5843.421,78.005,5433.724,75.092,5272.974,73.957,5588.842,76.195,5659.329,76.756,5506.434,75.603,5401.053,74.871,5410.053,74.931
41,4410.500,67.528,5409.724,74.932,5493.145,75.544,5658.882,76.679,4504.460,68.191,5807.197,77.629,4737.829,70.144,5409.724,74.932
42,4382.132,67.291,5157.039,73.214,5849.421,78.043,5161.276,73.177,4288.303,66.469,5835.882,77.824,5332.697,74.398,5410.724,74.938
43,4468.961,68.053,5065.684,72.573,5157.579,73.131,5104.237,72.760,5169.224,73.196,5320.026,74.310,5591.789,76.180,5410.053,74.931
44,6052.500,79.592,5273.382,74.010,5093.566,72.683,5505.118,75.606,6577.382,82.953,5662.500,76.671,5112.921,72.831,5409.053,74.924
45,6473.908,82.242,5924.460,78.336,5151.579,73.090,5505.118,75.606,6756.868,84.119,5470.750,75.355,4921.868,71.471,5409.724,74.932
46,6086.211,79.414,5763.776,77.292,4903.066,71.244,5352.026,74.525,5659.329,76.756,5710.513,76.992,5791.210,77.534,5410.053,74.931
47,5754.803,77.466,5521.395,75.676,5452.434,75.245,5547.816,75.908,5780.750,77.599,4960.250,71.772,5585.789,76.140,5407.053,74.911
48,4818.789,70.691,5184.382,73.407,5427.079,75.062,5606.513,76.314,4782.974,70.331,5596.487,76.231,5389.382,74.790,5410.053,74.931
49,6562.855,82.950,5799.447,77.525,5686.618,76.905,5213.974,73.557,6412.934,81.886,4796.882,70.600,5795.210,77.560,5409.053,74.924
50,4860.382,70.697,5832.447,77.738,5063.224,72.468,5258.316,73.864,4397.342,67.314,5846.882,77.895,5538.776,75.822,5409.053,74.924
51,5877.145,78.044,5433.724,75.092,5361.355,74.585,5653.540,76.638,5313.303,74.227,5979.566,78.753,5171.605,73.245,5409.724,74.932
52,6747.079,83.988,5799.447,77.525,5255.303,73.835,5541.816,75.868,6646.105,83.400,5278.013,74.018,5359.039,74.581,5409.053,74.924
53,5275.553,73.916,5463.724,75.291,5291.316,74.087,5547.816,75.908,5067.803,72.439,5436.066,75.113,5529.105,75.756,5409.724,74.932
54,5912.447,78.674,4948.671,71.753,5229.960,73.657,4956.882,71.725,6824.934,84.561,5786.855,77.492,5453.066,75.226,5410.053,74.931
