# CaFe Be9 SRC Systematics Cuts Summary
# entry -> id for a particular combination of random gaussian-generated data analysis cuts  
# syst_total_real -> randoms-subtracted, integrated yield (varied all cuts simultaneously)
# syst_dVAR_real,err -> randoms-subtracted integrated yield (kept all cuts at central value, and varied only VAR)
entry,syst_total_real,syst_total_real_err,syst_dPm_min_real,syst_dPm_min_real_err,syst_dPm_max_real,syst_dPm_max_real_err,syst_dQ2_real,syst_dQ2_real_err,syst_dXbj_real,syst_dXbj_real_err,syst_dthrq_real,syst_dthrq_real_err,syst_dHcoll_real,syst_dHcoll_real_err,syst_dScoll_real,syst_dScoll_real_err
0,4691.776,69.299,4914.000,71.042,4740.921,69.756,4886.974,70.833,4589.724,68.521,5479.421,74.974,5223.079,73.238,5017.671,71.770
1,7440.855,87.894,5017.671,71.770,5395.237,74.510,5107.368,72.414,5827.987,77.627,5389.079,74.363,5239.750,73.355,5017.671,71.770
2,4932.184,71.298,5017.671,71.770,5132.724,72.604,4868.974,70.705,5185.131,73.015,4654.632,69.167,5167.724,72.844,5017.671,71.770
3,3853.355,62.890,4980.671,71.512,4771.276,69.989,5209.421,73.151,4669.447,69.141,4216.197,65.845,5048.026,71.997,5017.671,71.770
4,5133.658,72.794,5197.026,73.024,5067.013,72.119,5050.013,72.002,5509.750,75.393,4780.316,70.082,4698.895,69.436,5017.671,71.770
5,4454.553,67.647,5017.671,71.770,4730.921,69.685,5019.671,71.784,4991.987,71.579,4812.658,70.318,4956.000,71.336,5017.671,71.770
6,4667.092,69.348,5017.671,71.770,5043.342,71.952,5209.421,73.151,5238.513,73.412,4660.632,69.210,4610.210,68.781,5017.671,71.770
7,3988.158,64.059,5050.671,72.000,4305.395,66.417,5109.368,72.428,5466.368,75.073,4444.579,67.592,4837.618,70.468,5017.671,71.770
8,4628.750,69.065,4880.329,70.801,5099.355,72.349,4648.908,69.084,5252.855,73.516,4822.658,70.389,4998.671,71.638,5017.671,71.770
9,4422.513,67.133,5315.026,73.828,5062.013,72.085,4917.987,71.060,3903.461,63.108,5541.421,75.386,4966.000,71.407,5017.671,71.770
10,4905.105,71.286,4755.645,69.902,5333.171,74.048,4925.987,71.117,5382.631,74.466,4354.566,66.913,5204.737,73.107,5017.671,71.770
11,5816.645,77.334,4819.658,70.368,4980.329,71.504,5112.711,72.457,5185.131,73.015,5673.434,76.265,5075.697,72.192,5017.671,71.770
12,4430.092,67.372,5315.026,73.828,5076.013,72.182,5061.355,72.086,4658.776,69.061,4140.855,65.263,5303.421,73.791,5017.671,71.770
13,5080.658,72.199,4914.000,71.042,5284.145,73.698,4747.947,69.825,4728.158,69.596,5528.421,75.300,5034.355,71.899,5017.671,71.770
14,5234.882,73.411,5371.697,74.214,4721.250,69.612,5203.421,73.110,5416.000,74.714,4997.671,71.631,4628.882,68.920,5017.671,71.770
15,5322.816,74.188,5113.026,72.447,4730.921,69.685,5144.053,72.679,5893.039,78.079,4964.671,71.400,4698.895,69.436,5017.671,71.770
16,4811.079,70.133,5282.026,73.604,4974.658,71.461,4527.882,68.183,4623.750,68.788,5706.434,76.481,4956.000,71.336,5017.671,71.770
17,5482.118,75.012,4755.645,69.902,5146.737,72.709,4777.961,70.049,4931.632,71.141,5871.119,77.562,5149.382,72.712,5017.671,71.770
18,5598.842,75.824,5087.013,72.258,5076.013,72.182,5172.737,72.888,4931.632,71.141,5098.368,72.352,5306.421,73.811,5018.671,71.777
19,6181.105,79.943,5197.026,73.024,5031.671,71.868,5100.368,72.365,5740.566,77.006,4846.658,70.560,5294.421,73.730,5019.671,71.784
20,7194.368,86.200,5401.697,74.415,5022.671,71.805,5180.408,72.943,5788.276,77.343,5196.040,73.026,5310.092,73.839,5017.671,71.770
21,4422.342,67.252,4980.671,71.512,5143.066,72.681,5002.671,71.666,4294.934,66.242,5076.697,72.199,5059.026,72.073,5018.671,71.777
22,4428.540,67.444,5017.671,71.770,5108.697,72.420,5032.671,71.875,4931.632,71.141,4670.303,69.283,4736.921,69.728,5015.671,71.757
23,6678.684,83.144,5341.697,74.011,5335.842,74.069,5144.053,72.679,5751.237,77.078,5125.368,72.538,4831.276,70.417,5017.671,71.770
24,4417.079,67.265,4819.658,70.368,5173.092,72.905,5116.382,72.485,4371.303,66.842,4872.658,70.744,5249.750,73.423,5017.671,71.770
25,4751.342,69.894,4781.658,70.098,5040.671,71.931,5019.671,71.784,5112.395,72.467,5139.040,72.635,4747.263,69.808,5017.671,71.770
26,3365.289,58.544,4819.658,70.368,5031.671,71.868,5185.079,72.978,3528.342,59.964,5761.105,76.841,4533.855,68.208,5017.671,71.770
