# CaFe B10 SRC Systematics Cuts Summary
# entry -> id for a particular combination of random gaussian-generated data analysis cuts  
# syst_total_real -> randoms-subtracted, integrated yield (varied all cuts simultaneously)
# syst_dVAR_real,err -> randoms-subtracted integrated yield (kept all cuts at central value, and varied only VAR)
entry,syst_total_real,syst_total_real_err,syst_dPm_min_real,syst_dPm_min_real_err,syst_dPm_max_real,syst_dPm_max_real_err,syst_dQ2_real,syst_dQ2_real_err,syst_dXbj_real,syst_dXbj_real_err,syst_dthrq_real,syst_dthrq_real_err,syst_dHcoll_real,syst_dHcoll_real_err,syst_dScoll_real,syst_dScoll_real_err
0,3778.210,61.907,3931.316,63.214,3803.605,62.161,3934.618,63.216,3651.566,60.893,4385.026,66.739,4200.013,65.328,4010.987,63.845
1,5994.671,78.282,4011.987,63.852,4300.421,66.148,4083.329,64.415,4703.632,69.281,4320.684,66.249,4212.013,65.420,4011.987,63.852
2,4062.013,64.263,4011.987,63.852,4100.342,64.557,3924.947,63.136,4176.711,65.173,3773.618,61.929,4161.671,65.027,4011.987,63.852
3,3110.145,56.194,3979.316,63.593,3826.276,62.346,4160.697,65.040,3711.579,61.394,3445.224,59.167,4035.658,64.041,4011.987,63.852
4,4241.421,65.701,4183.671,65.196,4044.658,64.111,4037.329,64.057,4452.461,67.317,3878.632,62.782,3766.618,61.873,4011.987,63.852
5,3616.908,60.615,4011.987,63.852,3786.934,62.023,4015.987,63.884,3990.987,63.688,3898.974,62.951,3962.303,63.448,4011.987,63.852
6,3822.013,62.368,4011.987,63.852,4032.658,64.017,4160.697,65.040,4226.066,65.567,3779.618,61.978,3710.605,61.408,4011.987,63.852
7,3328.855,58.145,4037.987,64.056,3517.184,59.739,4084.329,64.423,4432.447,67.158,3607.921,60.552,3875.632,62.758,4011.987,63.852
8,3797.987,62.154,3912.316,63.064,4064.000,64.269,3765.592,61.843,4236.737,65.652,3908.974,63.030,3992.316,63.695,4011.987,63.852
9,3536.750,59.819,4299.671,66.080,4041.658,64.088,3950.961,63.352,3082.395,55.873,4427.697,67.061,3965.974,63.481,4010.987,63.845
10,4017.105,63.985,3820.303,62.319,4241.724,65.680,3955.961,63.391,4347.092,66.504,3551.237,60.067,4192.013,65.267,4010.987,63.845
11,4709.092,69.172,3872.645,62.745,3984.974,63.630,4092.000,64.486,4176.711,65.173,4521.697,67.758,4071.658,64.321,4010.987,63.845
12,3642.868,60.796,4299.671,66.080,4048.658,64.142,4054.329,64.190,3699.579,61.297,3381.539,58.612,4263.013,65.809,4011.987,63.852
13,4046.947,64.095,3931.316,63.214,4205.711,65.395,3832.263,62.384,3760.921,61.802,4418.697,66.994,4023.987,63.946,4010.987,63.845
14,4322.395,66.295,4353.342,66.488,3783.934,61.999,4156.697,65.009,4383.434,66.783,4003.316,63.781,3716.276,61.458,4011.987,63.852
15,4360.553,66.700,4095.000,64.509,3786.934,62.023,4119.342,64.704,4755.671,69.683,3981.645,63.607,3766.618,61.873,4011.987,63.852
16,3904.842,62.893,4268.671,65.845,3978.974,63.583,3676.566,61.098,3674.237,61.082,4537.697,67.876,3962.303,63.448,4010.987,63.845
17,4384.342,66.721,3820.303,62.319,4110.013,64.636,3856.934,62.585,3941.645,63.292,4638.040,68.618,4133.329,64.802,4011.987,63.852
18,4500.711,67.613,4074.658,64.345,4048.658,64.142,4139.013,64.860,3941.645,63.292,4083.658,64.415,4268.013,65.847,4011.987,63.852
19,5052.974,71.764,4183.671,65.196,4026.987,63.970,4079.329,64.384,4628.237,68.690,3915.974,63.086,4256.013,65.755,4011.987,63.852
20,5855.460,77.252,4384.013,66.722,4016.987,63.891,4145.684,64.914,4663.605,68.972,4159.658,65.002,4271.013,65.869,4010.987,63.845
21,3510.829,59.668,3979.316,63.593,4107.013,64.612,3999.987,63.758,3411.145,58.812,4066.658,64.282,4055.658,64.197,4011.987,63.852
22,3584.263,60.363,4011.987,63.852,4074.000,64.346,4023.329,63.948,3941.645,63.292,3784.618,62.018,3795.289,62.108,4010.987,63.845
23,5428.105,74.420,4326.342,66.285,4242.724,65.688,4119.342,64.704,4635.908,68.749,4106.658,64.593,3870.632,62.718,4011.987,63.852
24,3577.868,60.259,3872.645,62.745,4126.026,64.770,4094.000,64.502,3473.158,59.347,3929.645,63.197,4223.013,65.504,4011.987,63.852
25,3865.303,62.679,3850.303,62.559,4030.987,64.001,4015.987,63.884,4103.342,64.581,4115.658,64.662,3809.961,62.229,4011.987,63.852
26,2718.645,52.437,3872.645,62.745,4026.987,63.970,4147.684,64.930,2825.342,53.474,4570.368,68.120,3642.263,60.842,4011.987,63.852
27,2457.342,49.914,3892.645,62.904,4153.697,64.986,4004.987,63.798,3396.145,58.684,2691.750,52.281,4069.658,64.306,4011.987,63.852
