# CaFe B11 MF Systematics Cuts Summary
# entry -> id for a particular combination of random gaussian-generated data analysis cuts  
# syst_total_real -> randoms-subtracted, integrated yield (varied all cuts simultaneously)
# syst_dVAR_real,err -> randoms-subtracted integrated yield (kept all cuts at central value, and varied only VAR)
entry,syst_total_real,syst_total_real_err,syst_dPm_max_real,syst_dPm_max_real_err,syst_dQ2_real,syst_dQ2_real_err,syst_dEm_real,syst_dEm_real_err,syst_dHcoll_real,syst_dHcoll_real_err,syst_dScoll_real,syst_dScoll_real_err
0,158693.262,398.480,162398.986,403.110,153020.568,391.293,162299.000,402.987,169591.711,411.941,162742.000,403.536
1,180801.490,425.343,162665.329,403.441,173314.773,416.444,162744.000,403.539,169919.382,412.339,162744.000,403.539
2,158093.263,397.726,162975.342,403.827,151913.555,389.874,163620.670,404.624,168215.700,410.266,162744.000,403.539
3,194494.644,441.164,163482.013,404.454,192253.620,438.613,162744.000,403.539,163788.341,404.832,162744.000,403.539
4,152737.922,390.934,159915.605,400.011,166186.700,407.786,162744.000,403.539,152246.278,390.308,162746.000,403.541
5,160106.301,400.254,162304.986,402.993,163145.000,404.035,162299.000,402.987,160573.314,400.838,162744.000,403.539
6,179556.235,423.886,162975.342,403.827,192253.620,438.613,165332.027,406.736,149329.909,386.549,162746.000,403.541
7,165735.384,407.234,162492.657,403.226,173729.445,416.942,161366.647,401.826,156827.959,396.136,162745.000,403.540
8,135595.750,368.335,161537.631,402.037,137555.117,370.990,162299.000,402.987,161989.657,402.602,162746.000,403.541
9,153894.251,392.410,163138.342,404.028,155396.593,394.321,162744.000,403.539,160777.314,401.093,162739.000,403.533
10,160128.276,400.278,163482.013,404.454,155795.593,394.826,160294.631,400.488,169095.371,411.337,162742.000,403.536
11,174626.078,418.012,160684.289,400.973,174917.116,418.364,162299.000,402.987,165062.012,406.403,162742.000,403.536
12,175161.069,418.649,160080.605,400.218,168179.067,410.226,163620.670,404.624,171518.064,414.276,162744.000,403.539
13,143191.817,378.514,163349.013,404.289,142990.473,378.247,161842.660,402.420,163301.672,404.230,162742.000,403.536
14,178054.896,422.111,163667.684,404.684,191035.949,437.223,163620.670,404.624,149854.922,387.230,162746.000,403.541
15,169316.116,411.616,163482.013,404.454,180068.827,424.482,162744.000,403.539,152246.278,390.308,162744.000,403.539
16,128487.042,358.549,161873.973,402.456,130881.410,361.877,162744.000,403.539,160573.314,400.838,162740.000,403.534
17,147628.831,384.332,162824.671,403.639,145629.497,381.723,160294.631,400.488,167434.684,409.312,162743.000,403.538
18,195087.660,441.837,164142.368,405.272,184878.893,430.118,161366.647,401.826,171649.064,414.434,162748.000,403.544
19,178998.120,423.213,160931.960,401.283,172097.758,414.978,162744.000,403.539,171256.064,413.959,162755.000,403.553
20,195414.620,442.202,161640.302,402.165,186528.905,432.033,162744.000,403.539,171769.064,414.578,162742.000,403.536
21,163979.669,405.068,163482.013,404.454,161534.641,402.035,162744.000,403.539,164451.012,405.650,162747.000,403.543
22,156818.988,396.128,163349.013,404.289,164271.341,405.428,164053.013,405.159,153559.618,391.988,162738.000,403.531
23,172630.118,415.622,163482.013,404.454,180068.827,424.482,161366.647,401.826,156573.959,395.815,162742.000,403.536
24,182885.843,427.788,162892.342,403.724,175298.788,418.821,162299.000,402.987,170150.382,412.620,162744.000,403.539
25,154341.606,392.982,161746.973,402.298,163145.000,404.035,163620.670,404.624,154098.618,392.675,162744.000,403.539
26,166178.762,407.784,162198.316,402.860,187304.577,432.930,160832.975,401.161,146486.224,382.851,162745.000,403.540
27,167024.701,408.812,163482.013,404.454,161924.313,402.520,164899.356,406.203,164902.012,406.206,162746.000,403.541
28,147321.827,383.933,162492.657,403.226,141105.461,375.745,163620.670,404.624,169253.039,411.530,162749.000,403.545
29,177825.775,421.825,162304.986,402.993,176124.788,419.806,159749.631,399.807,167911.700,409.896,162745.000,403.540
30,166101.991,407.677,161982.973,402.592,161124.641,401.525,162299.000,402.987,169010.371,411.234,162746.000,403.541
31,175861.812,419.495,163215.013,404.124,179248.156,423.513,164489.013,405.697,157539.959,397.034,162744.000,403.539
32,166173.684,407.768,163215.013,404.124,162330.000,403.026,160832.975,401.161,168118.700,410.148,162739.000,403.533
33,149069.228,386.210,161537.631,402.037,163145.000,404.035,161842.660,402.420,150646.592,388.251,162746.000,403.541
34,191938.591,438.251,163349.013,404.289,180861.843,425.416,164053.013,405.159,170718.382,413.307,162739.000,403.533
35,154172.250,392.764,163941.026,405.023,151172.213,388.921,162744.000,403.539,164761.012,406.032,162746.000,403.541
36,159775.699,399.848,163547.013,404.534,172486.430,415.447,163186.672,404.088,149580.581,386.874,162742.000,403.536
37,230133.577,479.886,163482.013,404.454,225560.209,475.094,162744.000,403.539,165062.012,406.403,162746.000,403.541
38,136781.748,369.941,161982.973,402.592,134627.092,367.019,162299.000,402.987,166517.012,408.189,162746.000,403.541
