#Plane_1x1
#Card       tzero  t_zero_err      entries
0    0.50000     0.00000             1128
1    1.14722     0.77891             18037
2    3.37972     0.43204             59619
3    7.97252     0.94130             54036
4    11.36976     2.14151             13927
