#Plane_2v2
#Card       tzero  t_zero_err      entries
0    20.50000     0.00000             91
1    2.86044     0.81975             23857
2    10.74453     1.32164             42458
3    11.90212     1.33672             34360
4    5.75443     1.07547             26117
5    7.89927     1.45160             16254
6    6.68491     2.92571             2519
